Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	23	29	4	115	173	0	0	0	0	0	0	0	0	0	0	0	0	8042338	
1	1	A	1	N	2500	0	40	28	50	4	7	20	0	0	0	0	0	0	0	0	0	0	0	0	8042728	
2	1	A	1	N	2500	0	40	30	50	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8043009	
3	1	A	1	N	2500	0	40	355	2122	299	701	1208	0	0	0	0	0	0	0	0	0	0	0	0	8043024	
4	1	A	1	N	2500	0	40	391	2041	245	763	1177	0	0	0	0	0	0	0	0	0	0	0	0	8043352	
5	1	A	1	N	2500	0	40	65	211	23	14	29	0	0	0	0	0	0	0	0	0	0	0	0	8043352	
6	1	A	1	N	2500	0	40	75	208	25	9	14	0	0	0	0	0	0	0	0	0	0	0	0	8043836	
7	1	A	1	N	2500	0	40	37	58	5	3	6	0	0	0	0	0	0	0	0	0	0	0	0	8044070	
8	1	A	1	N	2500	0	40	36	60	1	4	12	0	0	0	0	0	0	0	0	0	0	0	0	8045411	
9	1	A	1	N	2500	0	40	21	22	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8045411	
10	1	A	1	N	2500	0	40	32	48	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8045661	
11	1	A	1	N	2500	0	40	51	75	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8046332	
12	1	A	1	N	2500	0	40	51	53	6	7	9	0	0	0	0	0	0	0	0	0	0	0	0	8046550	
13	1	A	1	N	2500	0	40	26	36	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8046690	
14	1	A	1	N	2500	0	40	51	53	10	14	22	0	0	0	0	0	0	0	0	0	0	0	0	8046800	
15	1	A	1	N	2500	0	40	109	580	118	16	21	0	0	0	0	0	0	0	0	0	0	0	0	8046800	
16	1	A	1	N	2500	0	40	61	197	17	5	8	0	0	0	0	0	0	0	0	0	0	0	0	8046800	
17	1	A	1	N	2500	0	40	43	67	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	8046956	
18	1	A	1	N	2500	0	40	461	2263	267	614	1223	0	0	0	0	0	0	0	0	0	0	0	0	8046971	
19	1	A	1	N	2500	0	40	71	91	12	13	14	0	0	0	0	0	0	0	0	0	0	0	0	8047985	
20	1	A	1	N	2500	0	40	60	134	15	21	28	0	0	0	0	0	0	0	0	0	0	0	0	8048235	
21	1	A	1	N	2500	0	40	97	147	21	29	37	0	0	0	0	0	0	0	0	0	0	0	0	8048391	
22	1	A	1	N	2500	0	40	20	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8048531	
23	1	A	1	N	2500	0	40	26	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8048687	
24	1	A	1	N	2500	0	40	67	118	17	24	29	0	0	0	0	0	0	0	0	0	0	0	0	8048796	
25	1	A	1	N	2500	0	40	60	67	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8048921	
26	1	A	2	N	2500	0	40	38	64	5	3	7	0	0	0	0	0	0	0	0	0	0	0	0	8056144	
27	1	A	2	N	2500	0	40	23	19	2	5	9	0	0	0	0	0	0	0	0	0	0	0	0	8056160	
28	1	A	2	N	2500	0	40	31	78	4	6	13	0	0	0	0	0	0	0	0	0	0	0	0	8056206	
29	1	A	2	N	2500	0	40	62	94	13	18	25	0	0	0	0	0	0	0	0	0	0	0	0	8056222	
