Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	H	2	N	2500	6	40	20	24	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4871022	
1	1	H	2	N	2500	0	40	835	3516	429	509	919	0	0	0	0	0	0	0	0	0	0	0	0	4871037	
2	1	H	2	N	2500	0	40	68	135	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4871162	
3	1	H	2	N	2500	0	40	21	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4871162	
4	1	H	2	N	2500	0	40	24	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4871396	
5	1	H	2	N	2500	0	40	47	40	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	4871396	
6	1	H	2	N	2500	0	40	43	37	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	4871396	
7	1	H	2	N	2500	0	40	26	28	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4871412	
8	1	H	2	N	2500	0	40	43	161	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4871505	
9	1	H	2	N	2500	0	40	40	48	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4871521	
10	1	H	2	N	2500	0	40	26	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4871521	
11	1	H	2	N	2500	0	40	76	109	7	2	5	0	0	0	0	0	0	0	0	0	0	0	0	4872051	
12	1	H	2	N	2500	0	40	164	501	31	3	4	0	0	0	0	0	0	0	0	0	0	0	0	4872051	
13	1	H	2	N	2500	0	40	23	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4872051	
14	1	H	2	N	2500	0	40	20	18	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4872051	
15	1	H	2	N	2500	0	40	35	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4872582	
16	1	H	2	N	2500	0	40	68	147	10	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4872582	
17	1	H	2	N	2500	0	40	25	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4872582	
18	1	H	2	N	2500	0	40	24	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4872582	
19	1	H	2	N	2500	0	40	25	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4872582	
20	1	H	2	N	2500	0	40	24	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4872582	
21	1	H	2	N	2500	0	40	29	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
22	1	H	2	N	2500	0	40	106	201	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
23	1	H	2	N	2500	0	40	61	95	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
24	1	H	2	N	2500	0	40	52	86	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
25	1	H	2	N	2500	0	40	33	46	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
26	1	H	2	N	2500	0	40	39	65	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
27	1	H	2	N	2500	0	40	28	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
28	1	H	2	N	2500	0	40	49	68	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
29	1	H	2	N	2500	0	40	39	62	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
30	1	H	2	N	2500	0	40	23	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873237	
31	1	H	2	N	2500	0	40	26	29	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	4873268	
32	1	H	2	N	2500	0	40	27	32	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4873424	
33	1	H	2	N	2500	0	40	22	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873518	
34	1	H	2	N	2500	0	40	80	213	12	2	4	0	0	0	0	0	0	0	0	0	0	0	0	4873736	
35	1	H	2	N	2500	0	40	33	38	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4873798	
36	1	H	2	N	2500	0	40	47	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873908	
37	1	H	2	N	2500	0	40	52	99	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	4874017	
38	1	H	2	N	2500	0	40	22	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4874298	
39	1	H	2	N	2500	0	40	21	24	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4874360	
40	1	H	2	N	2500	0	40	35	83	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4874469	
41	1	H	2	N	2500	0	40	23	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4874500	
42	1	H	2	N	2500	0	40	44	145	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4874594	
43	1	H	2	N	2500	0	40	86	202	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4874594	
44	1	H	2	N	2500	0	40	32	68	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4874594	
45	1	H	2	N	2500	0	40	25	25	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	4874797	
46	1	H	2	N	2500	0	40	548	2691	346	429	756	0	0	0	0	0	0	0	0	0	0	0	0	4874797	
47	1	H	2	N	2500	0	40	489	2304	295	392	717	0	0	0	0	0	0	0	0	0	0	0	0	4875717	
48	1	H	2	N	2500	0	40	28	49	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4875764	
49	1	H	2	N	2500	0	40	69	80	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	4875780	
50	1	H	2	N	2500	0	40	27	28	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	4875795	
51	1	H	2	N	2500	0	40	57	75	11	16	22	0	0	0	0	0	0	0	0	0	0	0	0	4875889	
52	1	H	2	N	2500	0	40	45	91	12	21	23	0	0	0	0	0	0	0	0	0	0	0	0	4875920	
53	1	H	2	N	2500	0	40	80	84	8	11	16	0	0	0	0	0	0	0	0	0	0	0	0	4875920	
54	1	H	2	N	2500	0	40	22	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4876341	
55	1	H	2	N	2500	0	40	29	35	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4876513	
56	1	H	2	N	2500	0	40	38	61	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4876575	
57	1	H	2	N	2500	0	40	82	187	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4876809	
