Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	H	2	N	2500	6	40	34	44	10	16	21	0	0	0	0	0	0	0	0	0	0	0	0	12894529	
1	1	H	2	N	2500	0	40	50	64	10	12	17	0	0	0	0	0	0	0	0	0	0	0	0	12894607	
2	1	H	2	N	2500	0	40	172	428	32	29	44	0	0	0	0	0	0	0	0	0	0	0	0	12894935	
3	1	H	2	N	2500	0	40	27	33	7	11	11	0	0	0	0	0	0	0	0	0	0	0	0	12894935	
4	1	H	2	N	2500	0	40	29	47	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	12895621	
5	1	H	2	N	2500	0	40	24	41	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12895777	
6	1	H	2	N	2500	0	40	31	32	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12897150	
7	1	H	2	N	2500	0	40	38	38	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	12897368	
8	1	H	2	N	2500	0	40	34	48	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12897540	
9	1	H	2	N	2500	0	40	26	40	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12897821	
10	1	H	2	N	2500	0	40	22	29	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	12897899	
11	1	H	2	N	2500	0	40	37	43	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12898023	
12	1	H	2	N	2500	0	40	34	38	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12898148	
13	1	H	2	N	2500	0	40	23	42	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12898179	
14	1	H	2	N	2500	0	40	53	139	13	6	12	0	0	0	0	0	0	0	0	0	0	0	0	12899022	
15	1	H	2	N	2500	0	40	400	1718	236	424	874	0	0	0	0	0	0	0	0	0	0	0	0	12899646	
16	1	H	2	N	2500	0	40	62	106	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	12899677	
17	1	H	2	N	2500	0	40	459	1806	267	426	814	0	0	0	0	0	0	0	0	0	0	0	0	12899771	
18	1	H	2	N	2500	0	40	43	45	7	10	14	0	0	0	0	0	0	0	0	0	0	0	0	12900020	
