Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	223	542	19	14	0	0	0	0	0	0	0	0	0	0	0	0	0	19496188	
1	1	A	1	N	2500	0	40	318	781	28	14	12	0	0	0	0	0	0	0	0	0	0	0	0	19496703	
2	1	A	1	N	2500	0	40	291	614	20	12	12	0	0	0	0	0	0	0	0	0	0	0	0	19496968	
3	1	A	1	N	2500	0	40	188	736	25	14	13	0	0	0	0	0	0	0	0	0	0	0	0	19497015	
4	1	A	1	N	2500	0	40	23	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19497077	
5	1	A	1	N	2500	0	40	132	506	17	9	6	0	0	0	0	0	0	0	0	0	0	0	0	19497186	
6	1	A	1	N	2500	0	40	86	529	66	62	66	0	0	0	0	0	0	0	0	0	0	0	0	19497217	
7	1	A	1	N	2500	0	40	306	909	40	21	18	0	0	0	0	0	0	0	0	0	0	0	0	19497545	
8	1	A	1	N	2500	0	40	232	469	21	10	9	0	0	0	0	0	0	0	0	0	0	0	0	19497748	
9	1	A	1	N	2500	0	40	221	602	23	13	11	0	0	0	0	0	0	0	0	0	0	0	0	19497857	
10	1	A	1	N	2500	0	40	283	789	35	18	14	0	0	0	0	0	0	0	0	0	0	0	0	19498356	
11	1	A	1	N	2500	0	40	126	533	24	12	10	0	0	0	0	0	0	0	0	0	0	0	0	19498762	
12	1	A	1	N	2500	0	40	35	38	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19498824	
13	1	A	1	N	2500	0	40	322	722	30	15	10	0	0	0	0	0	0	0	0	0	0	0	0	19499417	
14	1	A	1	N	2500	0	40	240	653	105	103	139	0	0	0	0	0	0	0	0	0	0	0	0	19499854	
15	1	A	1	N	2500	0	40	285	906	55	26	19	0	0	0	0	0	0	0	0	0	0	0	0	19499947	
16	1	A	1	N	2500	0	40	148	378	19	11	8	0	0	0	0	0	0	0	0	0	0	0	0	19500057	
17	1	A	1	N	2500	0	40	199	652	24	15	10	0	0	0	0	0	0	0	0	0	0	0	0	19500244	
18	1	A	1	N	2500	0	40	20	20	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19500837	
19	1	A	1	N	2500	0	40	214	501	15	9	7	0	0	0	0	0	0	0	0	0	0	0	0	19501008	
20	1	A	1	N	2500	0	40	45	83	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19501258	
21	1	A	1	N	2500	0	40	183	600	32	17	13	0	0	0	0	0	0	0	0	0	0	0	0	19501585	
22	1	A	1	N	2500	0	40	35	52	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19501695	
23	1	A	1	N	2500	0	40	258	817	33	19	17	0	0	0	0	0	0	0	0	0	0	0	0	19501726	
24	1	A	1	N	2500	0	40	30	37	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19502038	
25	1	A	1	N	2500	0	40	162	556	25	12	7	0	0	0	0	0	0	0	0	0	0	0	0	19502085	
26	1	A	1	N	2500	0	40	256	536	21	8	7	0	0	0	0	0	0	0	0	0	0	0	0	19502412	
27	1	A	1	N	2500	0	40	60	165	12	10	13	0	0	0	0	0	0	0	0	0	0	0	0	19502989	
28	1	B	1	N	2500	0	40	34	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19511179	
29	1	B	1	N	2500	0	40	127	713	101	104	118	0	0	0	0	0	0	0	0	0	0	0	0	19511211	
30	1	B	1	N	2500	0	40	260	723	25	14	11	0	0	0	0	0	0	0	0	0	0	0	0	19511242	
31	1	B	1	N	2500	0	40	140	540	26	12	9	0	0	0	0	0	0	0	0	0	0	0	0	19511304	
32	1	B	1	N	2500	0	40	260	587	19	11	12	0	0	0	0	0	0	0	0	0	0	0	0	19511585	
33	1	B	1	N	2500	0	40	31	62	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19511741	
