Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	207	624	22	12	8	0	0	0	0	0	0	0	0	0	0	0	0	20953355	
1	1	A	1	N	2500	0	40	300	753	26	17	15	0	0	0	0	0	0	0	0	0	0	0	0	20953792	
2	1	A	1	N	2500	0	40	224	904	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	20954385	
3	1	A	1	N	2500	0	40	290	598	19	10	8	0	0	0	0	0	0	0	0	0	0	0	0	20955352	
4	1	A	1	N	2500	0	40	33	59	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	20955711	
5	1	A	1	N	2500	0	40	277	558	17	11	10	0	0	0	0	0	0	0	0	0	0	0	0	20956116	
6	1	A	1	N	2500	0	40	151	611	23	12	11	0	0	0	0	0	0	0	0	0	0	0	0	20956241	
7	1	A	1	N	2500	0	40	292	759	31	16	12	0	0	0	0	0	0	0	0	0	0	0	0	20956928	
8	1	A	1	N	2500	0	40	23	20	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20957224	
9	1	A	1	N	2500	0	40	228	669	28	13	9	0	0	0	0	0	0	0	0	0	0	0	0	20957536	
10	1	A	1	N	2500	0	40	20	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20957926	
11	1	A	1	N	2500	0	40	22	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20957988	
12	1	A	1	N	2500	0	40	154	492	20	9	8	0	0	0	0	0	0	0	0	0	0	0	0	20958004	
13	1	A	1	N	2500	0	40	235	915	42	22	20	0	0	0	0	0	0	0	0	0	0	0	0	20958441	
14	1	A	1	N	2500	0	40	35	86	6	6	7	0	0	0	0	0	0	0	0	0	0	0	0	20959658	
15	1	A	1	N	2500	0	40	30	46	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	20959907	
16	1	B	1	N	2500	0	40	347	933	38	19	16	0	0	0	0	0	0	0	0	0	0	0	0	20968425	
17	1	B	1	N	2500	0	40	128	464	18	10	8	0	0	0	0	0	0	0	0	0	0	0	0	20968752	
18	1	B	1	N	2500	0	40	112	488	25	11	8	0	0	0	0	0	0	0	0	0	0	0	0	20968768	
19	1	B	1	N	2500	0	40	223	561	20	11	7	0	0	0	0	0	0	0	0	0	0	0	0	20969220	
20	1	B	1	N	2500	0	40	302	674	24	12	9	0	0	0	0	0	0	0	0	0	0	0	0	20969798	
21	1	B	1	N	2500	0	40	202	744	29	15	13	0	0	0	0	0	0	0	0	0	0	0	0	20970000	
22	1	B	1	N	2500	0	40	314	773	32	17	11	0	0	0	0	0	0	0	0	0	0	0	0	20970032	
23	1	B	1	N	2500	0	40	21	29	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20970125	
24	1	B	1	N	2500	0	40	20	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20970141	
25	1	B	1	N	2500	0	40	22	41	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20971264	
26	1	B	1	N	2500	0	40	54	137	10	10	12	0	0	0	0	0	0	0	0	0	0	0	0	20972138	
27	1	B	1	N	2500	0	40	168	680	32	17	11	0	0	0	0	0	0	0	0	0	0	0	0	20972340	
28	1	B	1	N	2500	0	40	179	493	19	9	8	0	0	0	0	0	0	0	0	0	0	0	0	20972918	
29	1	B	1	N	2500	0	40	235	624	26	13	11	0	0	0	0	0	0	0	0	0	0	0	0	20973510	
30	1	B	1	N	2500	0	40	20	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20973682	
31	1	C	1	N	2500	0	40	24	49	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20982761	
32	1	C	1	N	2500	0	40	28	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20983338	
33	1	C	1	N	2500	0	40	25	41	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	20983744	
34	1	C	1	N	2500	0	40	279	600	19	11	9	0	0	0	0	0	0	0	0	0	0	0	0	20985320	
35	1	C	1	N	2500	0	40	171	793	38	18	14	0	0	0	0	0	0	0	0	0	0	0	0	20985959	
36	1	C	1	N	2500	0	40	66	73	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	20986443	
37	1	C	1	N	2500	0	40	301	640	20	11	8	0	0	0	0	0	0	0	0	0	0	0	0	20986474	
38	1	C	1	N	2500	0	40	230	573	19	11	9	0	0	0	0	0	0	0	0	0	0	0	0	20986552	
39	1	C	1	N	2500	0	40	149	437	14	9	6	0	0	0	0	0	0	0	0	0	0	0	0	20986911	
40	1	C	1	N	2500	0	40	251	666	25	14	12	0	0	0	0	0	0	0	0	0	0	0	0	20987098	
41	1	C	1	N	2500	0	40	276	613	23	11	10	0	0	0	0	0	0	0	0	0	0	0	0	20987160	
42	1	C	1	N	2500	0	40	54	156	12	12	16	0	0	0	0	0	0	0	0	0	0	0	0	20987379	
43	1	C	1	N	2500	0	40	274	617	22	12	13	0	0	0	0	0	0	0	0	0	0	0	0	20987394	
44	1	C	1	N	2500	0	40	91	123	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	20988580	
45	1	C	1	N	2500	0	40	173	566	24	11	8	0	0	0	0	0	0	0	0	0	0	0	0	20988954	
46	1	C	1	N	2500	0	40	23	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20988954	
47	1	C	1	N	2500	0	40	204	721	28	16	15	0	0	0	0	0	0	0	0	0	0	0	0	20989578	
48	1	D	1	N	2500	0	40	32	61	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21001076	
49	1	D	1	N	2500	0	40	36	42	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	21003353	
50	1	E	1	N	2500	0	40	182	669	21	12	12	0	0	0	0	0	0	0	0	0	0	0	0	21011855	
51	1	E	1	N	2500	0	40	164	546	23	12	7	0	0	0	0	0	0	0	0	0	0	0	0	21013587	
52	1	E	1	N	2500	0	40	283	687	25	14	12	0	0	0	0	0	0	0	0	0	0	0	0	21013790	
53	1	E	1	N	2500	0	40	241	595	22	14	9	0	0	0	0	0	0	0	0	0	0	0	0	21013914	
54	1	E	1	N	2500	0	40	161	600	23	13	13	0	0	0	0	0	0	0	0	0	0	0	0	21013914	
55	1	E	1	N	2500	0	40	184	514	23	15	9	0	0	0	0	0	0	0	0	0	0	0	0	21014226	
56	1	E	1	N	2500	0	40	193	337	10	6	5	0	0	0	0	0	0	0	0	0	0	0	0	21014710	
57	1	E	1	N	2500	0	40	249	970	45	26	21	0	0	0	0	0	0	0	0	0	0	0	0	21015225	
58	1	E	1	N	2500	0	40	243	638	25	16	12	0	0	0	0	0	0	0	0	0	0	0	0	21015256	
59	1	E	1	N	2500	0	40	110	320	14	8	6	0	0	0	0	0	0	0	0	0	0	0	0	21015350	
60	1	E	1	N	2500	0	40	188	472	25	12	8	0	0	0	0	0	0	0	0	0	0	0	0	21015474	
61	1	E	1	N	2500	0	40	185	634	27	13	13	0	0	0	0	0	0	0	0	0	0	0	0	21015724	
62	1	E	1	N	2500	0	40	236	984	52	29	19	0	0	0	0	0	0	0	0	0	0	0	0	21015864	
63	1	E	1	N	2500	0	40	67	205	10	8	9	0	0	0	0	0	0	0	0	0	0	0	0	21015974	
64	1	E	1	N	2500	0	40	268	864	37	20	15	0	0	0	0	0	0	0	0	0	0	0	0	21016114	
65	1	E	1	N	2500	0	40	271	595	26	12	9	0	0	0	0	0	0	0	0	0	0	0	0	21016176	
