Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	13	A	1	N	2500	0	40	107	259	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19828263	
1	13	A	1	N	2500	0	40	26	41	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	19828388	
2	13	A	1	N	2500	0	40	70	97	6	4	6	0	0	0	0	0	0	0	0	0	0	0	0	19828512	
3	13	A	1	N	2500	0	40	206	482	21	10	12	0	0	0	0	0	0	0	0	0	0	0	0	19828700	
4	13	A	1	N	2500	0	40	30	81	4	6	6	0	0	0	0	0	0	0	0	0	0	0	0	19828731	
5	13	A	1	N	2500	0	40	37	57	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19828793	
6	13	A	1	N	2500	0	40	301	841	46	20	19	0	0	0	0	0	0	0	0	0	0	0	0	19828824	
7	13	A	1	N	2500	0	40	63	77	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19828949	
8	13	A	1	N	2500	0	40	186	464	18	8	7	0	0	0	0	0	0	0	0	0	0	0	0	19829012	
9	13	A	1	N	2500	0	40	44	67	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	19829027	
10	13	A	1	N	2500	0	40	33	40	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19829168	
11	13	A	1	N	2500	0	40	39	34	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19829230	
12	13	A	1	N	2500	0	40	282	864	40	20	13	0	0	0	0	0	0	0	0	0	0	0	0	19829230	
13	13	A	1	N	2500	0	40	361	1283	87	37	28	0	0	0	0	0	0	0	0	0	0	0	0	19829620	
14	13	A	1	N	2500	0	40	359	1009	56	23	18	0	0	0	0	0	0	0	0	0	0	0	0	19829823	
15	13	A	1	N	2500	0	40	44	100	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	19829870	
16	13	A	1	N	2500	0	40	31	63	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	19830057	
17	13	A	1	N	2500	0	40	206	880	46	27	20	0	0	0	0	0	0	0	0	0	0	0	0	19830088	
18	13	A	1	N	2500	0	40	33	53	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19830166	
19	13	A	1	N	2500	0	40	32	40	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19830228	
20	13	A	1	N	2500	0	40	359	1108	62	25	21	0	0	0	0	0	0	0	0	0	0	0	0	19830416	
21	13	A	1	N	2500	0	40	32	49	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	19830478	
22	13	A	1	N	2500	0	40	254	554	21	11	7	0	0	0	0	0	0	0	0	0	0	0	0	19830572	
23	13	A	1	N	2500	0	40	35	71	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	19830696	
24	13	A	1	N	2500	0	40	213	699	31	15	14	0	0	0	0	0	0	0	0	0	0	0	0	19830977	
25	13	A	1	N	2500	0	40	294	657	27	16	13	0	0	0	0	0	0	0	0	0	0	0	0	19831180	
26	13	A	1	N	2500	0	40	52	112	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	19831289	
27	13	A	1	N	2500	0	40	274	783	40	21	15	0	0	0	0	0	0	0	0	0	0	0	0	19831352	
28	13	A	1	N	2500	0	40	26	22	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19831929	
29	13	A	1	N	2500	0	40	44	190	16	16	18	0	0	0	0	0	0	0	0	0	0	0	0	19832100	
30	13	A	1	N	2500	0	40	24	32	15	16	27	0	0	0	0	0	0	0	0	0	0	0	0	19832303	
31	13	A	1	N	2500	0	40	184	860	46	21	15	0	0	0	0	0	0	0	0	0	0	0	0	19832412	
32	13	A	1	N	2500	0	40	323	1044	59	28	19	0	0	0	0	0	0	0	0	0	0	0	0	19832631	
33	13	A	1	N	2500	0	40	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19832740	
34	13	A	1	N	2500	0	40	173	652	22	15	12	0	0	0	0	0	0	0	0	0	0	0	0	19833021	
35	13	A	1	N	2500	0	40	169	250	11	9	9	0	0	0	0	0	0	0	0	0	0	0	0	19833036	
36	13	A	1	N	2500	0	40	24	49	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19833130	
37	13	A	1	N	2500	0	40	277	635	26	12	10	0	0	0	0	0	0	0	0	0	0	0	0	19833192	
38	13	A	1	N	2500	0	40	33	45	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19833458	
39	13	A	1	N	2500	0	40	23	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19833458	
40	13	A	1	N	2500	0	40	260	608	26	15	12	0	0	0	0	0	0	0	0	0	0	0	0	19833473	
41	13	A	1	N	2500	0	40	218	962	55	25	21	0	0	0	0	0	0	0	0	0	0	0	0	19833473	
42	13	A	1	N	2500	0	40	37	74	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	19833582	
43	13	A	1	N	2500	0	40	29	79	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19833660	
44	13	A	1	N	2500	0	40	52	116	4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	19833692	
45	13	A	1	N	2500	0	40	62	152	10	9	10	0	0	0	0	0	0	0	0	0	0	0	0	19834019	
46	13	A	1	N	2500	0	40	37	143	6	7	9	0	0	0	0	0	0	0	0	0	0	0	0	19834160	
47	13	A	1	N	2500	0	40	20	21	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19834175	
48	13	A	1	N	2500	0	40	165	467	21	12	12	0	0	0	0	0	0	0	0	0	0	0	0	19834440	
49	13	A	1	N	2500	0	40	21	22	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19834472	
50	13	A	1	N	2500	0	40	31	32	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19834674	
51	13	A	1	N	2500	0	40	32	61	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	19834674	
52	13	A	1	N	2500	0	40	60	143	10	8	10	0	0	0	0	0	0	0	0	0	0	0	0	19834799	
53	13	A	1	N	2500	0	40	83	106	9	7	8	0	0	0	0	0	0	0	0	0	0	0	0	19834846	
54	13	A	1	N	2500	0	40	36	95	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	19835064	
55	13	A	1	N	2500	0	40	160	589	24	11	10	0	0	0	0	0	0	0	0	0	0	0	0	19835142	
56	13	A	1	N	2500	0	40	24	37	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19835751	
57	13	A	2	N	2500	0	40	23	25	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19843005	
58	13	A	2	N	2500	0	40	23	42	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19843083	
59	13	A	2	N	2500	0	40	311	841	38	17	14	0	0	0	0	0	0	0	0	0	0	0	0	19843520	
60	13	A	2	N	2500	0	40	33	60	13	16	17	0	0	0	0	0	0	0	0	0	0	0	0	19843566	
61	13	A	2	N	2500	0	40	56	92	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	19843707	
62	13	A	2	N	2500	0	40	32	80	6	5	8	0	0	0	0	0	0	0	0	0	0	0	0	19844144	
63	13	A	2	N	2500	0	40	21	24	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19844175	
64	13	A	2	N	2500	0	40	50	160	8	9	10	0	0	0	0	0	0	0	0	0	0	0	0	19844658	
65	13	A	2	N	2500	0	40	365	1132	60	25	20	0	0	0	0	0	0	0	0	0	0	0	0	19844674	
66	13	A	2	N	2500	0	40	65	139	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19844846	
67	13	A	2	N	2500	0	40	26	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19844970	
68	13	A	2	N	2500	0	40	152	185	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	19845048	
69	13	A	2	N	2500	0	40	47	67	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19845267	
70	13	A	2	N	2500	0	40	160	214	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	19845688	
71	13	A	2	N	2500	0	40	23	36	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19845735	
72	13	A	2	N	2500	0	40	71	107	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19845797	
73	13	A	2	N	2500	0	40	72	108	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19845844	
74	13	A	2	N	2500	0	40	39	76	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	19845875	
75	13	A	2	N	2500	0	40	62	121	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19845922	
76	13	A	2	N	2500	0	40	55	103	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19846234	
77	13	A	2	N	2500	0	40	44	160	9	10	11	0	0	0	0	0	0	0	0	0	0	0	0	19846250	
78	13	A	2	N	2500	0	40	84	234	8	5	4	0	0	0	0	0	0	0	0	0	0	0	0	19846296	
79	13	A	2	N	2500	0	40	56	208	20	22	27	0	0	0	0	0	0	0	0	0	0	0	0	19846328	
80	13	A	2	N	2500	0	40	115	165	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19846546	
81	13	A	2	N	2500	0	40	41	63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19846608	
82	13	A	2	N	2500	0	40	34	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19846640	
83	13	A	2	N	2500	0	40	133	167	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19846686	
84	13	A	2	N	2500	0	40	45	106	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19846702	
85	13	A	2	N	2500	0	40	39	95	7	5	7	0	0	0	0	0	0	0	0	0	0	0	0	19846842	
86	13	A	2	N	2500	0	40	52	74	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19847045	
87	13	A	2	N	2500	0	40	34	56	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19847061	
88	13	A	2	N	2500	0	40	66	116	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19847123	
89	13	A	2	N	2500	0	40	25	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19847451	
90	13	A	2	N	2500	0	40	53	107	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19847513	
91	13	A	2	N	2500	0	40	23	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19847638	
92	13	A	2	N	2500	0	40	70	133	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19847716	
