Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	67	282	27	31	35	0	0	0	0	0	0	0	0	0	0	0	0	3713878	
1	1	A	1	N	2500	0	40	207	952	76	32	28	0	0	0	0	0	0	0	0	0	0	0	0	3714315	
2	1	A	1	N	2500	0	40	310	1252	68	33	27	0	0	0	0	0	0	0	0	0	0	0	0	3714736	
3	1	A	1	N	2500	0	40	279	1208	77	34	26	0	0	0	0	0	0	0	0	0	0	0	0	3714799	
4	1	A	1	N	2500	0	40	75	271	20	19	23	0	0	0	0	0	0	0	0	0	0	0	0	3715080	
5	1	A	1	N	2500	0	40	29	33	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3715501	
6	1	A	1	N	2500	0	40	302	1034	49	21	18	0	0	0	0	0	0	0	0	0	0	0	0	3716047	
7	1	A	1	N	2500	0	40	298	1285	75	37	25	0	0	0	0	0	0	0	0	0	0	0	0	3716983	
8	1	A	1	N	2500	0	40	510	1719	128	47	35	0	0	0	0	0	0	0	0	0	0	0	0	3717326	
9	1	A	1	N	2500	0	40	21	20	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3717716	
10	1	A	1	N	2500	0	40	40	60	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3717950	
11	1	A	1	N	2500	0	40	272	908	48	22	16	0	0	0	0	0	0	0	0	0	0	0	0	3718215	
12	1	A	1	N	2500	0	40	42	146	8	10	11	0	0	0	0	0	0	0	0	0	0	0	0	3718590	
13	1	A	1	N	2500	0	40	26	48	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3719994	
14	1	A	2	N	2500	0	40	44	112	8	8	9	0	0	0	0	0	0	0	0	0	0	0	0	3727544	
15	1	A	2	N	2500	0	40	21	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3727825	
16	1	A	2	N	2500	0	40	363	1339	72	31	24	0	0	0	0	0	0	0	0	0	0	0	0	3728449	
17	1	A	2	N	2500	0	40	493	1651	82	36	32	0	0	0	0	0	0	0	0	0	0	0	0	3728839	
18	1	A	2	N	2500	0	40	72	269	22	22	25	0	0	0	0	0	0	0	0	0	0	0	0	3729042	
19	1	A	2	N	2500	0	40	47	80	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3729104	
20	1	A	2	N	2500	0	40	253	1398	100	46	38	0	0	0	0	0	0	0	0	0	0	0	0	3729354	
21	1	A	2	N	2500	0	40	40	33	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3729354	
22	1	A	2	N	2500	0	40	41	62	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3729588	
23	1	A	2	N	2500	0	40	49	177	11	13	15	0	0	0	0	0	0	0	0	0	0	0	0	3729822	
24	1	A	2	N	2500	0	40	22	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3730134	
25	1	A	2	N	2500	0	40	473	1593	92	36	30	0	0	0	0	0	0	0	0	0	0	0	0	3730555	
26	1	A	2	N	2500	0	40	43	94	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	3730695	
27	1	A	2	N	2500	0	40	346	1198	58	28	23	0	0	0	0	0	0	0	0	0	0	0	0	3730914	
28	1	A	2	N	2500	0	40	238	1046	69	29	23	0	0	0	0	0	0	0	0	0	0	0	0	3731070	
29	1	A	2	N	2500	0	40	44	59	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3731148	
30	1	A	2	N	2500	0	40	29	49	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3731553	
31	1	A	2	N	2500	0	40	279	1143	61	27	24	0	0	0	0	0	0	0	0	0	0	0	0	3731974	
32	1	A	2	N	2500	0	40	76	408	63	70	74	0	0	0	0	0	0	0	0	0	0	0	0	3731990	
