Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	D	1	N	2500	0	40	30	75	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4627057	
1	1	D	1	N	2500	0	40	22	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4627260	
2	1	D	1	N	2500	0	40	27	48	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4628492	
3	1	D	1	N	2500	0	40	21	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4628524	
4	1	D	1	N	2500	0	40	25	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4630801	
5	1	D	1	N	2500	0	40	31	54	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4631815	
6	1	D	1	N	2500	0	40	26	38	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4632580	
7	1	D	2	N	2500	0	40	335	1259	70	33	23	0	0	0	0	0	0	0	0	0	0	0	0	4641799	
8	1	D	2	N	2500	0	40	24	27	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4642064	
9	1	D	2	N	2500	0	40	30	34	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	4642080	
10	1	D	2	N	2500	0	40	329	1149	63	31	23	0	0	0	0	0	0	0	0	0	0	0	0	4642080	
11	1	D	2	N	2500	0	40	73	402	37	45	46	0	0	0	0	0	0	0	0	0	0	0	0	4642766	
12	1	D	2	N	2500	0	40	327	963	44	26	18	0	0	0	0	0	0	0	0	0	0	0	0	4642969	
13	1	D	2	N	2500	0	40	216	1300	72	47	37	0	0	0	0	0	0	0	0	0	0	0	0	4644061	
14	1	D	2	N	2500	0	40	322	1217	56	29	23	0	0	0	0	0	0	0	0	0	0	0	0	4644077	
15	1	D	2	N	2500	0	40	23	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4644139	
16	1	D	2	N	2500	0	40	48	61	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4644217	
17	1	D	2	N	2500	0	40	75	258	171	218	294	0	0	0	0	0	0	0	0	0	0	0	0	4644404	
18	1	D	2	N	2500	0	40	20	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4644436	
19	1	D	2	N	2500	0	40	331	1363	75	38	29	0	0	0	0	0	0	0	0	0	0	0	0	4644935	
20	1	D	2	N	2500	0	40	27	55	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	4644966	
21	1	D	2	N	2500	0	40	33	60	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4645075	
22	1	D	2	N	2500	0	40	148	742	29	18	16	0	0	0	0	0	0	0	0	0	0	0	0	4645387	
23	1	D	2	N	2500	0	40	30	42	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4645590	
24	1	D	2	N	2500	0	40	358	1317	71	37	26	0	0	0	0	0	0	0	0	0	0	0	0	4646292	
25	1	D	2	N	2500	0	40	307	959	42	23	16	0	0	0	0	0	0	0	0	0	0	0	0	4647197	
26	1	D	2	N	2500	0	40	21	19	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4647462	
27	1	D	2	N	2500	0	40	256	964	49	25	16	0	0	0	0	0	0	0	0	0	0	0	0	4648055	
28	1	D	2	N	2500	0	40	60	275	23	27	33	0	0	0	0	0	0	0	0	0	0	0	0	4648242	
29	1	D	2	N	2500	0	40	302	1077	54	25	21	0	0	0	0	0	0	0	0	0	0	0	0	4648507	
30	1	D	2	N	2500	0	40	281	1337	74	45	33	0	0	0	0	0	0	0	0	0	0	0	0	4649084	
31	1	D	3	N	2500	0	40	37	70	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4656588	
32	1	D	3	N	2500	0	40	272	1171	64	32	22	0	0	0	0	0	0	0	0	0	0	0	0	4656635	
33	1	D	3	N	2500	0	40	285	1235	64	40	29	0	0	0	0	0	0	0	0	0	0	0	0	4656697	
34	1	D	3	N	2500	0	40	359	1373	63	40	26	0	0	0	0	0	0	0	0	0	0	0	0	4657150	
35	1	D	3	N	2500	0	40	25	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4657758	
36	1	D	3	N	2500	0	40	434	3009	1036	8	9	0	0	0	0	0	0	0	0	0	0	0	0	4658351	
37	1	D	3	N	2500	0	40	21	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4658351	
38	1	D	3	N	2500	0	40	31	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4658351	
39	1	D	3	N	2500	0	40	34	71	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4658491	
40	1	D	3	N	2500	0	40	311	1220	66	37	27	0	0	0	0	0	0	0	0	0	0	0	0	4658585	
41	1	D	3	N	2500	0	40	25	47	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4658663	
42	1	D	3	N	2500	0	40	26	55	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4658819	
43	1	D	3	N	2500	0	40	302	1161	75	30	26	0	0	0	0	0	0	0	0	0	0	0	0	4658834	
44	1	D	3	N	2500	0	40	22	27	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4658881	
45	1	D	3	N	2500	0	40	22	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4660004	
46	1	D	3	N	2500	0	40	333	1037	50	27	17	0	0	0	0	0	0	0	0	0	0	0	0	4660160	
47	1	D	3	N	2500	0	40	361	1407	92	45	32	0	0	0	0	0	0	0	0	0	0	0	0	4660223	
48	1	D	3	N	2500	0	40	295	1161	69	36	25	0	0	0	0	0	0	0	0	0	0	0	0	4660457	
49	1	D	3	N	2500	0	40	28	34	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4660488	
50	1	D	3	N	2500	0	40	21	31	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4660566	
51	1	D	3	N	2500	0	40	51	171	15	15	17	0	0	0	0	0	0	0	0	0	0	0	0	4660597	
52	1	D	3	N	2500	0	40	279	1018	65	30	17	0	0	0	0	0	0	0	0	0	0	0	0	4660753	
53	1	D	3	N	2500	0	40	296	1068	55	33	24	0	0	0	0	0	0	0	0	0	0	0	0	4660909	
54	1	D	3	N	2500	0	40	361	1374	84	37	26	0	0	0	0	0	0	0	0	0	0	0	0	4660956	
55	1	D	3	N	2500	0	40	372	1435	77	51	41	0	0	0	0	0	0	0	0	0	0	0	0	4661362	
56	1	D	3	N	2500	0	40	297	1174	63	34	24	0	0	0	0	0	0	0	0	0	0	0	0	4661549	
57	1	D	3	N	2500	0	40	305	1127	65	31	21	0	0	0	0	0	0	0	0	0	0	0	0	4661861	
58	1	D	3	N	2500	0	40	281	1033	68	35	28	0	0	0	0	0	0	0	0	0	0	0	0	4663000	
59	1	D	3	N	2500	0	40	334	1132	45	32	25	0	0	0	0	0	0	0	0	0	0	0	0	4663452	
60	1	D	4	N	2500	0	40	23	49	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4671252	
61	1	D	4	N	2500	0	40	25	30	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4671658	
62	1	D	4	N	2500	0	40	307	1212	61	34	26	0	0	0	0	0	0	0	0	0	0	0	0	4672063	
63	1	D	4	N	2500	0	40	28	39	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	4672188	
64	1	D	4	N	2500	0	40	326	1034	57	24	15	0	0	0	0	0	0	0	0	0	0	0	0	4672251	
65	1	D	4	N	2500	0	40	330	1204	78	32	25	0	0	0	0	0	0	0	0	0	0	0	0	4672438	
66	1	D	4	N	2500	0	40	299	1364	69	42	26	0	0	0	0	0	0	0	0	0	0	0	0	4672765	
67	1	D	4	N	2500	0	40	55	127	8	7	8	0	0	0	0	0	0	0	0	0	0	0	0	4673124	
68	1	D	4	N	2500	0	40	315	936	42	22	18	0	0	0	0	0	0	0	0	0	0	0	0	4673670	
69	1	D	4	N	2500	0	40	23	42	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	4673733	
70	1	D	4	N	2500	0	40	25	25	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4673748	
71	1	D	4	N	2500	0	40	61	130	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	4673764	
72	1	D	4	N	2500	0	40	27	39	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	4673795	
73	1	D	4	N	2500	0	40	372	1322	68	33	22	0	0	0	0	0	0	0	0	0	0	0	0	4673920	
74	1	D	4	N	2500	0	40	23	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4674123	
75	1	D	4	N	2500	0	40	80	388	47	48	55	0	0	0	0	0	0	0	0	0	0	0	0	4674637	
76	1	D	4	N	2500	0	40	24	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4676010	
77	1	D	4	N	2500	0	40	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4676884	
78	1	D	4	N	2500	0	40	33	44	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4676977	
79	1	D	4	N	2500	0	40	29	41	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	4678241	
80	1	D	5	N	2500	0	40	411	1359	77	54	44	0	0	0	0	0	0	0	0	0	0	0	0	4686150	
81	1	D	5	N	2500	0	40	21	25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4686478	
82	1	D	5	N	2500	0	40	26	32	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4686774	
83	1	D	5	N	2500	0	40	280	1086	58	30	23	0	0	0	0	0	0	0	0	0	0	0	0	4687492	
84	1	D	5	N	2500	0	40	24	34	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4688116	
85	1	D	5	N	2500	0	40	264	1264	63	36	24	0	0	0	0	0	0	0	0	0	0	0	0	4688131	
