Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	392	1284	82	30	22	0	0	0	0	0	0	0	0	0	0	0	0	1920860	
1	1	A	1	N	2500	0	40	382	1027	69	27	21	0	0	0	0	0	0	0	0	0	0	0	0	1922186	
2	1	A	1	N	2500	0	40	32	40	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1922482	
3	1	A	1	N	2500	0	40	30	45	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1922810	
4	1	A	1	N	2500	0	40	26	39	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1922810	
5	1	A	1	N	2500	0	40	29	36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1923621	
6	1	A	1	N	2500	0	40	306	871	49	20	16	0	0	0	0	0	0	0	0	0	0	0	0	1923808	
7	1	A	1	N	2500	0	40	377	1173	65	29	22	0	0	0	0	0	0	0	0	0	0	0	0	1924416	
8	1	A	1	N	2500	0	40	360	1064	58	26	24	0	0	0	0	0	0	0	0	0	0	0	0	1924510	
9	1	A	1	N	2500	0	40	699	1685	103	46	32	0	0	0	0	0	0	0	0	0	0	0	0	1924760	
10	1	A	1	N	2500	0	40	290	854	49	21	18	0	0	0	0	0	0	0	0	0	0	0	0	1924791	
11	1	A	1	N	2500	0	40	252	615	26	15	16	0	0	0	0	0	0	0	0	0	0	0	0	1924838	
12	1	A	1	N	2500	0	40	348	1070	76	26	25	0	0	0	0	0	0	0	0	0	0	0	0	1925103	
13	1	A	1	N	2500	0	40	323	978	55	23	16	0	0	0	0	0	0	0	0	0	0	0	0	1925524	
14	1	A	1	N	2500	0	40	404	1009	50	25	19	0	0	0	0	0	0	0	0	0	0	0	0	1925602	
15	1	A	1	N	2500	0	40	33	71	7	5	8	0	0	0	0	0	0	0	0	0	0	0	0	1925649	
16	1	A	1	N	2500	0	40	293	885	47	23	20	0	0	0	0	0	0	0	0	0	0	0	0	1926491	
17	1	A	1	N	2500	0	40	22	31	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1927115	
18	1	A	2	N	2500	0	40	26	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1934572	
