Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	26	23	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9646053	
1	1	A	1	N	2500	0	40	166	569	31	15	12	0	0	0	0	0	0	0	0	0	0	0	0	9646895	
2	1	A	1	N	2500	0	40	27	53	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9647004	
3	1	A	1	N	2500	0	40	251	638	37	13	10	0	0	0	0	0	0	0	0	0	0	0	0	9647160	
4	1	A	1	N	2500	0	40	193	939	44	24	17	0	0	0	0	0	0	0	0	0	0	0	0	9647285	
5	1	A	1	N	2500	0	40	259	809	35	20	14	0	0	0	0	0	0	0	0	0	0	0	0	9647816	
6	1	A	1	N	2500	0	40	188	713	52	23	19	0	0	0	0	0	0	0	0	0	0	0	0	9647909	
7	1	A	1	N	2500	0	40	262	1099	64	30	20	0	0	0	0	0	0	0	0	0	0	0	0	9648081	
8	1	A	1	N	2500	0	40	52	68	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9648923	
9	1	A	1	N	2500	0	40	135	459	30	17	11	0	0	0	0	0	0	0	0	0	0	0	0	9649188	
10	1	A	1	N	2500	0	40	206	645	30	15	10	0	0	0	0	0	0	0	0	0	0	0	0	9649313	
11	1	A	1	N	2500	0	40	248	879	43	20	14	0	0	0	0	0	0	0	0	0	0	0	0	9649344	
12	1	A	1	N	2500	0	40	65	194	14	15	15	0	0	0	0	0	0	0	0	0	0	0	0	9649890	
13	1	A	1	N	2500	0	40	304	833	46	20	17	0	0	0	0	0	0	0	0	0	0	0	0	9650702	
14	1	A	1	N	2500	0	40	345	1281	74	33	26	0	0	0	0	0	0	0	0	0	0	0	0	9651185	
15	1	A	1	N	2500	0	40	221	1088	55	26	16	0	0	0	0	0	0	0	0	0	0	0	0	9651232	
16	1	A	1	N	2500	0	40	200	520	30	13	8	0	0	0	0	0	0	0	0	0	0	0	0	9651700	
17	1	A	1	N	2500	0	40	211	867	57	23	18	0	0	0	0	0	0	0	0	0	0	0	0	9651825	
18	1	A	1	N	2500	0	40	260	1256	80	35	26	0	0	0	0	0	0	0	0	0	0	0	0	9651872	
19	1	A	1	N	2500	0	40	249	892	75	30	23	0	0	0	0	0	0	0	0	0	0	0	0	9652028	
20	1	A	1	N	2500	0	40	211	947	53	25	17	0	0	0	0	0	0	0	0	0	0	0	0	9652184	
21	1	A	1	N	2500	0	40	104	452	34	14	10	0	0	0	0	0	0	0	0	0	0	0	0	9652839	
22	1	A	1	N	2500	0	40	25	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9652854	
23	1	A	1	N	2500	0	40	226	778	47	22	18	0	0	0	0	0	0	0	0	0	0	0	0	9652948	
24	1	A	1	N	2500	0	40	285	977	55	23	20	0	0	0	0	0	0	0	0	0	0	0	0	9653244	
25	1	B	1	N	2500	0	40	186	369	11	6	8	0	0	0	0	0	0	0	0	0	0	0	0	9660514	
26	1	B	1	N	2500	0	40	28	57	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9661918	
27	1	B	1	N	2500	0	40	290	930	66	27	20	0	0	0	0	0	0	0	0	0	0	0	0	9662121	
28	1	B	1	N	2500	0	40	314	1055	67	28	19	0	0	0	0	0	0	0	0	0	0	0	0	9662573	
29	1	B	1	N	2500	0	40	282	903	61	26	18	0	0	0	0	0	0	0	0	0	0	0	0	9663213	
30	1	B	1	N	2500	0	40	208	893	63	27	15	0	0	0	0	0	0	0	0	0	0	0	0	9663587	
31	1	B	1	N	2500	0	40	26	23	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9663977	
32	1	B	1	N	2500	0	40	271	897	43	21	16	0	0	0	0	0	0	0	0	0	0	0	0	9665319	
33	1	B	1	N	2500	0	40	176	580	29	13	11	0	0	0	0	0	0	0	0	0	0	0	0	9665584	
34	1	B	1	N	2500	0	40	215	1053	67	30	22	0	0	0	0	0	0	0	0	0	0	0	0	9665709	
35	1	B	1	N	2500	0	40	269	840	41	22	16	0	0	0	0	0	0	0	0	0	0	0	0	9665818	
36	1	B	1	N	2500	0	40	50	69	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9665974	
37	1	B	1	N	2500	0	40	245	707	42	19	17	0	0	0	0	0	0	0	0	0	0	0	0	9665990	
38	1	B	1	N	2500	0	40	235	1258	68	33	22	0	0	0	0	0	0	0	0	0	0	0	0	9666520	
39	1	B	1	N	2500	0	40	368	1116	67	26	18	0	0	0	0	0	0	0	0	0	0	0	0	9666848	
40	1	B	1	N	2500	0	40	291	931	45	22	14	0	0	0	0	0	0	0	0	0	0	0	0	9667144	
41	1	B	1	N	2500	0	40	268	795	35	19	13	0	0	0	0	0	0	0	0	0	0	0	0	9667721	
42	1	C	1	N	2500	0	40	198	1075	61	27	17	0	0	0	0	0	0	0	0	0	0	0	0	9675350	
43	1	C	1	N	2500	0	40	20	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9675911	
44	1	C	1	N	2500	0	40	20	39	6	7	8	0	0	0	0	0	0	0	0	0	0	0	0	9676629	
45	1	C	1	N	2500	0	40	37	44	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	9677955	
46	1	C	1	N	2500	0	40	313	956	59	26	20	0	0	0	0	0	0	0	0	0	0	0	0	9678844	
47	1	C	1	N	2500	0	40	286	908	48	22	16	0	0	0	0	0	0	0	0	0	0	0	0	9678906	
48	1	C	1	N	2500	0	40	277	1068	85	31	21	0	0	0	0	0	0	0	0	0	0	0	0	9678922	
49	1	C	1	N	2500	0	40	57	67	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9679296	
50	1	C	1	N	2500	0	40	268	1070	56	28	19	0	0	0	0	0	0	0	0	0	0	0	0	9679624	
