Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	45	45	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15834348	
1	1	A	1	N	2500	0	40	22	40	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15834535	
2	1	A	1	N	2500	0	40	34	41	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15834707	
3	1	A	1	N	2500	0	40	31	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15835191	
4	1	A	1	N	2500	0	40	67	268	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15835269	
5	1	A	1	N	2500	0	40	179	472	21	11	7	0	0	0	0	0	0	0	0	0	0	0	0	15836267	
6	1	A	1	N	2500	0	40	108	241	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	15836595	
7	1	A	1	N	2500	0	40	140	225	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	15836657	
8	1	A	1	N	2500	0	40	21	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15836657	
9	1	A	1	N	2500	0	40	21	44	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15836875	
10	1	A	1	N	2500	0	40	25	24	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15837031	
11	1	A	1	N	2500	0	40	141	221	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	15837141	
12	1	A	1	N	2500	0	40	114	226	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15837219	
13	1	A	1	N	2500	0	40	76	159	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	15837234	
14	1	A	1	N	2500	0	40	33	58	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	15837234	
15	1	A	1	N	2500	0	40	253	538	24	10	9	0	0	0	0	0	0	0	0	0	0	0	0	15837546	
16	1	A	1	N	2500	0	40	108	209	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15837733	
17	1	A	1	N	2500	0	40	93	230	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15837952	
18	1	A	1	N	2500	0	40	102	261	9	4	2	0	0	0	0	0	0	0	0	0	0	0	0	15838092	
19	1	A	1	N	2500	0	40	41	75	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15838108	
20	1	A	1	N	2500	0	40	138	255	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	15838685	
21	1	A	1	N	2500	0	40	44	112	12	12	11	0	0	0	0	0	0	0	0	0	0	0	0	15839091	
22	1	A	1	N	2500	0	40	27	44	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15839262	
23	1	A	1	N	2500	0	40	126	254	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	15839481	
24	1	A	1	N	2500	0	40	25	37	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15839777	
25	1	A	1	N	2500	0	40	159	214	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15839824	
26	1	A	1	N	2500	0	40	112	208	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15839824	
27	1	A	1	N	2500	0	40	113	225	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15840136	
28	1	A	1	N	2500	0	40	27	46	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15840136	
29	1	A	1	N	2500	0	40	186	343	9	4	3	0	0	0	0	0	0	0	0	0	0	0	0	15840245	
30	1	A	1	N	2500	0	40	21	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15840573	
31	1	A	1	N	2500	0	40	25	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15840651	
32	1	A	1	N	2500	0	40	38	70	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15840947	
33	1	A	1	N	2500	0	40	68	173	14	14	15	0	0	0	0	0	0	0	0	0	0	0	0	15841009	
34	1	A	1	N	2500	0	40	24	30	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15841181	
35	1	A	1	N	2500	0	40	26	49	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	15841821	
36	1	B	1	N	2500	0	40	168	368	11	5	5	0	0	0	0	0	0	0	0	0	0	0	0	15849246	
37	1	B	1	N	2500	0	40	141	397	14	6	5	0	0	0	0	0	0	0	0	0	0	0	0	15850198	
38	1	B	1	N	2500	0	40	95	185	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15850307	
39	1	B	1	N	2500	0	40	33	39	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15850307	
40	1	B	1	N	2500	0	40	20	34	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15850447	
41	1	B	1	N	2500	0	40	40	71	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	15850479	
42	1	B	1	N	2500	0	40	211	659	21	12	10	0	0	0	0	0	0	0	0	0	0	0	0	15850510	
43	1	B	1	N	2500	0	40	97	227	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	15850635	
44	1	B	1	N	2500	0	40	109	239	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	15850822	
45	1	B	1	N	2500	0	40	58	106	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	15851025	
46	1	B	1	N	2500	0	40	135	192	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	15851040	
47	1	B	1	N	2500	0	40	33	59	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15851071	
48	1	B	1	N	2500	0	40	23	34	8	10	11	0	0	0	0	0	0	0	0	0	0	0	0	15851071	
49	1	B	1	N	2500	0	40	162	235	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15851274	
50	1	B	1	N	2500	0	40	43	39	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15851524	
51	1	B	1	N	2500	0	40	68	306	14	8	4	0	0	0	0	0	0	0	0	0	0	0	0	15852163	
