Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	278	870	49	21	17	0	0	0	0	0	0	0	0	0	0	0	0	18039025	
1	1	A	1	N	2500	0	40	237	794	57	25	21	0	0	0	0	0	0	0	0	0	0	0	0	18039337	
2	1	A	1	N	2500	0	40	208	703	29	14	10	0	0	0	0	0	0	0	0	0	0	0	0	18039587	
3	1	A	1	N	2500	0	40	279	940	63	28	21	0	0	0	0	0	0	0	0	0	0	0	0	18039805	
4	1	A	1	N	2500	0	40	25	32	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	18039977	
5	1	A	1	N	2500	0	40	236	1011	46	25	20	0	0	0	0	0	0	0	0	0	0	0	0	18040039	
6	1	A	1	N	2500	0	40	215	660	33	16	11	0	0	0	0	0	0	0	0	0	0	0	0	18040601	
7	1	A	1	N	2500	0	40	218	958	45	25	21	0	0	0	0	0	0	0	0	0	0	0	0	18040819	
8	1	A	1	N	2500	0	40	280	774	36	16	12	0	0	0	0	0	0	0	0	0	0	0	0	18040850	
9	1	A	1	N	2500	0	40	390	1054	57	26	21	0	0	0	0	0	0	0	0	0	0	0	0	18040944	
10	1	A	1	N	2500	0	40	21	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18041162	
11	1	A	1	N	2500	0	40	317	827	37	20	18	0	0	0	0	0	0	0	0	0	0	0	0	18041552	
12	1	A	1	N	2500	0	40	319	716	26	14	13	0	0	0	0	0	0	0	0	0	0	0	0	18041677	
13	1	A	1	N	2500	0	40	27	32	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	18041849	
14	1	A	1	N	2500	0	40	29	44	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	18042130	
15	1	A	1	N	2500	0	40	202	706	30	16	13	0	0	0	0	0	0	0	0	0	0	0	0	18042254	
16	1	A	1	N	2500	0	40	309	984	61	26	19	0	0	0	0	0	0	0	0	0	0	0	0	18042707	
17	1	A	1	N	2500	0	40	173	908	64	30	22	0	0	0	0	0	0	0	0	0	0	0	0	18043175	
18	1	A	1	N	2500	0	40	23	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18043206	
19	1	A	1	N	2500	0	40	261	854	47	20	17	0	0	0	0	0	0	0	0	0	0	0	0	18043565	
20	1	A	1	N	2500	0	40	351	1000	57	25	19	0	0	0	0	0	0	0	0	0	0	0	0	18043877	
21	1	A	1	N	2500	0	40	352	1043	57	28	17	0	0	0	0	0	0	0	0	0	0	0	0	18044048	
22	1	A	1	N	2500	0	40	337	848	38	18	14	0	0	0	0	0	0	0	0	0	0	0	0	18044158	
23	1	A	1	N	2500	0	40	255	1092	72	27	21	0	0	0	0	0	0	0	0	0	0	0	0	18044189	
24	1	A	1	N	2500	0	40	323	1058	64	27	19	0	0	0	0	0	0	0	0	0	0	0	0	18044236	
25	1	A	1	N	2500	0	40	356	992	45	20	16	0	0	0	0	0	0	0	0	0	0	0	0	18044516	
26	1	A	1	N	2500	0	40	358	1150	61	26	20	0	0	0	0	0	0	0	0	0	0	0	0	18044626	
27	1	A	1	N	2500	0	40	368	1296	74	30	22	0	0	0	0	0	0	0	0	0	0	0	0	18044626	
