Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	29	51	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22492131	
1	1	A	1	N	2500	0	40	219	1094	73	34	25	0	0	0	0	0	0	0	0	0	0	0	0	22492147	
2	1	A	1	N	2500	0	40	309	1083	73	30	25	0	0	0	0	0	0	0	0	0	0	0	0	22492178	
3	1	A	1	N	2500	0	40	31	51	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22492349	
4	1	A	1	N	2500	0	40	288	1110	65	29	20	0	0	0	0	0	0	0	0	0	0	0	0	22492615	
5	1	A	1	N	2500	0	40	299	1001	66	29	22	0	0	0	0	0	0	0	0	0	0	0	0	22492927	
6	1	A	1	N	2500	0	40	392	989	49	22	18	0	0	0	0	0	0	0	0	0	0	0	0	22493363	
7	1	A	1	N	2500	0	40	319	1105	55	27	21	0	0	0	0	0	0	0	0	0	0	0	0	22493582	
8	1	A	1	N	2500	0	40	500	1455	71	35	27	0	0	0	0	0	0	0	0	0	0	0	0	22493722	
9	1	A	1	N	2500	0	40	36	149	13	14	18	0	0	0	0	0	0	0	0	0	0	0	0	22493878	
10	1	A	1	N	2500	0	40	27	52	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22494065	
11	1	A	1	N	2500	0	40	311	1016	55	24	20	0	0	0	0	0	0	0	0	0	0	0	0	22494268	
12	1	A	1	N	2500	0	40	408	1398	80	31	21	0	0	0	0	0	0	0	0	0	0	0	0	22494315	
13	1	A	1	N	2500	0	40	303	1136	58	26	17	0	0	0	0	0	0	0	0	0	0	0	0	22494533	
14	1	A	1	N	2500	0	40	300	1066	63	30	23	0	0	0	0	0	0	0	0	0	0	0	0	22494892	
15	1	A	1	N	2500	0	40	341	1128	58	31	22	0	0	0	0	0	0	0	0	0	0	0	0	22495048	
16	1	A	1	N	2500	0	40	232	770	40	20	14	0	0	0	0	0	0	0	0	0	0	0	0	22495360	
17	1	A	1	N	2500	0	40	386	1186	64	32	23	0	0	0	0	0	0	0	0	0	0	0	0	22495376	
18	1	A	1	N	2500	0	40	24	41	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22495688	
19	1	A	1	N	2500	0	40	370	1237	76	35	25	0	0	0	0	0	0	0	0	0	0	0	0	22495828	
20	1	A	1	N	2500	0	40	24	42	10	12	14	0	0	0	0	0	0	0	0	0	0	0	0	22495906	
21	1	A	1	N	2500	0	40	243	823	61	26	21	0	0	0	0	0	0	0	0	0	0	0	0	22495906	
22	1	A	1	N	2500	0	40	350	1539	111	40	33	0	0	0	0	0	0	0	0	0	0	0	0	22496000	
23	1	A	1	N	2500	0	40	316	1039	56	26	18	0	0	0	0	0	0	0	0	0	0	0	0	22496015	
24	1	A	1	N	2500	0	40	25	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22496078	
25	1	A	1	N	2500	0	40	277	1225	61	28	22	0	0	0	0	0	0	0	0	0	0	0	0	22496203	
26	1	A	1	N	2500	0	40	311	1219	64	28	21	0	0	0	0	0	0	0	0	0	0	0	0	22496281	
27	1	A	1	N	2500	0	40	22	33	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	22496374	
28	1	A	1	N	2500	0	40	231	719	32	17	16	0	0	0	0	0	0	0	0	0	0	0	0	22496483	
29	1	A	1	N	2500	0	40	349	1170	59	27	21	0	0	0	0	0	0	0	0	0	0	0	0	22496951	
30	1	A	1	N	2500	0	40	374	1321	72	34	21	0	0	0	0	0	0	0	0	0	0	0	0	22497279	
31	1	A	1	N	2500	0	40	271	914	58	30	21	0	0	0	0	0	0	0	0	0	0	0	0	22497435	
32	1	A	1	N	2500	0	40	166	492	19	13	11	0	0	0	0	0	0	0	0	0	0	0	0	22497700	
33	1	A	1	N	2500	0	40	35	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22497981	
34	1	A	1	N	2500	0	40	281	1062	57	26	22	0	0	0	0	0	0	0	0	0	0	0	0	22498153	
35	1	A	1	N	2500	0	40	28	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22498480	
36	1	A	1	N	2500	0	40	70	241	19	18	22	0	0	0	0	0	0	0	0	0	0	0	0	22498527	
37	1	A	1	N	2500	0	40	388	1343	84	33	27	0	0	0	0	0	0	0	0	0	0	0	0	22498558	
38	1	A	1	N	2500	0	40	32	63	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	22499057	
39	1	A	1	N	2500	0	40	21	25	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	22499073	
40	1	A	2	N	2500	0	40	362	1065	79	28	21	0	0	0	0	0	0	0	0	0	0	0	0	22506436	
41	1	A	2	N	2500	0	40	198	436	14	8	7	0	0	0	0	0	0	0	0	0	0	0	0	22506998	
42	1	A	2	N	2500	0	40	31	67	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	22507107	
43	1	A	2	N	2500	0	40	279	674	27	15	13	0	0	0	0	0	0	0	0	0	0	0	0	22507201	
44	1	A	2	N	2500	0	40	177	501	21	13	8	0	0	0	0	0	0	0	0	0	0	0	0	22507747	
45	1	A	2	N	2500	0	40	51	69	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	22507762	
46	1	A	2	N	2500	0	40	301	561	19	11	8	0	0	0	0	0	0	0	0	0	0	0	0	22507871	
47	1	A	2	N	2500	0	40	232	750	37	18	15	0	0	0	0	0	0	0	0	0	0	0	0	22507996	
48	1	A	2	N	2500	0	40	147	471	24	12	7	0	0	0	0	0	0	0	0	0	0	0	0	22508012	
49	1	A	2	N	2500	0	40	141	551	16	12	10	0	0	0	0	0	0	0	0	0	0	0	0	22508168	
50	1	A	2	N	2500	0	40	21	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22508183	
51	1	A	2	N	2500	0	40	96	335	22	10	8	0	0	0	0	0	0	0	0	0	0	0	0	22508339	
52	1	A	2	N	2500	0	40	73	187	9	9	13	0	0	0	0	0	0	0	0	0	0	0	0	22508339	
53	1	A	2	N	2500	0	40	140	530	25	9	7	0	0	0	0	0	0	0	0	0	0	0	0	22508371	
54	1	A	2	N	2500	0	40	250	596	20	11	9	0	0	0	0	0	0	0	0	0	0	0	0	22508885	
55	1	A	2	N	2500	0	40	29	29	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22508901	
56	1	A	2	N	2500	0	40	211	537	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	22509010	
57	1	A	2	N	2500	0	40	131	472	17	10	10	0	0	0	0	0	0	0	0	0	0	0	0	22509010	
58	1	A	2	N	2500	0	40	107	366	15	9	8	0	0	0	0	0	0	0	0	0	0	0	0	22509119	
59	1	A	2	N	2500	0	40	187	731	38	19	14	0	0	0	0	0	0	0	0	0	0	0	0	22509260	
60	1	A	2	N	2500	0	40	243	513	19	11	9	0	0	0	0	0	0	0	0	0	0	0	0	22509291	
61	1	A	2	N	2500	0	40	178	664	47	24	15	0	0	0	0	0	0	0	0	0	0	0	0	22509322	
62	1	A	2	N	2500	0	40	113	363	18	10	10	0	0	0	0	0	0	0	0	0	0	0	0	22509463	
63	1	A	2	N	2500	0	40	30	44	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22509572	
64	1	A	2	N	2500	0	40	158	427	19	12	10	0	0	0	0	0	0	0	0	0	0	0	0	22509759	
