Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	329	1027	68	31	22	0	0	0	0	0	0	0	0	0	0	0	0	26280558	
1	1	A	1	N	2500	0	40	218	970	69	27	21	0	0	0	0	0	0	0	0	0	0	0	0	26280636	
2	1	A	1	N	2500	0	40	167	687	52	20	15	0	0	0	0	0	0	0	0	0	0	0	0	26280652	
3	1	A	1	N	2500	0	40	307	884	48	23	18	0	0	0	0	0	0	0	0	0	0	0	0	26281338	
4	1	A	1	N	2500	0	40	160	818	50	21	16	0	0	0	0	0	0	0	0	0	0	0	0	26281713	
5	1	A	1	N	2500	0	40	191	1088	94	34	25	0	0	0	0	0	0	0	0	0	0	0	0	26281916	
6	1	A	1	N	2500	0	40	34	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26282789	
7	1	A	1	N	2500	0	40	540	1775	110	43	31	0	0	0	0	0	0	0	0	0	0	0	0	26283288	
8	1	A	1	N	2500	0	40	209	799	56	24	19	0	0	0	0	0	0	0	0	0	0	0	0	26283304	
9	1	A	1	N	2500	0	40	358	1070	60	25	15	0	0	0	0	0	0	0	0	0	0	0	0	26283554	
10	1	A	1	N	2500	0	40	380	1024	56	27	21	0	0	0	0	0	0	0	0	0	0	0	0	26283585	
11	1	A	1	N	2500	0	40	322	987	56	27	17	0	0	0	0	0	0	0	0	0	0	0	0	26284302	
12	1	A	1	N	2500	0	40	218	539	29	16	11	0	0	0	0	0	0	0	0	0	0	0	0	26284365	
13	1	A	1	N	2500	0	40	21	36	7	9	9	0	0	0	0	0	0	0	0	0	0	0	0	26284443	
14	1	A	1	N	2500	0	40	185	1007	72	27	17	0	0	0	0	0	0	0	0	0	0	0	0	26285004	
15	1	A	1	N	2500	0	40	321	930	49	24	19	0	0	0	0	0	0	0	0	0	0	0	0	26285114	
16	1	A	1	N	2500	0	40	254	1129	84	32	22	0	0	0	0	0	0	0	0	0	0	0	0	26285348	
17	1	A	1	N	2500	0	40	213	1078	73	32	20	0	0	0	0	0	0	0	0	0	0	0	0	26285628	
18	1	A	1	N	2500	0	40	390	1206	72	29	19	0	0	0	0	0	0	0	0	0	0	0	0	26285831	
19	1	A	1	N	2500	0	40	333	978	64	25	18	0	0	0	0	0	0	0	0	0	0	0	0	26285972	
20	1	A	1	N	2500	0	40	316	1018	66	26	14	0	0	0	0	0	0	0	0	0	0	0	0	26286362	
21	1	A	1	N	2500	0	40	88	130	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	26286440	
22	1	A	1	N	2500	0	40	27	37	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	26286689	
23	1	A	2	N	2500	0	40	24	23	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26294614	
24	1	A	2	N	2500	0	40	344	1016	76	26	18	0	0	0	0	0	0	0	0	0	0	0	0	26294817	
25	1	A	2	N	2500	0	40	297	1046	68	30	25	0	0	0	0	0	0	0	0	0	0	0	0	26295113	
26	1	A	2	N	2500	0	40	35	80	6	6	8	0	0	0	0	0	0	0	0	0	0	0	0	26295581	
27	1	A	2	N	2500	0	40	320	885	52	22	14	0	0	0	0	0	0	0	0	0	0	0	0	26295675	
28	1	A	2	N	2500	0	40	398	1126	68	33	27	0	0	0	0	0	0	0	0	0	0	0	0	26295971	
29	1	A	2	N	2500	0	40	445	1409	82	40	29	0	0	0	0	0	0	0	0	0	0	0	0	26296314	
30	1	A	2	N	2500	0	40	85	114	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	26296330	
31	1	A	2	N	2500	0	40	25	27	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26296377	
32	1	A	2	N	2500	0	40	315	964	66	27	21	0	0	0	0	0	0	0	0	0	0	0	0	26296408	
33	1	A	2	N	2500	0	40	341	1054	78	29	21	0	0	0	0	0	0	0	0	0	0	0	0	26296595	
34	1	A	2	N	2500	0	40	359	1209	76	36	24	0	0	0	0	0	0	0	0	0	0	0	0	26296985	
35	1	A	2	N	2500	0	40	208	1157	77	34	20	0	0	0	0	0	0	0	0	0	0	0	0	26297250	
36	1	A	2	N	2500	0	40	199	1049	70	31	22	0	0	0	0	0	0	0	0	0	0	0	0	26297266	
37	1	A	2	N	2500	0	40	373	1244	74	29	22	0	0	0	0	0	0	0	0	0	0	0	0	26297297	
38	1	A	2	N	2500	0	40	297	1135	70	32	24	0	0	0	0	0	0	0	0	0	0	0	0	26297297	
39	1	A	2	N	2500	0	40	23	29	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26297328	
40	1	A	2	N	2500	0	40	314	876	51	21	16	0	0	0	0	0	0	0	0	0	0	0	0	26297937	
41	1	A	2	N	2500	0	40	314	815	41	20	11	0	0	0	0	0	0	0	0	0	0	0	0	26298327	
42	1	A	2	N	2500	0	40	175	817	56	20	14	0	0	0	0	0	0	0	0	0	0	0	0	26298405	
43	1	A	2	N	2500	0	40	353	1084	73	28	21	0	0	0	0	0	0	0	0	0	0	0	0	26298592	
44	1	A	2	N	2500	0	40	248	1066	71	29	21	0	0	0	0	0	0	0	0	0	0	0	0	26298748	
45	1	A	2	N	2500	0	40	201	916	50	25	17	0	0	0	0	0	0	0	0	0	0	0	0	26298920	
46	1	A	2	N	2500	0	40	321	976	67	28	20	0	0	0	0	0	0	0	0	0	0	0	0	26298998	
47	1	A	2	N	2500	0	40	27	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26299122	
48	1	A	2	N	2500	0	40	242	1042	63	29	21	0	0	0	0	0	0	0	0	0	0	0	0	26299232	
49	1	A	2	N	2500	0	40	172	1039	69	35	24	0	0	0	0	0	0	0	0	0	0	0	0	26299232	
50	1	A	2	N	2500	0	40	26	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26299263	
51	1	A	2	N	2500	0	40	233	1028	69	30	20	0	0	0	0	0	0	0	0	0	0	0	0	26299434	
52	1	A	2	N	2500	0	40	529	1137	79	27	23	0	0	0	0	0	0	0	0	0	0	0	0	26299746	
53	1	A	2	N	2500	0	40	222	1120	79	32	21	0	0	0	0	0	0	0	0	0	0	0	0	26299934	
54	1	A	2	N	2500	0	40	38	41	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	26299965	
55	1	A	2	N	2500	0	40	337	882	57	21	14	0	0	0	0	0	0	0	0	0	0	0	0	26300152	
56	1	A	2	N	2500	0	40	362	1253	89	31	23	0	0	0	0	0	0	0	0	0	0	0	0	26300199	
57	1	A	2	N	2500	0	40	348	911	55	20	19	0	0	0	0	0	0	0	0	0	0	0	0	26300214	
58	1	A	2	N	2500	0	40	284	970	62	28	16	0	0	0	0	0	0	0	0	0	0	0	0	26300246	
59	1	A	2	N	2500	0	40	356	1066	71	28	20	0	0	0	0	0	0	0	0	0	0	0	0	26300277	
60	1	A	2	N	2500	0	40	208	718	43	21	13	0	0	0	0	0	0	0	0	0	0	0	0	26300573	
61	1	A	2	N	2500	0	40	55	151	15	13	15	0	0	0	0	0	0	0	0	0	0	0	0	26300651	
62	1	A	2	N	2500	0	40	71	293	27	31	34	0	0	0	0	0	0	0	0	0	0	0	0	26300682	
63	1	A	2	N	2500	0	40	299	1162	89	34	24	0	0	0	0	0	0	0	0	0	0	0	0	26300854	
64	1	A	2	N	2500	0	40	350	1024	59	27	19	0	0	0	0	0	0	0	0	0	0	0	0	26300870	
65	1	A	2	N	2500	0	40	383	1128	74	29	20	0	0	0	0	0	0	0	0	0	0	0	0	26300885	
66	1	A	2	N	2500	0	40	312	1016	57	25	17	0	0	0	0	0	0	0	0	0	0	0	0	26301135	
67	1	A	2	N	2500	0	40	385	949	56	22	19	0	0	0	0	0	0	0	0	0	0	0	0	26301150	
68	1	A	2	N	2500	0	40	30	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26301166	
69	1	A	2	N	2500	0	40	256	828	47	21	17	0	0	0	0	0	0	0	0	0	0	0	0	26301462	
70	1	A	2	N	2500	0	40	259	1274	96	39	24	0	0	0	0	0	0	0	0	0	0	0	0	26301587	
71	1	A	2	N	2500	0	40	219	1114	92	36	26	0	0	0	0	0	0	0	0	0	0	0	0	26301618	
72	1	A	3	N	2500	0	40	22	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26308935	
73	1	A	3	N	2500	0	40	391	1059	72	30	23	0	0	0	0	0	0	0	0	0	0	0	0	26308982	
74	1	A	3	N	2500	0	40	222	1111	74	32	26	0	0	0	0	0	0	0	0	0	0	0	0	26309107	
75	1	A	3	N	2500	0	40	31	56	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26309169	
76	1	A	3	N	2500	0	40	20	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26309325	
77	1	A	3	N	2500	0	40	305	1040	75	29	19	0	0	0	0	0	0	0	0	0	0	0	0	26309731	
78	1	A	3	N	2500	0	40	35	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26309949	
79	1	A	3	N	2500	0	40	259	1119	82	34	23	0	0	0	0	0	0	0	0	0	0	0	0	26310058	
80	1	A	3	N	2500	0	40	27	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26310308	
81	1	A	3	N	2500	0	40	381	1260	86	31	24	0	0	0	0	0	0	0	0	0	0	0	0	26310417	
82	1	A	3	N	2500	0	40	393	1222	92	34	23	0	0	0	0	0	0	0	0	0	0	0	0	26310448	
83	1	A	3	N	2500	0	40	346	1053	67	33	27	0	0	0	0	0	0	0	0	0	0	0	0	26311010	
84	1	A	3	N	2500	0	40	348	1043	66	26	21	0	0	0	0	0	0	0	0	0	0	0	0	26311228	
85	1	A	3	N	2500	0	40	26	40	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26311509	
86	1	A	3	N	2500	0	40	362	1118	70	29	20	0	0	0	0	0	0	0	0	0	0	0	0	26311509	
87	1	A	3	N	2500	0	40	193	883	55	23	18	0	0	0	0	0	0	0	0	0	0	0	0	26311821	
