Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	417	1112	86	32	26	0	0	0	0	0	0	0	0	0	0	0	0	13729557	
1	1	A	1	N	2500	0	40	199	834	61	27	19	0	0	0	0	0	0	0	0	0	0	0	0	13729994	
2	1	A	1	N	2500	0	40	204	1122	81	36	26	0	0	0	0	0	0	0	0	0	0	0	0	13730228	
3	1	A	1	N	2500	0	40	199	729	36	19	13	0	0	0	0	0	0	0	0	0	0	0	0	13730478	
4	1	A	1	N	2500	0	40	375	993	56	24	17	0	0	0	0	0	0	0	0	0	0	0	0	13730571	
5	1	A	1	N	2500	0	40	302	1003	60	26	21	0	0	0	0	0	0	0	0	0	0	0	0	13730868	
6	1	A	1	N	2500	0	40	231	1140	80	31	23	0	0	0	0	0	0	0	0	0	0	0	0	13730946	
7	1	A	1	N	2500	0	40	364	1002	52	23	20	0	0	0	0	0	0	0	0	0	0	0	0	13731117	
8	1	A	1	N	2500	0	40	388	1278	86	31	25	0	0	0	0	0	0	0	0	0	0	0	0	13731445	
9	1	A	1	N	2500	0	40	282	1181	89	34	25	0	0	0	0	0	0	0	0	0	0	0	0	13731554	
10	1	A	1	N	2500	0	40	248	1279	90	36	28	0	0	0	0	0	0	0	0	0	0	0	0	13731648	
11	1	A	1	N	2500	0	40	24	52	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13731928	
12	1	A	1	N	2500	0	40	313	1198	74	39	29	0	0	0	0	0	0	0	0	0	0	0	0	13731991	
13	1	A	1	N	2500	0	40	375	1209	85	34	24	0	0	0	0	0	0	0	0	0	0	0	0	13732069	
14	1	A	1	N	2500	0	40	467	1200	97	32	25	0	0	0	0	0	0	0	0	0	0	0	0	13732677	
15	1	A	1	N	2500	0	40	286	915	47	20	16	0	0	0	0	0	0	0	0	0	0	0	0	13732740	
16	1	A	1	N	2500	0	40	315	1005	75	30	23	0	0	0	0	0	0	0	0	0	0	0	0	13732989	
17	1	A	1	N	2500	0	40	383	1011	51	25	20	0	0	0	0	0	0	0	0	0	0	0	0	13733176	
18	1	A	1	N	2500	0	40	280	1166	82	34	25	0	0	0	0	0	0	0	0	0	0	0	0	13733223	
