Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	349	998	47	21	16	0	0	0	0	0	0	0	0	0	0	0	0	28297869	
1	1	A	1	N	2500	0	40	28	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28298571	
2	1	A	1	N	2500	0	40	427	927	49	17	12	0	0	0	0	0	0	0	0	0	0	0	0	28298727	
3	1	A	1	N	2500	0	40	206	912	46	19	15	0	0	0	0	0	0	0	0	0	0	0	0	28299382	
4	1	A	1	N	2500	0	40	219	746	32	14	8	0	0	0	0	0	0	0	0	0	0	0	0	28299444	
5	1	A	1	N	2500	0	40	389	1045	63	21	18	0	0	0	0	0	0	0	0	0	0	0	0	28299460	
6	1	A	1	N	2500	0	40	395	878	37	15	12	0	0	0	0	0	0	0	0	0	0	0	0	28299476	
7	1	A	1	N	2500	0	40	425	1111	60	23	21	0	0	0	0	0	0	0	0	0	0	0	0	28299491	
8	1	A	1	N	2500	0	40	434	1017	57	20	21	0	0	0	0	0	0	0	0	0	0	0	0	28299569	
9	1	A	1	N	2500	0	40	461	1155	62	22	21	0	0	0	0	0	0	0	0	0	0	0	0	28299647	
10	1	A	1	N	2500	0	40	305	808	40	18	15	0	0	0	0	0	0	0	0	0	0	0	0	28299866	
11	1	A	1	N	2500	0	40	378	1089	57	24	18	0	0	0	0	0	0	0	0	0	0	0	0	28300552	
12	1	A	1	N	2500	0	40	30	66	5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	28300599	
13	1	A	1	N	2500	0	40	443	1371	67	29	23	0	0	0	0	0	0	0	0	0	0	0	0	28300770	
14	1	A	1	N	2500	0	40	40	61	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	28301176	
15	1	A	1	N	2500	0	40	281	977	63	21	17	0	0	0	0	0	0	0	0	0	0	0	0	28301223	
16	1	A	1	N	2500	0	40	49	60	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	28301426	
17	1	A	1	N	2500	0	40	305	950	38	15	14	0	0	0	0	0	0	0	0	0	0	0	0	28301472	
18	1	A	1	N	2500	0	40	371	915	44	17	15	0	0	0	0	0	0	0	0	0	0	0	0	28301706	
19	1	A	1	N	2500	0	40	409	1023	47	18	14	0	0	0	0	0	0	0	0	0	0	0	0	28301800	
20	1	A	1	N	2500	0	40	315	594	23	8	9	0	0	0	0	0	0	0	0	0	0	0	0	28302315	
21	1	A	1	N	2500	0	40	404	1013	43	19	15	0	0	0	0	0	0	0	0	0	0	0	0	28302596	
22	1	A	1	N	2500	0	40	244	603	21	11	11	0	0	0	0	0	0	0	0	0	0	0	0	28302611	
23	1	A	1	N	2500	0	40	456	1098	60	20	18	0	0	0	0	0	0	0	0	0	0	0	0	28302939	
24	1	A	1	N	2500	0	40	469	1369	75	25	25	0	0	0	0	0	0	0	0	0	0	0	0	28303282	
25	1	A	1	N	2500	0	40	325	1039	64	27	21	0	0	0	0	0	0	0	0	0	0	0	0	28303329	
26	1	A	1	N	2500	0	40	413	1112	49	22	18	0	0	0	0	0	0	0	0	0	0	0	0	28303547	
27	1	A	1	N	2500	0	40	28	45	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	28303890	
28	1	A	1	N	2500	0	40	20	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28304234	
29	1	A	1	N	2500	0	40	421	960	43	19	15	0	0	0	0	0	0	0	0	0	0	0	0	28304312	
30	1	A	1	N	2500	0	40	431	1091	64	23	18	0	0	0	0	0	0	0	0	0	0	0	0	28304358	
31	1	A	2	N	2500	0	40	405	1133	60	24	18	0	0	0	0	0	0	0	0	0	0	0	0	28312174	
32	1	A	2	N	2500	0	40	476	1083	54	22	15	0	0	0	0	0	0	0	0	0	0	0	0	28312361	
33	1	A	2	N	2500	0	40	184	515	19	9	8	0	0	0	0	0	0	0	0	0	0	0	0	28312673	
34	1	A	2	N	2500	0	40	425	995	44	15	16	0	0	0	0	0	0	0	0	0	0	0	0	28312751	
35	1	A	2	N	2500	0	40	559	1376	98	22	22	0	0	0	0	0	0	0	0	0	0	0	0	28312751	
36	1	A	2	N	2500	0	40	30	49	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	28312845	
