Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	21	38	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	33280642	
1	1	A	1	N	2500	0	40	222	1164	76	28	21	0	0	0	0	0	0	0	0	0	0	0	0	33281142	
2	1	A	1	N	2500	0	40	267	995	70	27	21	0	0	0	0	0	0	0	0	0	0	0	0	33281532	
3	1	A	1	N	2500	0	40	400	1101	57	23	17	0	0	0	0	0	0	0	0	0	0	0	0	33281781	
4	1	A	1	N	2500	0	40	419	1270	81	25	19	0	0	0	0	0	0	0	0	0	0	0	0	33281937	
5	1	A	1	N	2500	0	40	415	1368	74	33	24	0	0	0	0	0	0	0	0	0	0	0	0	33282078	
6	1	A	1	N	2500	0	40	208	978	57	21	15	0	0	0	0	0	0	0	0	0	0	0	0	33282234	
7	1	A	1	N	2500	0	40	32	53	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	33282296	
8	1	A	1	N	2500	0	40	292	559	19	9	8	0	0	0	0	0	0	0	0	0	0	0	0	33282405	
9	1	A	1	N	2500	0	40	396	1405	92	29	21	0	0	0	0	0	0	0	0	0	0	0	0	33282468	
10	1	A	1	N	2500	0	40	333	912	55	20	16	0	0	0	0	0	0	0	0	0	0	0	0	33282546	
11	1	A	1	N	2500	0	40	390	1061	75	23	21	0	0	0	0	0	0	0	0	0	0	0	0	33282826	
12	1	A	1	N	2500	0	40	541	1671	89	31	25	0	0	0	0	0	0	0	0	0	0	0	0	33283076	
13	1	A	1	N	2500	0	40	422	1164	89	30	24	0	0	0	0	0	0	0	0	0	0	0	0	33283123	
14	1	A	1	N	2500	0	40	511	1521	92	35	29	0	0	0	0	0	0	0	0	0	0	0	0	33283170	
15	1	A	1	N	2500	0	40	241	979	54	21	18	0	0	0	0	0	0	0	0	0	0	0	0	33283279	
16	1	A	1	N	2500	0	40	446	1238	63	29	21	0	0	0	0	0	0	0	0	0	0	0	0	33283419	
17	1	A	1	N	2500	0	40	293	995	53	20	17	0	0	0	0	0	0	0	0	0	0	0	0	33283466	
18	1	A	1	N	2500	0	40	454	1236	84	28	22	0	0	0	0	0	0	0	0	0	0	0	0	33284043	
19	1	A	1	N	2500	0	40	341	1130	90	26	19	0	0	0	0	0	0	0	0	0	0	0	0	33284277	
20	1	A	1	N	2500	0	40	379	1164	78	25	25	0	0	0	0	0	0	0	0	0	0	0	0	33284511	
21	1	A	1	N	2500	0	40	234	1001	64	28	21	0	0	0	0	0	0	0	0	0	0	0	0	33285026	
22	1	A	1	N	2500	0	40	464	1380	84	29	23	0	0	0	0	0	0	0	0	0	0	0	0	33285073	
23	1	A	1	N	2500	0	40	233	1012	51	23	16	0	0	0	0	0	0	0	0	0	0	0	0	33285463	
24	1	A	1	N	2500	0	40	462	1373	90	29	19	0	0	0	0	0	0	0	0	0	0	0	0	33285572	
25	1	A	1	N	2500	0	40	308	1276	79	29	21	0	0	0	0	0	0	0	0	0	0	0	0	33285588	
