Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	214	923	45	18	16	0	0	0	0	0	0	0	0	0	0	0	0	30018567	
1	1	A	1	N	2500	0	40	370	1116	67	21	19	0	0	0	0	0	0	0	0	0	0	0	0	30018786	
2	1	A	1	N	2500	0	40	360	1237	73	27	20	0	0	0	0	0	0	0	0	0	0	0	0	30018989	
3	1	A	1	N	2500	0	40	216	664	25	11	9	0	0	0	0	0	0	0	0	0	0	0	0	30018989	
4	1	A	1	N	2500	0	40	390	923	45	18	16	0	0	0	0	0	0	0	0	0	0	0	0	30019238	
5	1	A	1	N	2500	0	40	431	1176	57	25	22	0	0	0	0	0	0	0	0	0	0	0	0	30019332	
6	1	A	1	N	2500	0	40	552	1138	53	23	16	0	0	0	0	0	0	0	0	0	0	0	0	30019457	
7	1	A	1	N	2500	0	40	217	975	53	23	14	0	0	0	0	0	0	0	0	0	0	0	0	30020580	
8	1	A	1	N	2500	0	40	21	34	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	30020580	
9	1	A	1	N	2500	0	40	438	1350	78	29	20	0	0	0	0	0	0	0	0	0	0	0	0	30020783	
10	1	A	1	N	2500	0	40	416	1042	56	19	15	0	0	0	0	0	0	0	0	0	0	0	0	30020829	
11	1	A	1	N	2500	0	40	394	1354	78	28	20	0	0	0	0	0	0	0	0	0	0	0	0	30020907	
12	1	A	1	N	2500	0	40	77	103	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	30021344	
13	1	A	1	N	2500	0	40	340	848	52	25	18	0	0	0	0	0	0	0	0	0	0	0	0	30021344	
14	1	A	1	N	2500	0	40	290	667	26	12	11	0	0	0	0	0	0	0	0	0	0	0	0	30021422	
15	1	A	1	N	2500	0	40	235	1100	61	24	18	0	0	0	0	0	0	0	0	0	0	0	0	30021734	
16	1	A	1	N	2500	0	40	37	71	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30021734	
17	1	A	1	N	2500	0	40	242	856	41	18	14	0	0	0	0	0	0	0	0	0	0	0	0	30021828	
18	1	A	1	N	2500	0	40	427	1225	69	24	18	0	0	0	0	0	0	0	0	0	0	0	0	30021859	
19	1	A	1	N	2500	0	40	320	1080	56	22	17	0	0	0	0	0	0	0	0	0	0	0	0	30021890	
20	1	A	1	N	2500	0	40	438	1320	58	27	19	0	0	0	0	0	0	0	0	0	0	0	0	30021984	
21	1	A	1	N	2500	0	40	193	802	36	16	11	0	0	0	0	0	0	0	0	0	0	0	0	30022109	
