Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	351	997	46	18	14	0	0	0	0	0	0	0	0	0	0	0	0	31729844	
1	1	A	1	N	2500	0	40	230	983	54	19	13	0	0	0	0	0	0	0	0	0	0	0	0	31729890	
2	1	A	1	N	2500	0	40	329	1073	53	26	21	0	0	0	0	0	0	0	0	0	0	0	0	31730093	
3	1	A	1	N	2500	0	40	367	878	34	12	9	0	0	0	0	0	0	0	0	0	0	0	0	31730592	
4	1	A	1	N	2500	0	40	399	1004	42	17	15	0	0	0	0	0	0	0	0	0	0	0	0	31732449	
5	1	A	1	N	2500	0	40	307	1014	68	26	19	0	0	0	0	0	0	0	0	0	0	0	0	31732589	
6	1	A	1	N	2500	0	40	604	1254	50	27	22	0	0	0	0	0	0	0	0	0	0	0	0	31732683	
7	1	A	1	N	2500	0	40	372	1010	50	20	19	0	0	0	0	0	0	0	0	0	0	0	0	31733151	
8	1	A	1	N	2500	0	40	505	1168	58	24	21	0	0	0	0	0	0	0	0	0	0	0	0	31733837	
9	1	A	1	N	2500	0	40	417	1004	48	18	14	0	0	0	0	0	0	0	0	0	0	0	0	31734414	
10	1	A	1	N	2500	0	40	343	1055	66	24	19	0	0	0	0	0	0	0	0	0	0	0	0	31734430	
11	1	A	1	N	2500	0	40	27	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	31734617	
12	1	A	1	N	2500	0	40	257	1095	64	24	17	0	0	0	0	0	0	0	0	0	0	0	0	31734711	
13	1	A	1	N	2500	0	40	275	990	58	23	16	0	0	0	0	0	0	0	0	0	0	0	0	31734898	
14	1	A	1	N	2500	0	40	292	861	36	17	15	0	0	0	0	0	0	0	0	0	0	0	0	31734976	
15	1	A	1	N	2500	0	40	341	962	40	21	15	0	0	0	0	0	0	0	0	0	0	0	0	31735070	
16	1	A	1	N	2500	0	40	232	920	51	19	14	0	0	0	0	0	0	0	0	0	0	0	0	31735335	
17	1	A	1	N	2500	0	40	20	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735350	
18	1	A	1	N	2500	0	40	30	31	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31735491	
19	1	A	1	N	2500	0	40	269	1009	55	20	14	0	0	0	0	0	0	0	0	0	0	0	0	31735506	
20	1	A	1	N	2500	0	40	627	1667	86	31	27	0	0	0	0	0	0	0	0	0	0	0	0	31735600	
21	1	A	1	N	2500	0	40	27	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
22	1	A	1	N	2500	0	40	38	107	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
23	1	A	1	N	2500	0	40	69	268	6	1	9	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
24	1	A	1	N	2500	0	40	25	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
25	1	A	1	N	2500	0	40	638	3086	58	20	119	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
26	1	A	1	N	2500	0	40	93	169	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
27	1	A	1	N	2500	0	40	59	73	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
28	1	A	1	N	2500	0	40	150	260	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
29	1	A	1	N	2500	0	40	35	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
30	1	A	1	N	2500	0	40	27	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
31	1	A	1	N	2500	0	40	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
32	1	A	1	N	2500	0	40	38	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
33	1	A	1	N	2500	0	40	20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
34	1	A	1	N	2500	0	40	48	69	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
35	1	A	1	N	2500	0	40	33	49	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	31735928	
36	1	A	1	N	2500	0	40	20	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31735943	
37	1	A	1	N	2500	0	40	317	953	41	19	16	0	0	0	0	0	0	0	0	0	0	0	0	31736177	
38	1	A	1	N	2500	0	40	26	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31736208	
39	1	A	1	N	2500	0	40	207	840	33	14	12	0	0	0	0	0	0	0	0	0	0	0	0	31736286	
40	1	A	1	N	2500	0	40	218	740	41	14	11	0	0	0	0	0	0	0	0	0	0	0	0	31736349	
41	1	A	1	N	2500	0	40	365	835	33	13	13	0	0	0	0	0	0	0	0	0	0	0	0	31737113	
42	1	A	1	N	2500	0	40	410	1067	58	22	16	0	0	0	0	0	0	0	0	0	0	0	0	31737113	
43	1	A	2	N	2500	0	40	32	33	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	31744476	
44	1	A	2	N	2500	0	40	464	1179	60	24	17	0	0	0	0	0	0	0	0	0	0	0	0	31745069	
45	1	A	2	N	2500	0	40	322	1039	61	21	17	0	0	0	0	0	0	0	0	0	0	0	0	31745132	
46	1	A	2	N	2500	0	40	354	731	24	10	9	0	0	0	0	0	0	0	0	0	0	0	0	31745303	
47	1	A	2	N	2500	0	40	28	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	31746036	
48	1	A	2	N	2500	0	40	224	644	33	14	8	0	0	0	0	0	0	0	0	0	0	0	0	31746052	
49	1	A	2	N	2500	0	40	232	906	43	16	12	0	0	0	0	0	0	0	0	0	0	0	0	31746364	
50	1	A	2	N	2500	0	40	371	1053	58	22	17	0	0	0	0	0	0	0	0	0	0	0	0	31746988	
51	1	A	2	N	2500	0	40	400	1052	49	17	15	0	0	0	0	0	0	0	0	0	0	0	0	31747456	
52	1	A	2	N	2500	0	40	214	875	43	17	14	0	0	0	0	0	0	0	0	0	0	0	0	31747550	
53	1	A	2	N	2500	0	40	315	735	23	13	11	0	0	0	0	0	0	0	0	0	0	0	0	31747674	
54	1	A	2	N	2500	0	40	415	878	37	17	12	0	0	0	0	0	0	0	0	0	0	0	0	31747893	
55	1	A	2	N	2500	0	40	23	36	8	8	9	0	0	0	0	0	0	0	0	0	0	0	0	31748142	
56	1	A	2	N	2500	0	40	472	1330	60	24	19	0	0	0	0	0	0	0	0	0	0	0	0	31748376	
57	1	A	2	N	2500	0	40	415	1015	53	20	16	0	0	0	0	0	0	0	0	0	0	0	0	31748408	
58	1	A	2	N	2500	0	40	342	1028	74	26	20	0	0	0	0	0	0	0	0	0	0	0	0	31748626	
59	1	A	2	N	2500	0	40	437	1219	70	22	22	0	0	0	0	0	0	0	0	0	0	0	0	31749047	
60	1	A	2	N	2500	0	40	197	632	28	14	9	0	0	0	0	0	0	0	0	0	0	0	0	31749125	
