Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	370	1212	66	28	23	0	0	0	0	0	0	0	0	0	0	0	0	3619211	
1	1	A	1	N	2500	0	40	374	1256	93	33	23	0	0	0	0	0	0	0	0	0	0	0	0	3619694	
2	1	A	1	N	2500	0	40	196	1092	87	32	22	0	0	0	0	0	0	0	0	0	0	0	0	3620490	
3	1	A	1	N	2500	0	40	410	1546	88	34	28	0	0	0	0	0	0	0	0	0	0	0	0	3620583	
4	1	A	1	N	2500	0	40	22	28	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3620786	
5	1	A	1	N	2500	0	40	31	65	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3621363	
6	1	A	1	N	2500	0	40	207	1151	69	32	20	0	0	0	0	0	0	0	0	0	0	0	0	3622939	
7	1	A	1	N	2500	0	40	298	1125	70	30	17	0	0	0	0	0	0	0	0	0	0	0	0	3624639	
8	1	A	1	N	2500	0	40	360	1184	65	32	24	0	0	0	0	0	0	0	0	0	0	0	0	3624749	
9	1	A	1	N	2500	0	40	315	1195	95	39	25	0	0	0	0	0	0	0	0	0	0	0	0	3624827	
10	1	B	1	N	2500	0	40	386	1477	93	36	27	0	0	0	0	0	0	0	0	0	0	0	0	3632892	
11	1	B	1	N	2500	0	40	416	1395	80	35	22	0	0	0	0	0	0	0	0	0	0	0	0	3632985	
12	1	B	1	N	2500	0	40	22	48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3633703	
13	1	B	1	N	2500	0	40	264	1177	81	35	23	0	0	0	0	0	0	0	0	0	0	0	0	3633968	
14	1	B	1	N	2500	0	40	376	1102	61	26	16	0	0	0	0	0	0	0	0	0	0	0	0	3635138	
15	1	B	1	N	2500	0	40	447	1279	57	26	18	0	0	0	0	0	0	0	0	0	0	0	0	3635575	
16	1	B	1	N	2500	0	40	29	45	8	9	10	0	0	0	0	0	0	0	0	0	0	0	0	3635793	
17	1	B	1	N	2500	0	40	471	1215	84	33	26	0	0	0	0	0	0	0	0	0	0	0	0	3635918	
18	1	B	1	N	2500	0	40	209	1226	81	35	20	0	0	0	0	0	0	0	0	0	0	0	0	3636324	
19	1	B	1	N	2500	0	40	224	667	24	11	8	0	0	0	0	0	0	0	0	0	0	0	0	3636729	
20	1	B	1	N	2500	0	40	55	198	16	16	17	0	0	0	0	0	0	0	0	0	0	0	0	3636823	
21	1	B	1	N	2500	0	40	246	1194	83	30	20	0	0	0	0	0	0	0	0	0	0	0	0	3637088	
22	1	B	1	N	2500	0	40	305	1326	93	39	25	0	0	0	0	0	0	0	0	0	0	0	0	3637135	
23	1	B	1	N	2500	0	40	429	1433	79	34	25	0	0	0	0	0	0	0	0	0	0	0	0	3637338	
24	1	B	1	N	2500	0	40	21	33	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3637556	
25	1	B	1	N	2500	0	40	200	951	56	21	15	0	0	0	0	0	0	0	0	0	0	0	0	3637821	
26	1	B	1	N	2500	0	40	401	1409	76	31	20	0	0	0	0	0	0	0	0	0	0	0	0	3637931	
27	1	B	1	N	2500	0	40	388	1138	55	23	17	0	0	0	0	0	0	0	0	0	0	0	0	3638305	
28	1	B	1	N	2500	0	40	342	1001	51	23	15	0	0	0	0	0	0	0	0	0	0	0	0	3638414	
29	1	B	1	N	2500	0	40	366	1191	77	31	20	0	0	0	0	0	0	0	0	0	0	0	0	3638461	
30	1	B	1	N	2500	0	40	21	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3639756	
31	1	B	1	N	2500	0	40	385	1102	62	26	17	0	0	0	0	0	0	0	0	0	0	0	0	3639803	
32	1	C	1	N	2500	0	40	227	1121	73	28	19	0	0	0	0	0	0	0	0	0	0	0	0	3647634	
33	1	C	1	N	2500	0	40	280	1191	79	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3648102	
34	1	C	1	N	2500	0	40	25	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3648976	
35	1	C	1	N	2500	0	40	274	1242	75	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3649568	
36	1	C	1	N	2500	0	40	434	1253	88	30	21	0	0	0	0	0	0	0	0	0	0	0	0	3649662	
37	1	C	1	N	2500	0	40	218	1246	85	36	25	0	0	0	0	0	0	0	0	0	0	0	0	3649927	
38	1	C	1	N	2500	0	40	244	1161	79	26	17	0	0	0	0	0	0	0	0	0	0	0	0	3650364	
39	1	C	1	N	2500	0	40	247	1258	83	32	21	0	0	0	0	0	0	0	0	0	0	0	0	3650380	
40	1	C	1	N	2500	0	40	249	971	60	26	15	0	0	0	0	0	0	0	0	0	0	0	0	3650504	
41	1	C	1	N	2500	0	40	393	1283	76	31	22	0	0	0	0	0	0	0	0	0	0	0	0	3651862	
42	1	C	1	N	2500	0	40	196	1089	62	29	18	0	0	0	0	0	0	0	0	0	0	0	0	3652220	
43	1	C	1	N	2500	0	40	381	1102	72	25	17	0	0	0	0	0	0	0	0	0	0	0	0	3652548	
44	1	C	1	N	2500	0	40	315	1105	74	33	22	0	0	0	0	0	0	0	0	0	0	0	0	3652704	
45	1	C	1	N	2500	0	40	395	1329	84	34	23	0	0	0	0	0	0	0	0	0	0	0	0	3654061	
46	1	C	1	N	2500	0	40	435	1264	122	37	24	0	0	0	0	0	0	0	0	0	0	0	0	3654404	
47	1	D	1	N	2500	0	40	318	1029	95	31	20	0	0	0	0	0	0	0	0	0	0	0	0	3662360	
