Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	339	1517	84	34	23	0	0	0	0	0	0	0	0	0	0	0	0	5061917	
1	1	A	1	N	2500	0	40	418	1612	96	44	32	0	0	0	0	0	0	0	0	0	0	0	0	5063290	
2	1	A	1	N	2500	0	40	245	1384	96	40	29	0	0	0	0	0	0	0	0	0	0	0	0	5063446	
3	1	A	1	N	2500	0	40	258	1317	78	35	26	0	0	0	0	0	0	0	0	0	0	0	0	5064257	
4	1	A	1	N	2500	0	40	384	1357	84	34	25	0	0	0	0	0	0	0	0	0	0	0	0	5064335	
5	1	A	1	N	2500	0	40	318	1482	117	39	27	0	0	0	0	0	0	0	0	0	0	0	0	5064350	
6	1	A	1	N	2500	0	40	460	1441	85	33	25	0	0	0	0	0	0	0	0	0	0	0	0	5064694	
7	1	A	1	N	2500	0	40	20	29	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5065240	
8	1	A	1	N	2500	0	40	397	1319	63	28	21	0	0	0	0	0	0	0	0	0	0	0	0	5065255	
9	1	A	1	N	2500	0	40	340	1380	100	37	25	0	0	0	0	0	0	0	0	0	0	0	0	5065754	
10	1	A	1	N	2500	0	40	388	1304	75	28	19	0	0	0	0	0	0	0	0	0	0	0	0	5066644	
11	1	A	1	N	2500	0	40	272	1270	87	33	23	0	0	0	0	0	0	0	0	0	0	0	0	5067221	
12	1	A	1	N	2500	0	40	349	1518	98	47	30	0	0	0	0	0	0	0	0	0	0	0	0	5067221	
13	1	A	1	N	2500	0	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5067221	
14	1	A	1	N	2500	0	40	342	1396	83	36	25	0	0	0	0	0	0	0	0	0	0	0	0	5068999	
15	1	B	1	N	2500	0	40	384	1313	86	33	23	0	0	0	0	0	0	0	0	0	0	0	0	5076456	
16	1	B	1	N	2500	0	40	281	1099	83	35	24	0	0	0	0	0	0	0	0	0	0	0	0	5076940	
17	1	B	1	N	2500	0	40	370	1283	92	36	23	0	0	0	0	0	0	0	0	0	0	0	0	5079482	
18	1	B	1	N	2500	0	40	368	1280	79	31	25	0	0	0	0	0	0	0	0	0	0	0	0	5080590	
19	1	B	1	N	2500	0	40	364	1046	56	23	15	0	0	0	0	0	0	0	0	0	0	0	0	5080949	
20	1	B	1	N	2500	0	40	306	1291	70	25	18	0	0	0	0	0	0	0	0	0	0	0	0	5081058	
21	1	B	1	N	2500	0	40	387	1264	78	30	20	0	0	0	0	0	0	0	0	0	0	0	0	5081167	
22	1	B	1	N	2500	0	40	374	1254	74	30	19	0	0	0	0	0	0	0	0	0	0	0	0	5081557	
23	1	B	1	N	2500	0	40	256	1122	64	25	16	0	0	0	0	0	0	0	0	0	0	0	0	5081635	
24	1	B	1	N	2500	0	40	41	71	7	7	6	0	0	0	0	0	0	0	0	0	0	0	0	5081807	
25	1	B	1	N	2500	0	40	310	1388	91	40	25	0	0	0	0	0	0	0	0	0	0	0	0	5082306	
26	1	B	1	N	2500	0	40	538	1665	89	37	24	0	0	0	0	0	0	0	0	0	0	0	0	5082805	
27	1	B	1	N	2500	0	40	297	1279	86	37	22	0	0	0	0	0	0	0	0	0	0	0	0	5083429	
28	1	C	1	N	2500	0	40	376	1249	79	29	20	0	0	0	0	0	0	0	0	0	0	0	0	5091838	
29	1	C	1	N	2500	0	40	229	994	65	28	21	0	0	0	0	0	0	0	0	0	0	0	0	5092196	
30	1	C	1	N	2500	0	40	366	1268	75	31	21	0	0	0	0	0	0	0	0	0	0	0	0	5092805	
31	1	C	1	N	2500	0	40	377	1255	71	30	23	0	0	0	0	0	0	0	0	0	0	0	0	5092836	
32	1	C	1	N	2500	0	40	227	1078	83	36	27	0	0	0	0	0	0	0	0	0	0	0	0	5093351	
33	1	C	1	N	2500	0	40	54	91	7	5	5	0	0	0	0	0	0	0	0	0	0	0	0	5093990	
34	1	C	1	N	2500	0	40	463	1428	81	28	23	0	0	0	0	0	0	0	0	0	0	0	0	5094942	
35	1	C	1	N	2500	0	40	297	1218	78	29	20	0	0	0	0	0	0	0	0	0	0	0	0	5095036	
36	1	C	1	N	2500	0	40	194	925	54	23	14	0	0	0	0	0	0	0	0	0	0	0	0	5095301	
37	1	C	1	N	2500	0	40	484	1537	96	35	21	0	0	0	0	0	0	0	0	0	0	0	0	5095472	
