Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	444	1480	83	32	25	0	0	0	0	0	0	0	0	0	0	0	0	7367806	
1	1	A	1	N	2500	0	40	38	124	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7367853	
2	1	A	1	N	2500	0	40	410	1439	84	35	30	0	0	0	0	0	0	0	0	0	0	0	0	7368009	
3	1	A	1	N	2500	0	40	373	1188	69	28	21	0	0	0	0	0	0	0	0	0	0	0	0	7368306	
4	1	A	1	N	2500	0	40	359	1383	89	33	23	0	0	0	0	0	0	0	0	0	0	0	0	7368727	
5	1	A	1	N	2500	0	40	263	1636	104	43	31	0	0	0	0	0	0	0	0	0	0	0	0	7368898	
6	1	A	1	N	2500	0	40	417	1408	90	32	25	0	0	0	0	0	0	0	0	0	0	0	0	7368930	
7	1	A	1	N	2500	0	40	230	1284	80	31	25	0	0	0	0	0	0	0	0	0	0	0	0	7369023	
8	1	A	1	N	2500	0	40	44	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7369257	
9	1	A	1	N	2500	0	40	80	117	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	7369257	
10	1	A	1	N	2500	0	40	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7369288	
11	1	A	1	N	2500	0	40	430	1444	85	34	27	0	0	0	0	0	0	0	0	0	0	0	0	7369569	
12	1	A	1	N	2500	0	40	474	1482	77	35	25	0	0	0	0	0	0	0	0	0	0	0	0	7370100	
13	1	A	1	N	2500	0	40	26	31	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	7370178	
14	1	A	1	N	2500	0	40	411	1376	81	30	23	0	0	0	0	0	0	0	0	0	0	0	0	7370209	
15	1	A	1	N	2500	0	40	231	530	28	18	19	0	0	0	0	0	0	0	0	0	0	0	0	7370318	
16	1	A	1	N	2500	0	40	413	1355	77	29	24	0	0	0	0	0	0	0	0	0	0	0	0	7370349	
17	1	A	1	N	2500	0	40	364	1321	70	37	28	0	0	0	0	0	0	0	0	0	0	0	0	7370349	
18	1	A	1	N	2500	0	40	401	1572	82	42	35	0	0	0	0	0	0	0	0	0	0	0	0	7370365	
19	1	A	1	N	2500	0	40	430	1369	71	28	25	0	0	0	0	0	0	0	0	0	0	0	0	7370552	
20	1	A	1	N	2500	0	40	366	1560	122	47	36	0	0	0	0	0	0	0	0	0	0	0	0	7370724	
21	1	A	1	N	2500	0	40	388	1195	67	26	22	0	0	0	0	0	0	0	0	0	0	0	0	7371316	
22	1	A	1	N	2500	0	40	37	52	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7371348	
23	1	A	1	N	2500	0	40	401	1448	79	34	25	0	0	0	0	0	0	0	0	0	0	0	0	7371426	
24	1	A	1	N	2500	0	40	398	1426	69	33	23	0	0	0	0	0	0	0	0	0	0	0	0	7371597	
25	1	A	1	N	2500	0	40	344	1491	75	41	30	0	0	0	0	0	0	0	0	0	0	0	0	7371722	
26	1	A	1	N	2500	0	40	410	1377	80	32	25	0	0	0	0	0	0	0	0	0	0	0	0	7371972	
27	1	A	1	N	2500	0	40	413	1327	80	32	25	0	0	0	0	0	0	0	0	0	0	0	0	7372190	
28	1	A	1	N	2500	0	40	443	1497	76	35	30	0	0	0	0	0	0	0	0	0	0	0	0	7372486	
29	1	A	1	N	2500	0	40	400	1387	84	33	25	0	0	0	0	0	0	0	0	0	0	0	0	7372783	
30	1	A	1	N	2500	0	40	262	1458	99	36	28	0	0	0	0	0	0	0	0	0	0	0	0	7373079	
31	1	A	1	N	2500	0	40	457	1496	75	33	25	0	0	0	0	0	0	0	0	0	0	0	0	7373142	
32	1	A	1	N	2500	0	40	25	42	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7373922	
33	1	A	1	N	2500	0	40	380	1255	73	30	21	0	0	0	0	0	0	0	0	0	0	0	0	7374171	
34	1	A	1	N	2500	0	40	213	1052	63	23	22	0	0	0	0	0	0	0	0	0	0	0	0	7374499	
35	1	A	1	N	2500	0	40	53	134	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	7374764	
36	1	A	1	N	2500	0	40	374	1296	95	33	23	0	0	0	0	0	0	0	0	0	0	0	0	7374982	
37	1	A	1	N	2500	0	40	353	1415	73	34	28	0	0	0	0	0	0	0	0	0	0	0	0	7375170	
38	1	A	1	N	2500	0	40	33	70	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	7375216	
39	1	B	1	N	2500	0	40	382	1282	80	29	22	0	0	0	0	0	0	0	0	0	0	0	0	7382767	
40	1	B	1	N	2500	0	40	393	1296	76	28	25	0	0	0	0	0	0	0	0	0	0	0	0	7382860	
41	1	B	1	N	2500	0	40	26	53	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7382970	
42	1	B	1	N	2500	0	40	235	1427	84	35	25	0	0	0	0	0	0	0	0	0	0	0	0	7382985	
43	1	B	1	N	2500	0	40	386	1282	71	31	25	0	0	0	0	0	0	0	0	0	0	0	0	7383063	
44	1	B	1	N	2500	0	40	387	1383	61	33	28	0	0	0	0	0	0	0	0	0	0	0	0	7383266	
45	1	B	1	N	2500	0	40	426	1490	103	38	31	0	0	0	0	0	0	0	0	0	0	0	0	7383516	
46	1	B	1	N	2500	0	40	27	59	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7383828	
47	1	B	1	N	2500	0	40	408	1335	79	32	22	0	0	0	0	0	0	0	0	0	0	0	0	7384077	
48	1	B	1	N	2500	0	40	325	1403	71	38	29	0	0	0	0	0	0	0	0	0	0	0	0	7384186	
49	1	B	1	N	2500	0	40	400	1444	80	39	30	0	0	0	0	0	0	0	0	0	0	0	0	7384327	
50	1	B	1	N	2500	0	40	476	1590	80	41	35	0	0	0	0	0	0	0	0	0	0	0	0	7384374	
51	1	B	1	N	2500	0	40	239	1382	86	36	28	0	0	0	0	0	0	0	0	0	0	0	0	7384576	
52	1	B	1	N	2500	0	40	284	1390	82	40	28	0	0	0	0	0	0	0	0	0	0	0	0	7384654	
53	1	B	1	N	2500	0	40	249	1041	61	25	18	0	0	0	0	0	0	0	0	0	0	0	0	7384732	
54	1	B	1	N	2500	0	40	393	1317	79	30	26	0	0	0	0	0	0	0	0	0	0	0	0	7384935	
55	1	B	1	N	2500	0	40	420	1404	82	31	25	0	0	0	0	0	0	0	0	0	0	0	0	7384998	
56	1	B	1	N	2500	0	40	27	41	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	7385294	
57	1	B	1	N	2500	0	40	39	116	8	9	10	0	0	0	0	0	0	0	0	0	0	0	0	7385325	
58	1	B	1	N	2500	0	40	451	1331	86	29	20	0	0	0	0	0	0	0	0	0	0	0	0	7385653	
59	1	B	1	N	2500	0	40	406	1460	74	35	26	0	0	0	0	0	0	0	0	0	0	0	0	7385700	
60	1	B	1	N	2500	0	40	334	1490	79	42	31	0	0	0	0	0	0	0	0	0	0	0	0	7385793	
61	1	B	1	N	2500	0	40	464	1623	121	41	36	0	0	0	0	0	0	0	0	0	0	0	0	7385902	
62	1	B	1	N	2500	0	40	312	1646	119	45	34	0	0	0	0	0	0	0	0	0	0	0	0	7385918	
63	1	B	1	N	2500	0	40	415	1356	76	28	25	0	0	0	0	0	0	0	0	0	0	0	0	7386074	
64	1	B	1	N	2500	0	40	413	1359	94	33	25	0	0	0	0	0	0	0	0	0	0	0	0	7386230	
65	1	B	1	N	2500	0	40	388	1266	69	28	21	0	0	0	0	0	0	0	0	0	0	0	0	7386277	
66	1	B	1	N	2500	0	40	50	76	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	7386339	
67	1	B	1	N	2500	0	40	257	1499	93	41	31	0	0	0	0	0	0	0	0	0	0	0	0	7386370	
68	1	B	1	N	2500	0	40	372	1200	65	27	23	0	0	0	0	0	0	0	0	0	0	0	0	7386386	
69	1	B	1	N	2500	0	40	245	518	17	8	9	0	0	0	0	0	0	0	0	0	0	0	0	7386558	
70	1	B	1	N	2500	0	40	408	1334	81	30	32	0	0	0	0	0	0	0	0	0	0	0	0	7386807	
71	1	B	1	N	2500	0	40	412	1362	86	30	25	0	0	0	0	0	0	0	0	0	0	0	0	7386823	
72	1	B	1	N	2500	0	40	23	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7386823	
73	1	B	1	N	2500	0	40	380	1125	63	30	28	0	0	0	0	0	0	0	0	0	0	0	0	7386901	
74	1	B	1	N	2500	0	40	429	1370	82	33	22	0	0	0	0	0	0	0	0	0	0	0	0	7386932	
75	1	B	1	N	2500	0	40	402	1413	74	33	24	0	0	0	0	0	0	0	0	0	0	0	0	7386979	
76	1	B	1	N	2500	0	40	423	1340	83	30	20	0	0	0	0	0	0	0	0	0	0	0	0	7387088	
77	1	B	1	N	2500	0	40	221	1112	91	32	24	0	0	0	0	0	0	0	0	0	0	0	0	7387244	
78	1	B	1	N	2500	0	40	57	63	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7387244	
79	1	B	1	N	2500	0	40	375	1496	82	33	27	0	0	0	0	0	0	0	0	0	0	0	0	7387369	
80	1	B	1	N	2500	0	40	402	1384	69	31	23	0	0	0	0	0	0	0	0	0	0	0	0	7387384	
