Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	384	930	43	15	11	0	0	0	0	0	0	0	0	0	0	0	0	20285119	
1	1	A	1	N	2500	0	40	194	226	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	20285135	
2	1	A	1	N	2500	0	40	98	218	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	20286196	
3	1	A	1	N	2500	0	40	36	88	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	20286679	
4	1	A	1	N	2500	0	40	296	480	24	7	8	0	0	0	0	0	0	0	0	0	0	0	0	20287194	
5	1	A	1	N	2500	0	40	436	918	34	18	16	0	0	0	0	0	0	0	0	0	0	0	0	20287303	
6	1	A	1	N	2500	0	40	313	636	26	11	6	0	0	0	0	0	0	0	0	0	0	0	0	20287958	
7	1	A	1	N	2500	0	40	274	893	49	19	13	0	0	0	0	0	0	0	0	0	0	0	0	20288629	
8	1	A	1	N	2500	0	40	315	657	23	9	8	0	0	0	0	0	0	0	0	0	0	0	0	20290111	
9	1	A	1	N	2500	0	40	296	544	17	8	7	0	0	0	0	0	0	0	0	0	0	0	0	20290548	
10	1	A	1	N	2500	0	40	232	322	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	20290610	
11	1	A	1	N	2500	0	40	30	38	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	20290891	
12	1	A	1	N	2500	0	40	258	467	12	6	6	0	0	0	0	0	0	0	0	0	0	0	0	20291250	
13	1	A	1	N	2500	0	40	148	179	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	20291858	
14	1	A	1	N	2500	0	40	288	636	27	11	9	0	0	0	0	0	0	0	0	0	0	0	0	20291890	
15	1	B	1	N	2500	0	40	42	69	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20299783	
16	1	B	1	N	2500	0	40	228	861	38	17	12	0	0	0	0	0	0	0	0	0	0	0	0	20299783	
17	1	B	1	N	2500	0	40	285	688	30	13	13	0	0	0	0	0	0	0	0	0	0	0	0	20301000	
18	1	B	1	N	2500	0	40	338	612	22	12	9	0	0	0	0	0	0	0	0	0	0	0	0	20301250	
19	1	B	1	N	2500	0	40	260	351	13	5	5	0	0	0	0	0	0	0	0	0	0	0	0	20301780	
20	1	B	1	N	2500	0	40	363	904	39	17	13	0	0	0	0	0	0	0	0	0	0	0	0	20302186	
21	1	B	1	N	2500	0	40	284	477	14	6	8	0	0	0	0	0	0	0	0	0	0	0	0	20302451	
22	1	B	1	N	2500	0	40	291	574	19	7	7	0	0	0	0	0	0	0	0	0	0	0	0	20302654	
23	1	B	1	N	2500	0	40	384	1024	43	17	15	0	0	0	0	0	0	0	0	0	0	0	0	20302747	
24	1	B	1	N	2500	0	40	207	515	15	6	7	0	0	0	0	0	0	0	0	0	0	0	0	20303964	
25	1	B	1	N	2500	0	40	116	217	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	20304853	
26	1	B	1	N	2500	0	40	321	508	21	7	8	0	0	0	0	0	0	0	0	0	0	0	0	20304900	
27	1	B	1	N	2500	0	40	26	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20305384	
28	1	B	1	N	2500	0	40	32	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20305384	
29	1	B	1	N	2500	0	40	303	590	18	8	7	0	0	0	0	0	0	0	0	0	0	0	0	20305399	
30	1	B	1	N	2500	0	40	376	1011	53	20	13	0	0	0	0	0	0	0	0	0	0	0	0	20305477	
31	1	B	1	N	2500	0	40	31	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20306117	
