Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	52	144	16	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4428243	
1	1	A	1	N	2500	0	40	396	1094	51	21	20	0	0	0	0	0	0	0	0	0	0	0	0	4428695	
2	1	A	1	N	2500	0	40	262	1364	77	35	26	0	0	0	0	0	0	0	0	0	0	0	0	4428976	
3	1	A	1	N	2500	0	40	28	41	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4429023	
4	1	A	1	N	2500	0	40	457	1487	76	26	26	0	0	0	0	0	0	0	0	0	0	0	0	4429085	
5	1	A	1	N	2500	0	40	20	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4429101	
6	1	A	1	N	2500	0	40	157	656	30	14	10	0	0	0	0	0	0	0	0	0	0	0	0	4429116	
7	1	A	1	N	2500	0	40	419	1290	67	26	18	0	0	0	0	0	0	0	0	0	0	0	0	4429132	
8	1	A	1	N	2500	0	40	503	1760	101	36	28	0	0	0	0	0	0	0	0	0	0	0	0	4429397	
9	1	A	1	N	2500	0	40	24	32	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4429444	
10	1	A	1	N	2500	0	40	369	1267	70	28	19	0	0	0	0	0	0	0	0	0	0	0	0	4429444	
11	1	A	1	N	2500	0	40	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4430084	
12	1	A	1	N	2500	0	40	828	2280	122	48	39	0	0	0	0	0	0	0	0	0	0	0	0	4430193	
13	1	A	1	N	2500	0	40	66	146	18	6	6	0	0	0	0	0	0	0	0	0	0	0	0	4430708	
14	1	A	1	N	2500	0	40	410	1406	82	30	27	0	0	0	0	0	0	0	0	0	0	0	0	4430786	
15	1	A	1	N	2500	0	40	59	187	16	15	16	0	0	0	0	0	0	0	0	0	0	0	0	4430832	
16	1	A	1	N	2500	0	40	451	1477	81	31	25	0	0	0	0	0	0	0	0	0	0	0	0	4431066	
17	1	A	1	N	2500	0	40	437	1432	82	28	19	0	0	0	0	0	0	0	0	0	0	0	0	4431581	
18	1	A	1	N	2500	0	40	379	1346	68	29	22	0	0	0	0	0	0	0	0	0	0	0	0	4431597	
19	1	A	1	N	2500	0	40	302	1255	67	28	23	0	0	0	0	0	0	0	0	0	0	0	0	4431644	
20	1	A	1	N	2500	0	40	34	102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4431909	
21	1	A	1	N	2500	0	40	507	1813	69	34	30	0	0	0	0	0	0	0	0	0	0	0	0	4433438	
22	1	A	1	N	2500	0	40	23	25	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4433438	
23	1	A	1	N	2500	0	40	20	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4433531	
24	1	A	1	N	2500	0	40	22	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4433687	
25	1	A	1	N	2500	0	40	562	1848	98	36	34	0	0	0	0	0	0	0	0	0	0	0	0	4433765	
26	1	A	1	N	2500	0	40	444	1433	70	30	23	0	0	0	0	0	0	0	0	0	0	0	0	4434124	
27	1	A	1	N	2500	0	40	26	34	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4434280	
28	1	A	1	N	2500	0	40	540	1740	109	37	29	0	0	0	0	0	0	0	0	0	0	0	0	4434888	
29	1	A	1	N	2500	0	40	428	1719	104	34	26	0	0	0	0	0	0	0	0	0	0	0	0	4434982	
30	1	A	1	N	2500	0	40	163	136	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4434982	
31	1	A	1	N	2500	0	40	450	1572	84	30	25	0	0	0	0	0	0	0	0	0	0	0	0	4435169	
32	1	A	2	N	2500	0	40	50	66	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4442829	
33	1	A	2	N	2500	0	40	48	99	10	4	2	0	0	0	0	0	0	0	0	0	0	0	0	4444342	
34	1	A	2	N	2500	0	40	270	1475	110	40	31	0	0	0	0	0	0	0	0	0	0	0	0	4444358	
35	1	A	2	N	2500	0	40	379	1459	79	36	29	0	0	0	0	0	0	0	0	0	0	0	0	4444405	
36	1	A	2	N	2500	0	40	218	515	20	14	12	0	0	0	0	0	0	0	0	0	0	0	0	4444529	
37	1	A	2	N	2500	0	40	466	1392	74	26	21	0	0	0	0	0	0	0	0	0	0	0	0	4444717	
38	1	A	2	N	2500	0	40	583	1655	86	35	29	0	0	0	0	0	0	0	0	0	0	0	0	4445044	
39	1	A	2	N	2500	0	40	20	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4445107	
40	1	A	2	N	2500	0	40	410	1549	112	38	28	0	0	0	0	0	0	0	0	0	0	0	0	4445715	
41	1	A	2	N	2500	0	40	544	1773	106	43	33	0	0	0	0	0	0	0	0	0	0	0	0	4445855	
42	1	A	2	N	2500	0	40	20	31	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4446043	
43	1	A	2	N	2500	0	40	470	1639	85	45	40	0	0	0	0	0	0	0	0	0	0	0	0	4446074	
44	1	A	2	N	2500	0	40	459	1473	85	31	26	0	0	0	0	0	0	0	0	0	0	0	0	4446682	
45	1	A	2	N	2500	0	40	32	39	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4446916	
46	1	A	2	N	2500	0	40	523	1736	91	40	29	0	0	0	0	0	0	0	0	0	0	0	0	4446947	
47	1	A	2	N	2500	0	40	646	2055	98	42	35	0	0	0	0	0	0	0	0	0	0	0	0	4447057	
48	1	A	2	N	2500	0	40	455	1558	98	32	25	0	0	0	0	0	0	0	0	0	0	0	0	4447072	
49	1	A	2	N	2500	0	40	304	1270	74	34	27	0	0	0	0	0	0	0	0	0	0	0	0	4447197	
50	1	A	2	N	2500	0	40	437	1496	87	33	26	0	0	0	0	0	0	0	0	0	0	0	0	4447228	
51	1	A	2	N	2500	0	40	376	1183	69	29	28	0	0	0	0	0	0	0	0	0	0	0	0	4447447	
52	1	A	2	N	2500	0	40	430	1376	72	25	22	0	0	0	0	0	0	0	0	0	0	0	0	4447493	
53	1	A	2	N	2500	0	40	471	1525	90	33	27	0	0	0	0	0	0	0	0	0	0	0	0	4447540	
54	1	A	2	N	2500	0	40	495	1575	91	32	23	0	0	0	0	0	0	0	0	0	0	0	0	4447868	
55	1	A	2	N	2500	0	40	417	1226	62	25	21	0	0	0	0	0	0	0	0	0	0	0	0	4447993	
56	1	A	2	N	2500	0	40	376	1461	68	36	29	0	0	0	0	0	0	0	0	0	0	0	0	4448039	
57	1	A	2	N	2500	0	40	465	1570	98	35	24	0	0	0	0	0	0	0	0	0	0	0	0	4448055	
58	1	A	2	N	2500	0	40	452	1461	75	31	24	0	0	0	0	0	0	0	0	0	0	0	0	4448086	
59	1	A	2	N	2500	0	40	311	1238	93	39	25	0	0	0	0	0	0	0	0	0	0	0	0	4448242	
60	1	A	2	N	2500	0	40	628	2092	117	42	36	0	0	0	0	0	0	0	0	0	0	0	0	4448991	
61	1	A	2	N	2500	0	40	495	1654	90	36	27	0	0	0	0	0	0	0	0	0	0	0	0	4449334	
62	1	A	2	N	2500	0	40	27	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4449615	
63	1	A	2	N	2500	0	40	32	56	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	4449662	
64	1	A	3	N	2500	0	40	440	1354	76	28	25	0	0	0	0	0	0	0	0	0	0	0	0	4457150	
65	1	A	3	N	2500	0	40	80	122	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4457165	
66	1	A	3	N	2500	0	40	437	1471	71	34	25	0	0	0	0	0	0	0	0	0	0	0	0	4457431	
67	1	A	3	N	2500	0	40	38	43	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4457571	
68	1	A	3	N	2500	0	40	59	85	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	4458101	
69	1	A	3	N	2500	0	40	49	54	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4458101	
70	1	A	3	N	2500	0	40	66	326	33	26	28	0	0	0	0	0	0	0	0	0	0	0	0	4458632	
71	1	A	3	N	2500	0	40	269	1403	78	42	36	0	0	0	0	0	0	0	0	0	0	0	0	4458772	
