Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	23	37	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	22817831	
1	1	A	1	N	2500	0	40	460	1402	68	27	18	0	0	0	0	0	0	0	0	0	0	0	0	22818377	
2	1	A	1	N	2500	0	40	463	1428	72	28	17	0	0	0	0	0	0	0	0	0	0	0	0	22819157	
3	1	A	1	N	2500	0	40	32	38	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	22819297	
4	1	A	1	N	2500	0	40	437	1200	55	22	20	0	0	0	0	0	0	0	0	0	0	0	0	22819344	
5	1	A	1	N	2500	0	40	439	1224	53	21	18	0	0	0	0	0	0	0	0	0	0	0	0	22819406	
6	1	A	1	N	2500	0	40	460	1319	68	28	20	0	0	0	0	0	0	0	0	0	0	0	0	22819594	
7	1	A	1	N	2500	0	40	426	1202	55	18	18	0	0	0	0	0	0	0	0	0	0	0	0	22819609	
8	1	A	1	N	2500	0	40	429	1159	54	20	17	0	0	0	0	0	0	0	0	0	0	0	0	22819672	
9	1	A	1	N	2500	0	40	24	22	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22819687	
10	1	A	1	N	2500	0	40	352	854	33	14	11	0	0	0	0	0	0	0	0	0	0	0	0	22819781	
11	1	A	1	N	2500	0	40	21	30	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22819781	
12	1	A	1	N	2500	0	40	274	1120	51	22	16	0	0	0	0	0	0	0	0	0	0	0	0	22820342	
13	1	A	1	N	2500	0	40	319	1110	56	24	19	0	0	0	0	0	0	0	0	0	0	0	0	22820608	
14	1	A	1	N	2500	0	40	448	1260	56	22	16	0	0	0	0	0	0	0	0	0	0	0	0	22820623	
15	1	A	1	N	2500	0	40	508	1495	63	27	17	0	0	0	0	0	0	0	0	0	0	0	0	22821325	
16	1	A	1	N	2500	0	40	31	56	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	22821606	
17	1	A	1	N	2500	0	40	375	1311	63	27	20	0	0	0	0	0	0	0	0	0	0	0	0	22821762	
18	1	A	1	N	2500	0	40	420	1247	61	26	21	0	0	0	0	0	0	0	0	0	0	0	0	22822074	
19	1	A	1	N	2500	0	40	20	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22822230	
20	1	A	1	N	2500	0	40	92	78	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22822339	
21	1	A	1	N	2500	0	40	34	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22822339	
22	1	A	1	N	2500	0	40	403	1587	76	33	25	0	0	0	0	0	0	0	0	0	0	0	0	22822339	
23	1	A	1	N	2500	0	40	472	1104	65	21	13	0	0	0	0	0	0	0	0	0	0	0	0	22822433	
24	1	A	1	N	2500	0	40	333	919	33	15	12	0	0	0	0	0	0	0	0	0	0	0	0	22823462	
25	1	A	1	N	2500	0	40	442	1310	66	26	21	0	0	0	0	0	0	0	0	0	0	0	0	22823696	
26	1	A	1	N	2500	0	40	63	62	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22824055	
27	1	A	1	N	2500	0	40	396	934	36	16	14	0	0	0	0	0	0	0	0	0	0	0	0	22824071	
