Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	460	1503	80	32	23	0	0	0	0	0	0	0	0	0	0	0	0	6006232	
1	1	A	1	N	2500	0	40	449	1551	82	33	24	0	0	0	0	0	0	0	0	0	0	0	0	6006700	
2	1	A	1	N	2500	0	40	489	1616	79	31	25	0	0	0	0	0	0	0	0	0	0	0	0	6007153	
3	1	A	1	N	2500	0	40	291	1573	105	39	26	0	0	0	0	0	0	0	0	0	0	0	0	6007356	
4	1	A	1	N	2500	0	40	627	2017	110	43	37	0	0	0	0	0	0	0	0	0	0	0	0	6007449	
5	1	A	1	N	2500	0	40	34	72	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6007777	
6	1	A	1	N	2500	0	40	31	45	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6007824	
7	1	A	1	N	2500	0	40	286	1389	94	33	27	0	0	0	0	0	0	0	0	0	0	0	0	6007855	
8	1	A	1	N	2500	0	40	48	94	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6008104	
9	1	A	1	N	2500	0	40	49	72	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6008479	
10	1	A	1	N	2500	0	40	402	1492	75	33	28	0	0	0	0	0	0	0	0	0	0	0	0	6008697	
11	1	A	1	N	2500	0	40	41	92	11	8	12	0	0	0	0	0	0	0	0	0	0	0	0	6008697	
12	1	A	1	N	2500	0	40	36	39	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	6009009	
13	1	A	1	N	2500	0	40	354	1392	76	27	22	0	0	0	0	0	0	0	0	0	0	0	0	6009056	
14	1	A	1	N	2500	0	40	378	1034	54	20	17	0	0	0	0	0	0	0	0	0	0	0	0	6009087	
15	1	A	1	N	2500	0	40	35	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6009852	
16	1	A	1	N	2500	0	40	33	57	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6009961	
17	1	A	1	N	2500	0	40	301	572	22	7	8	0	0	0	0	0	0	0	0	0	0	0	0	6010023	
18	1	A	1	N	2500	0	40	671	2302	113	42	37	0	0	0	0	0	0	0	0	0	0	0	0	6010554	
19	1	A	1	N	2500	0	40	510	1452	84	29	27	0	0	0	0	0	0	0	0	0	0	0	0	6010678	
20	1	A	1	N	2500	0	40	535	1792	103	35	25	0	0	0	0	0	0	0	0	0	0	0	0	6010678	
21	1	A	1	N	2500	0	40	774	2711	118	47	43	0	0	0	0	0	0	0	0	0	0	0	0	6010772	
22	1	A	1	N	2500	0	40	272	1493	91	37	25	0	0	0	0	0	0	0	0	0	0	0	0	6010944	
23	1	A	1	N	2500	0	40	448	1474	81	30	23	0	0	0	0	0	0	0	0	0	0	0	0	6011100	
24	1	A	1	N	2500	0	40	497	1428	80	27	18	0	0	0	0	0	0	0	0	0	0	0	0	6011146	
25	1	A	1	N	2500	0	40	602	1928	102	42	33	0	0	0	0	0	0	0	0	0	0	0	0	6011209	
26	1	A	1	N	2500	0	40	870	899	15	12	14	0	0	0	0	0	0	0	0	0	0	0	0	6011209	
27	1	A	1	N	2500	0	40	454	1450	96	29	24	0	0	0	0	0	0	0	0	0	0	0	0	6011536	
28	1	A	1	N	2500	0	40	466	1494	81	33	29	0	0	0	0	0	0	0	0	0	0	0	0	6011614	
29	1	A	1	N	2500	0	40	463	1579	95	34	25	0	0	0	0	0	0	0	0	0	0	0	0	6011708	
30	1	A	1	N	2500	0	40	452	1414	79	31	25	0	0	0	0	0	0	0	0	0	0	0	0	6011755	
31	1	A	1	N	2500	0	40	355	699	22	9	9	0	0	0	0	0	0	0	0	0	0	0	0	6011880	
32	1	A	1	N	2500	0	40	23	24	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6011895	
33	1	A	1	N	2500	0	40	312	1371	91	35	31	0	0	0	0	0	0	0	0	0	0	0	0	6011911	
34	1	A	1	N	2500	0	40	498	1456	65	28	25	0	0	0	0	0	0	0	0	0	0	0	0	6012051	
35	1	A	1	N	2500	0	40	435	1427	76	30	22	0	0	0	0	0	0	0	0	0	0	0	0	6012051	
36	1	A	1	N	2500	0	40	450	1405	66	25	20	0	0	0	0	0	0	0	0	0	0	0	0	6012160	
37	1	A	1	N	2500	0	40	456	1427	75	29	21	0	0	0	0	0	0	0	0	0	0	0	0	6012706	
38	1	A	1	N	2500	0	40	388	1604	92	38	27	0	0	0	0	0	0	0	0	0	0	0	0	6013237	
39	1	A	1	N	2500	0	40	27	27	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6013471	
40	1	A	2	N	2500	0	40	33	98	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6020709	
41	1	A	2	N	2500	0	40	55	74	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6020818	
