Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	368	861	30	12	10	0	0	0	0	0	0	0	0	0	0	0	0	12170193	
1	1	A	1	N	2500	0	40	414	1037	43	19	17	0	0	0	0	0	0	0	0	0	0	0	0	12170521	
2	1	A	1	N	2500	0	40	243	1020	52	21	16	0	0	0	0	0	0	0	0	0	0	0	0	12170568	
3	1	A	1	N	2500	0	40	31	42	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12170755	
4	1	A	1	N	2500	0	40	40	118	11	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12170973	
5	1	A	1	N	2500	0	40	390	880	35	14	12	0	0	0	0	0	0	0	0	0	0	0	0	12171036	
6	1	A	1	N	2500	0	40	84	89	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12171067	
7	1	A	1	N	2500	0	40	39	64	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	12171301	
8	1	A	1	N	2500	0	40	32	43	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12171301	
9	1	A	1	N	2500	0	40	280	518	14	7	8	0	0	0	0	0	0	0	0	0	0	0	0	12171613	
10	1	A	1	N	2500	0	40	341	1035	36	19	14	0	0	0	0	0	0	0	0	0	0	0	0	12171894	
11	1	A	1	N	2500	0	40	27	28	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12171925	
12	1	A	1	N	2500	0	40	65	64	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	12171925	
13	1	A	1	N	2500	0	40	248	1152	60	23	17	0	0	0	0	0	0	0	0	0	0	0	0	12172050	
14	1	A	1	N	2500	0	40	524	1194	43	21	22	0	0	0	0	0	0	0	0	0	0	0	0	12172486	
15	1	A	1	N	2500	0	40	482	1170	49	22	15	0	0	0	0	0	0	0	0	0	0	0	0	12172736	
16	1	A	1	N	2500	0	40	369	916	40	16	14	0	0	0	0	0	0	0	0	0	0	0	0	12172752	
17	1	A	1	N	2500	0	40	407	988	43	16	16	0	0	0	0	0	0	0	0	0	0	0	0	12173329	
18	1	A	1	N	2500	0	40	383	852	35	13	12	0	0	0	0	0	0	0	0	0	0	0	0	12174093	
19	1	A	1	N	2500	0	40	278	1032	51	19	16	0	0	0	0	0	0	0	0	0	0	0	0	12174124	
20	1	A	1	N	2500	0	40	333	879	33	12	11	0	0	0	0	0	0	0	0	0	0	0	0	12174639	
21	1	A	1	N	2500	0	40	383	773	29	11	10	0	0	0	0	0	0	0	0	0	0	0	0	12174826	
22	1	A	1	N	2500	0	40	493	1027	33	14	14	0	0	0	0	0	0	0	0	0	0	0	0	12174967	
23	1	A	1	N	2500	0	40	313	887	42	24	19	0	0	0	0	0	0	0	0	0	0	0	0	12175138	
24	1	A	1	N	2500	0	40	372	864	34	14	13	0	0	0	0	0	0	0	0	0	0	0	0	12175326	
25	1	A	1	N	2500	0	40	393	973	41	16	15	0	0	0	0	0	0	0	0	0	0	0	0	12175747	
26	1	A	1	N	2500	0	40	265	907	60	22	16	0	0	0	0	0	0	0	0	0	0	0	0	12175996	
27	1	A	1	N	2500	0	40	47	43	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12175996	
28	1	A	1	N	2500	0	40	416	952	40	15	16	0	0	0	0	0	0	0	0	0	0	0	0	12176137	
29	1	A	1	N	2500	0	40	23	22	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12176230	
30	1	A	1	N	2500	0	40	379	761	27	12	10	0	0	0	0	0	0	0	0	0	0	0	0	12176745	
31	1	A	1	N	2500	0	40	22	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12176854	
32	1	A	1	N	2500	0	40	295	592	19	9	9	0	0	0	0	0	0	0	0	0	0	0	0	12177120	
33	1	A	1	N	2500	0	40	481	1149	50	23	19	0	0	0	0	0	0	0	0	0	0	0	0	12177213	
34	1	A	1	N	2500	0	40	581	1013	67	17	20	0	0	0	0	0	0	0	0	0	0	0	0	12177385	
35	1	A	1	N	2500	0	40	43	56	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12177432	
36	1	A	2	N	2500	0	40	225	1061	60	25	19	0	0	0	0	0	0	0	0	0	0	0	0	12184811	
37	1	A	2	N	2500	0	40	26	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12185481	
38	1	A	2	N	2500	0	40	348	712	26	11	10	0	0	0	0	0	0	0	0	0	0	0	0	12185528	
39	1	A	2	N	2500	0	40	31	55	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12185762	
40	1	A	2	N	2500	0	40	22	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12185903	
41	1	A	2	N	2500	0	40	377	878	35	15	12	0	0	0	0	0	0	0	0	0	0	0	0	12186027	
42	1	A	2	N	2500	0	40	47	45	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	12186386	
43	1	A	2	N	2500	0	40	389	1038	50	20	18	0	0	0	0	0	0	0	0	0	0	0	0	12186464	
44	1	A	2	N	2500	0	40	433	906	46	16	13	0	0	0	0	0	0	0	0	0	0	0	0	12186651	
45	1	A	2	N	2500	0	40	23	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12186839	
46	1	A	2	N	2500	0	40	150	177	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12187182	
47	1	A	2	N	2500	0	40	472	1378	69	32	26	0	0	0	0	0	0	0	0	0	0	0	0	12187369	
48	1	A	2	N	2500	0	40	386	973	42	16	14	0	0	0	0	0	0	0	0	0	0	0	0	12187728	
49	1	A	2	N	2500	0	40	110	651	131	131	135	0	0	0	0	0	0	0	0	0	0	0	0	12188087	
50	1	A	2	N	2500	0	40	367	751	31	10	11	0	0	0	0	0	0	0	0	0	0	0	0	12188383	
51	1	A	2	N	2500	0	40	23	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12188383	
52	1	A	2	N	2500	0	40	103	275	55	5	4	0	0	0	0	0	0	0	0	0	0	0	0	12188383	
53	1	A	2	N	2500	0	40	195	756	30	13	9	0	0	0	0	0	0	0	0	0	0	0	0	12188913	
54	1	A	2	N	2500	0	40	549	1158	66	21	18	0	0	0	0	0	0	0	0	0	0	0	0	12188976	
55	1	A	2	N	2500	0	40	228	694	24	12	9	0	0	0	0	0	0	0	0	0	0	0	0	12189147	
56	1	A	2	N	2500	0	40	376	903	37	14	11	0	0	0	0	0	0	0	0	0	0	0	0	12189179	
57	1	A	2	N	2500	0	40	738	1654	50	25	21	0	0	0	0	0	0	0	0	0	0	0	0	12189210	
58	1	A	2	N	2500	0	40	367	804	34	13	8	0	0	0	0	0	0	0	0	0	0	0	0	12189397	
59	1	A	2	N	2500	0	40	466	1146	51	20	17	0	0	0	0	0	0	0	0	0	0	0	0	12189428	
60	1	A	2	N	2500	0	40	295	882	37	16	14	0	0	0	0	0	0	0	0	0	0	0	0	12189522	
61	1	A	2	N	2500	0	40	358	820	36	13	11	0	0	0	0	0	0	0	0	0	0	0	0	12189725	
62	1	A	2	N	2500	0	40	376	855	35	13	13	0	0	0	0	0	0	0	0	0	0	0	0	12190255	
63	1	A	2	N	2500	0	40	378	891	37	15	14	0	0	0	0	0	0	0	0	0	0	0	0	12190458	
64	1	A	2	N	2500	0	40	87	92	15	13	9	0	0	0	0	0	0	0	0	0	0	0	0	12190614	
65	1	A	2	N	2500	0	40	324	911	40	15	12	0	0	0	0	0	0	0	0	0	0	0	0	12190739	
66	1	A	2	N	2500	0	40	368	768	31	11	11	0	0	0	0	0	0	0	0	0	0	0	0	12190910	
