Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	290	1394	86	32	25	0	0	0	0	0	0	0	0	0	0	0	0	21298014	
1	1	A	1	N	2500	0	40	647	2009	93	36	26	0	0	0	0	0	0	0	0	0	0	0	0	21298232	
2	1	A	1	N	2500	0	40	23	25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21298248	
3	1	A	1	N	2500	0	40	424	1191	65	23	16	0	0	0	0	0	0	0	0	0	0	0	0	21299153	
4	1	A	1	N	2500	0	40	23	36	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21300182	
5	1	A	1	N	2500	0	40	21	34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21300276	
6	1	A	1	N	2500	0	40	435	1426	73	27	21	0	0	0	0	0	0	0	0	0	0	0	0	21300307	
7	1	A	1	N	2500	0	40	357	1696	105	37	32	0	0	0	0	0	0	0	0	0	0	0	0	21300416	
8	1	A	1	N	2500	0	40	528	1749	108	40	32	0	0	0	0	0	0	0	0	0	0	0	0	21300650	
9	1	A	1	N	2500	0	40	28	37	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21300806	
10	1	A	1	N	2500	0	40	31	47	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21300806	
11	1	A	1	N	2500	0	40	424	1279	63	24	15	0	0	0	0	0	0	0	0	0	0	0	0	21302163	
12	1	A	1	N	2500	0	40	332	1372	80	33	26	0	0	0	0	0	0	0	0	0	0	0	0	21302273	
13	1	A	1	N	2500	0	40	25	45	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	21302538	
14	1	A	1	N	2500	0	40	434	1697	108	44	31	0	0	0	0	0	0	0	0	0	0	0	0	21303053	
15	1	A	1	N	2500	0	40	455	1485	78	30	25	0	0	0	0	0	0	0	0	0	0	0	0	21303068	
16	1	A	1	N	2500	0	40	24	43	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	21303489	
17	1	A	1	N	2500	0	40	465	1513	84	29	23	0	0	0	0	0	0	0	0	0	0	0	0	21303599	
18	1	A	1	N	2500	0	40	454	1452	78	27	21	0	0	0	0	0	0	0	0	0	0	0	0	21304098	
19	1	A	1	N	2500	0	40	36	54	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21304878	
20	1	A	1	N	2500	0	40	363	1443	78	31	25	0	0	0	0	0	0	0	0	0	0	0	0	21304971	
21	1	A	1	N	2500	0	40	257	1348	87	33	24	0	0	0	0	0	0	0	0	0	0	0	0	21305096	
22	1	A	1	N	2500	0	40	341	1446	91	35	26	0	0	0	0	0	0	0	0	0	0	0	0	21305127	
23	1	A	2	N	2500	0	40	29	45	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21312849	
24	1	A	2	N	2500	0	40	60	56	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	21312959	
25	1	A	2	N	2500	0	40	45	56	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21312959	
26	1	A	2	N	2500	0	40	37	37	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21312974	
27	1	A	2	N	2500	0	40	45	71	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	21313021	
28	1	A	2	N	2500	0	40	50	106	15	4	1	0	0	0	0	0	0	0	0	0	0	0	0	21313255	
29	1	A	2	N	2500	0	40	20	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21313255	
30	1	A	2	N	2500	0	40	488	1624	84	40	27	0	0	0	0	0	0	0	0	0	0	0	0	21313489	
31	1	A	2	N	2500	0	40	26	26	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21313520	
32	1	A	2	N	2500	0	40	146	259	33	18	8	0	0	0	0	0	0	0	0	0	0	0	0	21313645	
33	1	A	2	N	2500	0	40	69	70	8	5	3	0	0	0	0	0	0	0	0	0	0	0	0	21313645	
34	1	A	2	N	2500	0	40	28	31	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21313645	
35	1	A	2	N	2500	0	40	71	109	17	6	2	0	0	0	0	0	0	0	0	0	0	0	0	21313645	
36	1	A	2	N	2500	0	40	506	1466	79	31	24	0	0	0	0	0	0	0	0	0	0	0	0	21313973	
37	1	A	2	N	2500	0	40	38	32	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21314175	
38	1	A	2	N	2500	0	40	48	40	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21314175	
39	1	A	2	N	2500	0	40	36	30	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21314175	
40	1	A	2	N	2500	0	40	30	50	13	14	19	0	0	0	0	0	0	0	0	0	0	0	0	21314425	
41	1	A	2	N	2500	0	40	57	113	18	4	2	0	0	0	0	0	0	0	0	0	0	0	0	21314550	
42	1	A	2	N	2500	0	40	34	44	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21314799	
