Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	45	74	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25833308	
1	1	A	1	N	2500	0	40	26	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25834010	
2	1	A	1	N	2500	0	40	30	52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25834369	
3	1	A	1	N	2500	0	40	54	210	19	1	1	0	0	0	0	0	0	0	0	0	0	0	0	25834432	
4	1	A	1	N	2500	0	40	284	1051	56	25	22	0	0	0	0	0	0	0	0	0	0	0	0	25834463	
5	1	A	1	N	2500	0	40	23	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25834697	
6	1	A	1	N	2500	0	40	93	275	9	6	9	0	0	0	0	0	0	0	0	0	0	0	0	25834837	
7	1	A	1	N	2500	0	40	274	1342	78	26	23	0	0	0	0	0	0	0	0	0	0	0	0	25835071	
8	1	A	1	N	2500	0	40	35	53	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25835368	
9	1	A	1	N	2500	0	40	408	1152	56	22	13	0	0	0	0	0	0	0	0	0	0	0	0	25835383	
10	1	A	1	N	2500	0	40	435	1323	70	26	22	0	0	0	0	0	0	0	0	0	0	0	0	25835508	
11	1	A	1	N	2500	0	40	26	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	25835555	
12	1	A	1	N	2500	0	40	349	1327	70	31	20	0	0	0	0	0	0	0	0	0	0	0	0	25835789	
13	1	A	1	N	2500	0	40	38	58	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	25835804	
14	1	A	1	N	2500	0	40	25	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25836054	
15	1	A	1	N	2500	0	40	496	1414	63	25	17	0	0	0	0	0	0	0	0	0	0	0	0	25836070	
16	1	A	1	N	2500	0	40	21	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25836132	
17	1	A	1	N	2500	0	40	23	42	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	25836241	
18	1	A	1	N	2500	0	40	87	312	29	30	35	0	0	0	0	0	0	0	0	0	0	0	0	25836257	
19	1	A	1	N	2500	0	40	354	1090	82	28	21	0	0	0	0	0	0	0	0	0	0	0	0	25836491	
20	1	A	1	N	2500	0	40	247	1002	57	19	13	0	0	0	0	0	0	0	0	0	0	0	0	25836600	
21	1	A	1	N	2500	0	40	413	833	28	12	10	0	0	0	0	0	0	0	0	0	0	0	0	25836600	
22	1	A	1	N	2500	0	40	342	1356	75	28	21	0	0	0	0	0	0	0	0	0	0	0	0	25836990	
23	1	A	1	N	2500	0	40	369	1036	50	24	18	0	0	0	0	0	0	0	0	0	0	0	0	25837302	
24	1	A	1	N	2500	0	40	235	1016	46	20	15	0	0	0	0	0	0	0	0	0	0	0	0	25838238	
25	1	A	1	N	2500	0	40	323	1220	69	27	18	0	0	0	0	0	0	0	0	0	0	0	0	25838550	
26	1	A	1	N	2500	0	40	329	1324	70	28	21	0	0	0	0	0	0	0	0	0	0	0	0	25839034	
27	1	A	2	N	2500	0	40	33	62	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25848113	
28	1	A	2	N	2500	0	40	25	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25848347	
29	1	A	2	N	2500	0	40	489	1598	86	33	25	0	0	0	0	0	0	0	0	0	0	0	0	25848456	
30	1	A	2	N	2500	0	40	275	942	49	17	18	0	0	0	0	0	0	0	0	0	0	0	0	25848799	
31	1	A	2	N	2500	0	40	377	1359	77	27	24	0	0	0	0	0	0	0	0	0	0	0	0	25849065	
32	1	A	2	N	2500	0	40	406	1040	43	18	15	0	0	0	0	0	0	0	0	0	0	0	0	25849345	
33	1	A	2	N	2500	0	40	45	68	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	25849548	
34	1	A	2	N	2500	0	40	329	1441	77	32	24	0	0	0	0	0	0	0	0	0	0	0	0	25849611	
35	1	A	2	N	2500	0	40	509	1351	56	30	22	0	0	0	0	0	0	0	0	0	0	0	0	25849907	
36	1	A	2	N	2500	0	40	317	1090	48	22	17	0	0	0	0	0	0	0	0	0	0	0	0	25849985	
37	1	A	2	N	2500	0	40	75	73	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	25850328	
38	1	A	2	N	2500	0	40	22	42	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	25850453	
39	1	A	2	N	2500	0	40	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25850484	
40	1	A	2	N	2500	0	40	35	77	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	25850859	
41	1	A	2	N	2500	0	40	423	1184	59	23	15	0	0	0	0	0	0	0	0	0	0	0	0	25850952	
42	1	A	2	N	2500	0	40	52	113	7	6	8	0	0	0	0	0	0	0	0	0	0	0	0	25851779	
43	1	A	2	N	2500	0	40	421	1153	57	20	18	0	0	0	0	0	0	0	0	0	0	0	0	25852231	
44	1	A	2	N	2500	0	40	51	88	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25852637	
45	1	A	2	N	2500	0	40	434	1315	64	25	19	0	0	0	0	0	0	0	0	0	0	0	0	25852684	
46	1	A	2	N	2500	0	40	24	43	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	25852746	
47	1	A	2	N	2500	0	40	417	1135	55	19	19	0	0	0	0	0	0	0	0	0	0	0	0	25852887	
48	1	A	2	N	2500	0	40	477	1215	56	23	18	0	0	0	0	0	0	0	0	0	0	0	0	25853323	
49	1	A	2	N	2500	0	40	431	1055	41	17	15	0	0	0	0	0	0	0	0	0	0	0	0	25853448	
50	1	A	2	N	2500	0	40	111	712	103	109	117	0	0	0	0	0	0	0	0	0	0	0	0	25853479	
51	1	A	2	N	2500	0	40	414	1135	52	21	15	0	0	0	0	0	0	0	0	0	0	0	0	25853557	
52	1	A	2	N	2500	0	40	73	68	4	6	6	0	0	0	0	0	0	0	0	0	0	0	0	25854119	
53	1	A	2	N	2500	0	40	23	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25854181	
54	1	A	2	N	2500	0	40	20	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25854181	
55	1	A	2	N	2500	0	40	423	1130	53	20	16	0	0	0	0	0	0	0	0	0	0	0	0	25854665	
56	1	A	2	N	2500	0	40	55	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25854805	
57	1	A	3	N	2500	0	40	28	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	25863261	
58	1	A	3	N	2500	0	40	84	111	7	6	7	0	0	0	0	0	0	0	0	0	0	0	0	25863666	
59	1	A	3	N	2500	0	40	469	1382	66	27	19	0	0	0	0	0	0	0	0	0	0	0	0	25863760	
60	1	A	3	N	2500	0	40	451	1348	65	22	16	0	0	0	0	0	0	0	0	0	0	0	0	25864243	
61	1	A	3	N	2500	0	40	526	1488	68	30	23	0	0	0	0	0	0	0	0	0	0	0	0	25864290	
62	1	A	3	N	2500	0	40	22	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25864743	
63	1	A	3	N	2500	0	40	35	70	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25864743	
64	1	A	3	N	2500	0	40	369	1254	67	25	20	0	0	0	0	0	0	0	0	0	0	0	0	25865164	
65	1	A	3	N	2500	0	40	651	1884	111	42	29	0	0	0	0	0	0	0	0	0	0	0	0	25865491	
66	1	A	3	N	2500	0	40	135	197	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	25865538	
67	1	A	3	N	2500	0	40	411	1110	50	21	16	0	0	0	0	0	0	0	0	0	0	0	0	25865725	
68	1	A	3	N	2500	0	40	392	885	31	13	13	0	0	0	0	0	0	0	0	0	0	0	0	25865928	
69	1	A	3	N	2500	0	40	571	1749	83	34	28	0	0	0	0	0	0	0	0	0	0	0	0	25866037	
70	1	A	3	N	2500	0	40	41	41	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25866755	
71	1	A	3	N	2500	0	40	361	797	24	12	10	0	0	0	0	0	0	0	0	0	0	0	0	25866895	
72	1	A	3	N	2500	0	40	282	1306	79	31	20	0	0	0	0	0	0	0	0	0	0	0	0	25867644	
73	1	A	3	N	2500	0	40	557	1616	87	31	21	0	0	0	0	0	0	0	0	0	0	0	0	25867972	
74	1	A	3	N	2500	0	40	25	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25868065	
75	1	A	3	N	2500	0	40	348	1399	79	33	24	0	0	0	0	0	0	0	0	0	0	0	0	25868175	
76	1	A	3	N	2500	0	40	483	1227	62	20	17	0	0	0	0	0	0	0	0	0	0	0	0	25868814	
77	1	A	3	N	2500	0	40	47	46	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25869017	
78	1	A	3	N	2500	0	40	516	1446	74	28	24	0	0	0	0	0	0	0	0	0	0	0	0	25869048	
79	1	A	3	N	2500	0	40	426	1166	48	16	12	0	0	0	0	0	0	0	0	0	0	0	0	25869095	
80	1	A	3	N	2500	0	40	314	1179	60	24	17	0	0	0	0	0	0	0	0	0	0	0	0	25869157	
81	1	A	3	N	2500	0	40	417	1328	73	27	15	0	0	0	0	0	0	0	0	0	0	0	0	25869469	
82	1	A	3	N	2500	0	40	277	1495	83	34	25	0	0	0	0	0	0	0	0	0	0	0	0	25869766	
83	1	A	3	N	2500	0	40	31	56	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	25869953	
84	1	A	4	N	2500	0	40	263	1018	44	22	14	0	0	0	0	0	0	0	0	0	0	0	0	25877301	
85	1	A	4	N	2500	0	40	269	1046	46	22	15	0	0	0	0	0	0	0	0	0	0	0	0	25877519	
86	1	A	4	N	2500	0	40	440	969	43	21	17	0	0	0	0	0	0	0	0	0	0	0	0	25878954	
87	1	A	4	N	2500	0	40	30	65	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	25879407	
88	1	A	4	N	2500	0	40	423	1149	55	20	17	0	0	0	0	0	0	0	0	0	0	0	0	25879563	
89	1	A	4	N	2500	0	40	276	1119	56	22	20	0	0	0	0	0	0	0	0	0	0	0	0	25880280	
90	1	A	4	N	2500	0	40	289	1348	68	29	20	0	0	0	0	0	0	0	0	0	0	0	0	25880873	
91	1	A	4	N	2500	0	40	563	1355	65	25	24	0	0	0	0	0	0	0	0	0	0	0	0	25881091	
92	1	A	4	N	2500	0	40	101	119	8	1	3	0	0	0	0	0	0	0	0	0	0	0	0	25881201	
93	1	A	4	N	2500	0	40	292	642	28	13	12	0	0	0	0	0	0	0	0	0	0	0	0	25881201	
94	1	A	4	N	2500	0	40	246	933	30	15	13	0	0	0	0	0	0	0	0	0	0	0	0	25881622	
95	1	A	4	N	2500	0	40	411	1110	51	19	15	0	0	0	0	0	0	0	0	0	0	0	0	25881762	
