Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	252	1277	106	39	30	0	0	0	0	0	0	0	0	0	0	0	0	2200369	
1	1	A	1	N	2500	0	40	792	2342	251	49	37	0	0	0	0	0	0	0	0	0	0	0	0	2200432	
2	1	A	1	N	2500	0	40	88	128	13	5	2	0	0	0	0	0	0	0	0	0	0	0	0	2200931	
3	1	A	1	N	2500	0	40	488	1510	109	36	26	0	0	0	0	0	0	0	0	0	0	0	0	2200947	
4	1	A	1	N	2500	0	40	381	1037	42	19	15	0	0	0	0	0	0	0	0	0	0	0	0	2201134	
5	1	A	1	N	2500	0	40	436	1560	93	33	24	0	0	0	0	0	0	0	0	0	0	0	0	2201368	
6	1	A	1	N	2500	0	40	26	97	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2201399	
7	1	A	1	N	2500	0	40	38	78	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2201680	
8	1	A	1	N	2500	0	40	422	2010	104	43	37	0	0	0	0	0	0	0	0	0	0	0	0	2202600	
9	1	A	1	N	2500	0	40	473	1512	81	31	25	0	0	0	0	0	0	0	0	0	0	0	0	2202631	
10	1	A	1	N	2500	0	40	600	1626	110	44	35	0	0	0	0	0	0	0	0	0	0	0	0	2203396	
11	1	A	1	N	2500	0	40	525	1782	96	37	30	0	0	0	0	0	0	0	0	0	0	0	0	2203879	
12	1	A	1	N	2500	0	40	595	1633	99	41	33	0	0	0	0	0	0	0	0	0	0	0	0	2206906	
13	1	A	1	N	2500	0	40	38	58	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2207140	
14	1	A	1	N	2500	0	40	87	168	21	4	3	0	0	0	0	0	0	0	0	0	0	0	0	2207140	
15	1	A	1	N	2500	0	40	417	1386	87	27	21	0	0	0	0	0	0	0	0	0	0	0	0	2207155	
16	1	A	1	N	2500	0	40	257	1571	109	41	33	0	0	0	0	0	0	0	0	0	0	0	0	2207171	
17	1	A	1	N	2500	0	40	143	124	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2207171	
18	1	A	1	N	2500	0	40	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2207171	
19	1	A	1	N	2500	0	40	303	1146	51	22	17	0	0	0	0	0	0	0	0	0	0	0	0	2207218	
20	1	A	1	N	2500	0	40	517	1872	119	42	31	0	0	0	0	0	0	0	0	0	0	0	0	2207249	
21	1	A	2	N	2500	0	40	67	87	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2215205	
22	1	A	2	N	2500	0	40	41	41	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2215252	
23	1	A	2	N	2500	0	40	47	86	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2215283	
24	1	A	2	N	2500	0	40	44	88	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2215392	
25	1	A	2	N	2500	0	40	295	1476	98	35	24	0	0	0	0	0	0	0	0	0	0	0	0	2215704	
26	1	A	2	N	2500	0	40	23	21	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2215704	
27	1	A	2	N	2500	0	40	27	30	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2215735	
28	1	A	2	N	2500	0	40	494	1500	58	24	26	0	0	0	0	0	0	0	0	0	0	0	0	2215876	
29	1	A	2	N	2500	0	40	86	223	25	9	5	0	0	0	0	0	0	0	0	0	0	0	0	2215923	
30	1	A	2	N	2500	0	40	398	1409	85	31	29	0	0	0	0	0	0	0	0	0	0	0	0	2216219	
31	1	A	2	N	2500	0	40	444	1343	78	27	20	0	0	0	0	0	0	0	0	0	0	0	0	2216656	
32	1	A	2	N	2500	0	40	23	36	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2216671	
33	1	A	2	N	2500	0	40	433	1374	76	29	20	0	0	0	0	0	0	0	0	0	0	0	0	2216749	
34	1	A	2	N	2500	0	40	40	67	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2216765	
35	1	A	2	N	2500	0	40	66	128	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2216765	
36	1	A	2	N	2500	0	40	55	93	9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2216781	
37	1	A	2	N	2500	0	40	22	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2217124	
38	1	A	2	N	2500	0	40	49	45	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2217124	
39	1	A	2	N	2500	0	40	453	1442	68	29	23	0	0	0	0	0	0	0	0	0	0	0	0	2217295	
40	1	A	2	N	2500	0	40	25	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2217498	
41	1	A	2	N	2500	0	40	28	30	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2217498	
42	1	A	2	N	2500	0	40	415	1414	87	32	26	0	0	0	0	0	0	0	0	0	0	0	0	2217670	
43	1	A	2	N	2500	0	40	74	111	14	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2218153	
44	1	A	2	N	2500	0	40	63	74	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2218325	
45	1	A	2	N	2500	0	40	302	1617	121	41	28	0	0	0	0	0	0	0	0	0	0	0	0	2218575	
46	1	A	2	N	2500	0	40	584	1813	119	36	30	0	0	0	0	0	0	0	0	0	0	0	0	2218746	
47	1	A	2	N	2500	0	40	577	1883	110	42	30	0	0	0	0	0	0	0	0	0	0	0	0	2219214	
48	1	A	2	N	2500	0	40	649	1936	155	41	31	0	0	0	0	0	0	0	0	0	0	0	0	2219433	
49	1	A	2	N	2500	0	40	427	1334	67	25	22	0	0	0	0	0	0	0	0	0	0	0	0	2220681	
50	1	A	2	N	2500	0	40	512	1628	98	32	24	0	0	0	0	0	0	0	0	0	0	0	0	2220727	
51	1	A	2	N	2500	0	40	443	1501	79	33	26	0	0	0	0	0	0	0	0	0	0	0	0	2220759	
52	1	A	2	N	2500	0	40	35	48	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2221039	
53	1	A	2	N	2500	0	40	482	2044	131	50	38	0	0	0	0	0	0	0	0	0	0	0	0	2221102	
54	1	A	2	N	2500	0	40	290	1427	90	36	27	0	0	0	0	0	0	0	0	0	0	0	0	2221336	
