Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	52	145	10	2	3	0	0	0	0	0	0	0	0	0	0	0	0	21374906	
1	1	A	1	N	2500	0	40	297	646	23	9	7	0	0	0	0	0	0	0	0	0	0	0	0	21375218	
2	1	A	1	N	2500	0	40	206	744	27	12	10	0	0	0	0	0	0	0	0	0	0	0	0	21375405	
3	1	A	1	N	2500	0	40	46	71	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21375982	
4	1	A	1	N	2500	0	40	310	564	24	9	7	0	0	0	0	0	0	0	0	0	0	0	0	21376138	
5	1	A	1	N	2500	0	40	81	187	17	3	3	0	0	0	0	0	0	0	0	0	0	0	0	21376232	
6	1	A	1	N	2500	0	40	81	96	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	21376247	
7	1	A	1	N	2500	0	40	296	552	22	8	7	0	0	0	0	0	0	0	0	0	0	0	0	21376279	
8	1	A	1	N	2500	0	40	41	56	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21376544	
9	1	A	1	N	2500	0	40	396	962	36	16	14	0	0	0	0	0	0	0	0	0	0	0	0	21376856	
10	1	A	1	N	2500	0	40	22	33	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	21376871	
11	1	A	1	N	2500	0	40	422	712	45	14	11	0	0	0	0	0	0	0	0	0	0	0	0	21376903	
12	1	A	1	N	2500	0	40	42	53	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21377027	
13	1	A	1	N	2500	0	40	291	561	17	7	7	0	0	0	0	0	0	0	0	0	0	0	0	21377059	
14	1	A	1	N	2500	0	40	114	327	25	8	6	0	0	0	0	0	0	0	0	0	0	0	0	21377246	
15	1	A	1	N	2500	0	40	327	705	24	10	9	0	0	0	0	0	0	0	0	0	0	0	0	21377308	
16	1	A	1	N	2500	0	40	296	644	24	10	9	0	0	0	0	0	0	0	0	0	0	0	0	21378166	
17	1	A	1	N	2500	0	40	307	659	24	10	7	0	0	0	0	0	0	0	0	0	0	0	0	21378572	
18	1	A	1	N	2500	0	40	68	190	23	2	3	0	0	0	0	0	0	0	0	0	0	0	0	21378572	
19	1	A	1	N	2500	0	40	270	478	13	6	5	0	0	0	0	0	0	0	0	0	0	0	0	21378665	
20	1	A	1	N	2500	0	40	311	661	24	9	9	0	0	0	0	0	0	0	0	0	0	0	0	21379009	
21	1	A	1	N	2500	0	40	61	86	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	21379289	
22	1	A	1	N	2500	0	40	391	686	32	13	13	0	0	0	0	0	0	0	0	0	0	0	0	21379289	
23	1	A	1	N	2500	0	40	252	788	29	12	11	0	0	0	0	0	0	0	0	0	0	0	0	21380147	
24	1	A	1	N	2500	0	40	308	547	19	7	6	0	0	0	0	0	0	0	0	0	0	0	0	21380756	
25	1	A	1	N	2500	0	40	293	606	23	9	9	0	0	0	0	0	0	0	0	0	0	0	0	21380896	
26	1	A	1	N	2500	0	40	350	574	30	9	9	0	0	0	0	0	0	0	0	0	0	0	0	21381130	
27	1	A	1	N	2500	0	40	315	690	22	13	9	0	0	0	0	0	0	0	0	0	0	0	0	21381395	
28	1	A	1	N	2500	0	40	47	112	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21381785	
29	1	A	1	N	2500	0	40	312	603	22	9	7	0	0	0	0	0	0	0	0	0	0	0	0	21381957	
30	1	A	2	N	2500	0	40	348	786	25	9	10	0	0	0	0	0	0	0	0	0	0	0	0	21389414	
31	1	A	2	N	2500	0	40	352	839	27	13	13	0	0	0	0	0	0	0	0	0	0	0	0	21389445	
32	1	A	2	N	2500	0	40	32	87	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21390131	
33	1	A	2	N	2500	0	40	211	740	27	14	11	0	0	0	0	0	0	0	0	0	0	0	0	21390147	
34	1	A	2	N	2500	0	40	61	277	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21390256	
35	1	A	2	N	2500	0	40	108	310	26	5	3	0	0	0	0	0	0	0	0	0	0	0	0	21390334	
36	1	A	2	N	2500	0	40	27	54	18	12	6	0	0	0	0	0	0	0	0	0	0	0	0	21390490	
