Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	425	1535	90	31	24	0	0	0	0	0	0	0	0	0	0	0	0	4103793	
1	1	A	1	N	2500	0	40	20	22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4104916	
2	1	A	1	N	2500	0	40	102	244	36	6	3	0	0	0	0	0	0	0	0	0	0	0	0	4105212	
3	1	A	1	N	2500	0	40	364	1662	130	48	33	0	0	0	0	0	0	0	0	0	0	0	0	4106211	
4	1	A	1	N	2500	0	40	525	1986	148	49	36	0	0	0	0	0	0	0	0	0	0	0	0	4106804	
5	1	A	1	N	2500	0	40	424	1421	77	27	22	0	0	0	0	0	0	0	0	0	0	0	0	4106882	
6	1	A	1	N	2500	0	40	259	596	22	9	8	0	0	0	0	0	0	0	0	0	0	0	0	4107162	
7	1	A	1	N	2500	0	40	421	1422	78	31	21	0	0	0	0	0	0	0	0	0	0	0	0	4107256	
8	1	A	1	N	2500	0	40	456	1747	118	42	35	0	0	0	0	0	0	0	0	0	0	0	0	4107506	
9	1	A	1	N	2500	0	40	404	1346	79	27	21	0	0	0	0	0	0	0	0	0	0	0	0	4107521	
10	1	A	1	N	2500	0	40	428	1704	108	45	35	0	0	0	0	0	0	0	0	0	0	0	0	4107599	
11	1	A	1	N	2500	0	40	412	1474	77	30	25	0	0	0	0	0	0	0	0	0	0	0	0	4108052	
12	1	A	1	N	2500	0	40	390	1287	70	27	24	0	0	0	0	0	0	0	0	0	0	0	0	4108910	
13	1	A	1	N	2500	0	40	511	1874	115	40	29	0	0	0	0	0	0	0	0	0	0	0	0	4108956	
14	1	A	1	N	2500	0	40	464	1639	89	33	29	0	0	0	0	0	0	0	0	0	0	0	0	4109112	
15	1	A	1	N	2500	0	40	73	139	14	6	3	0	0	0	0	0	0	0	0	0	0	0	0	4109768	
16	1	A	1	N	2500	0	40	448	1548	97	30	23	0	0	0	0	0	0	0	0	0	0	0	0	4109814	
17	1	A	1	N	2500	0	40	77	89	10	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4110563	
18	1	A	1	N	2500	0	40	410	1256	58	23	19	0	0	0	0	0	0	0	0	0	0	0	0	4110969	
19	1	A	2	N	2500	0	40	22	17	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4118784	
20	1	A	2	N	2500	0	40	313	1346	80	29	24	0	0	0	0	0	0	0	0	0	0	0	0	4119424	
21	1	A	2	N	2500	0	40	427	1309	65	27	24	0	0	0	0	0	0	0	0	0	0	0	0	4120547	
22	1	A	2	N	2500	0	40	470	1396	73	32	27	0	0	0	0	0	0	0	0	0	0	0	0	4120797	
23	1	A	2	N	2500	0	40	25	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4120812	
24	1	A	2	N	2500	0	40	46	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4120812	
25	1	A	2	N	2500	0	40	29	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4120812	
26	1	A	2	N	2500	0	40	420	1464	85	32	22	0	0	0	0	0	0	0	0	0	0	0	0	4121156	
27	1	A	2	N	2500	0	40	482	1737	108	40	34	0	0	0	0	0	0	0	0	0	0	0	0	4121358	
28	1	A	2	N	2500	0	40	356	1532	94	38	28	0	0	0	0	0	0	0	0	0	0	0	0	4121358	
29	1	A	2	N	2500	0	40	443	1415	87	29	22	0	0	0	0	0	0	0	0	0	0	0	0	4121686	
30	1	A	2	N	2500	0	40	493	2126	120	48	37	0	0	0	0	0	0	0	0	0	0	0	0	4121951	
31	1	A	2	N	2500	0	40	421	1381	82	31	24	0	0	0	0	0	0	0	0	0	0	0	0	4122154	
32	1	A	2	N	2500	0	40	431	1544	100	34	26	0	0	0	0	0	0	0	0	0	0	0	0	4122575	
33	1	A	2	N	2500	0	40	228	1402	97	37	29	0	0	0	0	0	0	0	0	0	0	0	0	4123324	
34	1	A	2	N	2500	0	40	332	1285	78	36	26	0	0	0	0	0	0	0	0	0	0	0	0	4123418	
35	1	A	2	N	2500	0	40	286	1389	85	35	25	0	0	0	0	0	0	0	0	0	0	0	0	4123418	
36	1	A	2	N	2500	0	40	406	1314	74	27	19	0	0	0	0	0	0	0	0	0	0	0	0	4123449	
37	1	A	2	N	2500	0	40	82	119	11	4	2	0	0	0	0	0	0	0	0	0	0	0	0	4124166	
38	1	A	2	N	2500	0	40	265	1418	84	36	28	0	0	0	0	0	0	0	0	0	0	0	0	4124541	
39	1	A	3	N	2500	0	40	418	1304	71	28	22	0	0	0	0	0	0	0	0	0	0	0	0	4132949	
40	1	A	3	N	2500	0	40	356	1296	71	28	21	0	0	0	0	0	0	0	0	0	0	0	0	4133823	
41	1	A	3	N	2500	0	40	315	1417	100	39	31	0	0	0	0	0	0	0	0	0	0	0	0	4133823	
42	1	A	3	N	2500	0	40	351	1476	99	39	29	0	0	0	0	0	0	0	0	0	0	0	0	4134572	
43	1	A	3	N	2500	0	40	402	1303	76	29	22	0	0	0	0	0	0	0	0	0	0	0	0	4135133	
44	1	A	3	N	2500	0	40	379	1376	79	33	25	0	0	0	0	0	0	0	0	0	0	0	0	4135274	
45	1	A	3	N	2500	0	40	402	1426	71	35	29	0	0	0	0	0	0	0	0	0	0	0	0	4135773	
46	1	A	3	N	2500	0	40	479	1624	99	39	32	0	0	0	0	0	0	0	0	0	0	0	0	4136210	
47	1	A	3	N	2500	0	40	433	1612	101	32	27	0	0	0	0	0	0	0	0	0	0	0	0	4136256	
48	1	A	3	N	2500	0	40	407	1483	87	33	26	0	0	0	0	0	0	0	0	0	0	0	0	4137239	
49	1	A	3	N	2500	0	40	304	1364	108	36	28	0	0	0	0	0	0	0	0	0	0	0	0	4138160	
50	1	A	3	N	2500	0	40	240	1101	55	25	19	0	0	0	0	0	0	0	0	0	0	0	0	4138175	
51	1	A	3	N	2500	0	40	374	1253	78	32	22	0	0	0	0	0	0	0	0	0	0	0	0	4138440	
52	1	A	3	N	2500	0	40	407	1305	70	29	17	0	0	0	0	0	0	0	0	0	0	0	0	4138830	
53	1	A	3	N	2500	0	40	304	265	5	3	6	0	0	0	0	0	0	0	0	0	0	0	0	4139064	
54	1	A	3	N	2500	0	40	409	1430	68	32	23	0	0	0	0	0	0	0	0	0	0	0	0	4139064	
55	1	A	3	N	2500	0	40	426	1414	69	29	23	0	0	0	0	0	0	0	0	0	0	0	0	4139439	
56	1	A	3	N	2500	0	40	428	1407	80	31	27	0	0	0	0	0	0	0	0	0	0	0	0	4139922	
57	1	A	3	N	2500	0	40	22	34	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4140094	
58	1	A	3	N	2500	0	40	519	1703	109	36	27	0	0	0	0	0	0	0	0	0	0	0	0	4140141	
59	1	A	3	N	2500	0	40	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4140156	
60	1	A	4	N	2500	0	40	423	1285	60	25	22	0	0	0	0	0	0	0	0	0	0	0	0	4147832	
61	1	A	4	N	2500	0	40	20	42	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4148003	
62	1	A	4	N	2500	0	40	393	1092	48	19	14	0	0	0	0	0	0	0	0	0	0	0	0	4148144	
63	1	A	4	N	2500	0	40	382	1983	132	45	33	0	0	0	0	0	0	0	0	0	0	0	0	4148190	
64	1	A	4	N	2500	0	40	34	113	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4148393	
65	1	A	4	N	2500	0	40	414	1445	91	32	26	0	0	0	0	0	0	0	0	0	0	0	0	4149048	
66	1	A	4	N	2500	0	40	242	1457	82	37	24	0	0	0	0	0	0	0	0	0	0	0	0	4149704	
67	1	A	4	N	2500	0	40	359	1693	106	45	32	0	0	0	0	0	0	0	0	0	0	0	0	4150312	
68	1	A	4	N	2500	0	40	540	1747	79	28	25	0	0	0	0	0	0	0	0	0	0	0	0	4150374	
69	1	A	4	N	2500	0	40	451	1628	92	36	28	0	0	0	0	0	0	0	0	0	0	0	0	4150874	
70	1	A	4	N	2500	0	40	425	1427	97	31	21	0	0	0	0	0	0	0	0	0	0	0	0	4150920	
71	1	A	4	N	2500	0	40	34	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4150936	
72	1	A	4	N	2500	0	40	23	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4150936	
73	1	A	4	N	2500	0	40	26	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4150936	
74	1	A	4	N	2500	0	40	29	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4150936	
75	1	A	4	N	2500	0	40	48	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4150936	
76	1	A	4	N	2500	0	40	1272	2635	215	55	43	0	0	0	0	0	0	0	0	0	0	0	0	4150936	
77	1	A	4	N	2500	0	40	35	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4151638	
78	1	A	4	N	2500	0	40	372	1694	131	43	32	0	0	0	0	0	0	0	0	0	0	0	0	4151654	
79	1	A	4	N	2500	0	40	475	1728	75	34	30	0	0	0	0	0	0	0	0	0	0	0	0	4151841	
80	1	A	4	N	2500	0	40	439	1519	104	31	24	0	0	0	0	0	0	0	0	0	0	0	0	4152621	
