Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	86	123	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13663124	
1	1	A	1	N	2500	0	40	306	430	21	7	7	0	0	0	0	0	0	0	0	0	0	0	0	13664169	
2	1	A	1	N	2500	0	40	312	577	25	8	7	0	0	0	0	0	0	0	0	0	0	0	0	13664201	
3	1	A	1	N	2500	0	40	281	604	26	8	6	0	0	0	0	0	0	0	0	0	0	0	0	13664825	
4	1	A	1	N	2500	0	40	409	925	45	11	8	0	0	0	0	0	0	0	0	0	0	0	0	13665355	
5	1	A	1	N	2500	0	40	27	62	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13665464	
6	1	A	1	N	2500	0	40	267	552	19	7	8	0	0	0	0	0	0	0	0	0	0	0	0	13665932	
7	1	A	1	N	2500	0	40	275	575	28	7	6	0	0	0	0	0	0	0	0	0	0	0	0	13666166	
8	1	A	1	N	2500	0	40	333	699	27	11	8	0	0	0	0	0	0	0	0	0	0	0	0	13666416	
9	1	A	1	N	2500	0	40	170	646	31	10	12	0	0	0	0	0	0	0	0	0	0	0	0	13666681	
10	1	A	1	N	2500	0	40	260	471	14	5	6	0	0	0	0	0	0	0	0	0	0	0	0	13667212	
11	1	A	1	N	2500	0	40	138	177	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13667399	
12	1	A	1	N	2500	0	40	242	614	25	9	9	0	0	0	0	0	0	0	0	0	0	0	0	13667399	
13	1	A	1	N	2500	0	40	271	614	26	11	8	0	0	0	0	0	0	0	0	0	0	0	0	13667617	
14	1	A	1	N	2500	0	40	266	507	18	6	6	0	0	0	0	0	0	0	0	0	0	0	0	13667929	
15	1	A	1	N	2500	0	40	262	494	19	5	6	0	0	0	0	0	0	0	0	0	0	0	0	13668085	
16	1	A	1	N	2500	0	40	264	591	18	7	7	0	0	0	0	0	0	0	0	0	0	0	0	13668491	
17	1	A	1	N	2500	0	40	262	569	32	10	8	0	0	0	0	0	0	0	0	0	0	0	0	13668616	
18	1	A	1	N	2500	0	40	262	511	15	7	5	0	0	0	0	0	0	0	0	0	0	0	0	13669037	
19	1	A	1	N	2500	0	40	285	657	28	11	9	0	0	0	0	0	0	0	0	0	0	0	0	13669489	
