Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	286	613	21	9	7	0	0	0	0	0	0	0	0	0	0	0	0	18225910	
1	1	A	1	N	2500	0	40	28	44	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	18226113	
2	1	A	1	N	2500	0	40	30	44	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18226316	
3	1	A	1	N	2500	0	40	33	53	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18226518	
4	1	A	1	N	2500	0	40	26	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18226534	
5	1	A	1	N	2500	0	40	386	914	33	15	14	0	0	0	0	0	0	0	0	0	0	0	0	18226846	
6	1	A	1	N	2500	0	40	21	26	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18226908	
7	1	A	1	N	2500	0	40	48	138	7	7	10	0	0	0	0	0	0	0	0	0	0	0	0	18227127	
8	1	A	1	N	2500	0	40	104	474	57	54	60	0	0	0	0	0	0	0	0	0	0	0	0	18227595	
9	1	A	1	N	2500	0	40	27	48	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	18228110	
10	1	A	1	N	2500	0	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18228219	
11	1	A	1	N	2500	0	40	52	42	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18228219	
12	1	A	1	N	2500	0	40	77	63	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	18228219	
13	1	A	1	N	2500	0	40	496	1569	80	36	28	0	0	0	0	0	0	0	0	0	0	0	0	18228219	
14	1	A	1	N	2500	0	40	331	714	21	13	11	0	0	0	0	0	0	0	0	0	0	0	0	18229077	
15	1	A	1	N	2500	0	40	679	1839	87	35	31	0	0	0	0	0	0	0	0	0	0	0	0	18229748	
16	1	A	1	N	2500	0	40	457	1141	58	23	19	0	0	0	0	0	0	0	0	0	0	0	0	18229982	
17	1	A	1	N	2500	0	40	25	53	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18229982	
18	1	A	1	N	2500	0	40	467	1422	74	28	20	0	0	0	0	0	0	0	0	0	0	0	0	18230387	
19	1	A	1	N	2500	0	40	594	1795	90	36	29	0	0	0	0	0	0	0	0	0	0	0	0	18230496	
20	1	A	1	N	2500	0	40	49	136	7	9	10	0	0	0	0	0	0	0	0	0	0	0	0	18230496	
21	1	A	1	N	2500	0	40	25	46	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18230496	
22	1	A	1	N	2500	0	40	26	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18230840	
23	1	A	1	N	2500	0	40	25	40	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	18231105	
24	1	A	1	N	2500	0	40	26	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18231261	
25	1	A	1	N	2500	0	40	358	1169	63	27	23	0	0	0	0	0	0	0	0	0	0	0	0	18231323	
26	1	A	1	N	2500	0	40	372	1045	47	18	16	0	0	0	0	0	0	0	0	0	0	0	0	18231401	
