Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	83	517	63	40	35	0	0	0	0	0	0	0	0	0	0	0	0	5372730	
1	1	A	1	N	2500	0	40	510	1868	98	31	26	0	0	0	0	0	0	0	0	0	0	0	0	5375242	
2	1	A	2	N	2500	0	40	20	21	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	5387285	
3	1	A	2	N	2500	0	40	714	2382	155	51	42	0	0	0	0	0	0	0	0	0	0	0	0	5387425	
4	1	A	2	N	2500	0	40	411	1977	124	38	31	0	0	0	0	0	0	0	0	0	0	0	0	5387488	
5	1	A	2	N	2500	0	40	351	1584	94	38	27	0	0	0	0	0	0	0	0	0	0	0	0	5387519	
6	1	A	2	N	2500	0	40	45	36	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5387519	
7	1	A	2	N	2500	0	40	106	90	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5387519	
8	1	A	2	N	2500	0	40	227	194	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5387519	
9	1	A	2	N	2500	0	40	52	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5387519	
10	1	A	2	N	2500	0	40	438	1269	70	25	22	0	0	0	0	0	0	0	0	0	0	0	0	5388627	
11	1	A	2	N	2500	0	40	413	1444	72	27	23	0	0	0	0	0	0	0	0	0	0	0	0	5388673	
12	1	A	2	N	2500	0	40	345	1473	90	36	25	0	0	0	0	0	0	0	0	0	0	0	0	5389095	
13	1	A	2	N	2500	0	40	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5389641	
14	1	A	2	N	2500	0	40	536	1806	100	36	26	0	0	0	0	0	0	0	0	0	0	0	0	5389641	
15	1	A	2	N	2500	0	40	406	1493	108	42	34	0	0	0	0	0	0	0	0	0	0	0	0	5390187	
16	1	A	2	N	2500	0	40	429	1484	89	31	23	0	0	0	0	0	0	0	0	0	0	0	0	5390233	
17	1	A	2	N	2500	0	40	22	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5390873	
18	1	A	2	N	2500	0	40	26	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5391310	
19	1	A	2	N	2500	0	40	448	1417	75	29	21	0	0	0	0	0	0	0	0	0	0	0	0	5391310	
20	1	A	2	N	2500	0	40	333	1452	96	32	24	0	0	0	0	0	0	0	0	0	0	0	0	5391637	
21	1	A	2	N	2500	0	40	395	1180	62	23	19	0	0	0	0	0	0	0	0	0	0	0	0	5391637	
22	1	A	2	N	2500	0	40	45	74	5	4	7	0	0	0	0	0	0	0	0	0	0	0	0	5391949	
23	1	A	2	N	2500	0	40	653	2130	123	47	39	0	0	0	0	0	0	0	0	0	0	0	0	5392012	
24	1	A	2	N	2500	0	40	380	1575	94	36	28	0	0	0	0	0	0	0	0	0	0	0	0	5392386	
25	1	A	2	N	2500	0	40	363	1727	123	46	36	0	0	0	0	0	0	0	0	0	0	0	0	5392573	
26	1	A	3	N	2500	0	40	235	1207	61	28	20	0	0	0	0	0	0	0	0	0	0	0	0	5401231	
27	1	A	3	N	2500	0	40	21	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5401902	
28	1	A	3	N	2500	0	40	60	58	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5402589	
29	1	A	3	N	2500	0	40	294	1732	112	44	34	0	0	0	0	0	0	0	0	0	0	0	0	5403462	
30	1	A	3	N	2500	0	40	392	1591	97	39	28	0	0	0	0	0	0	0	0	0	0	0	0	5404429	
31	1	A	3	N	2500	0	40	28	51	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	5405381	
32	1	A	3	N	2500	0	40	22	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5405880	
33	1	A	3	N	2500	0	40	53	99	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	5406489	
34	1	A	3	N	2500	0	40	30	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5406660	
35	1	A	4	N	2500	0	40	59	169	22	3	2	0	0	0	0	0	0	0	0	0	0	0	0	5415537	
36	1	A	4	N	2500	0	40	411	1324	72	25	20	0	0	0	0	0	0	0	0	0	0	0	0	5415724	
37	1	A	4	N	2500	0	40	404	1283	70	27	17	0	0	0	0	0	0	0	0	0	0	0	0	5415786	
38	1	A	4	N	2500	0	40	38	59	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5416270	
39	1	A	4	N	2500	0	40	43	39	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5416363	
40	1	A	4	N	2500	0	40	100	473	59	13	7	0	0	0	0	0	0	0	0	0	0	0	0	5416363	
41	1	A	4	N	2500	0	40	26	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5416363	
42	1	A	4	N	2500	0	40	420	1424	96	30	22	0	0	0	0	0	0	0	0	0	0	0	0	5416410	
43	1	A	4	N	2500	0	40	35	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5417034	
44	1	A	4	N	2500	0	40	522	1453	103	31	23	0	0	0	0	0	0	0	0	0	0	0	0	5417471	
45	1	A	4	N	2500	0	40	29	49	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	5417471	
46	1	A	4	N	2500	0	40	47	52	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5417549	
47	1	A	4	N	2500	0	40	61	129	12	4	4	0	0	0	0	0	0	0	0	0	0	0	0	5417549	
48	1	A	4	N	2500	0	40	369	1102	47	20	15	0	0	0	0	0	0	0	0	0	0	0	0	5417596	
49	1	A	4	N	2500	0	40	43	58	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5418033	
50	1	A	4	N	2500	0	40	31	33	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5418157	
51	1	A	4	N	2500	0	40	30	35	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5418157	
52	1	A	4	N	2500	0	40	402	1268	79	25	16	0	0	0	0	0	0	0	0	0	0	0	0	5418875	
53	1	A	4	N	2500	0	40	442	1588	82	34	24	0	0	0	0	0	0	0	0	0	0	0	0	5419047	
54	1	A	4	N	2500	0	40	447	1637	101	35	28	0	0	0	0	0	0	0	0	0	0	0	0	5419515	
55	1	A	4	N	2500	0	40	721	2061	191	48	39	0	0	0	0	0	0	0	0	0	0	0	0	5419577	
56	1	A	4	N	2500	0	40	423	1425	82	28	20	0	0	0	0	0	0	0	0	0	0	0	0	5419671	
57	1	A	4	N	2500	0	40	302	1348	72	32	20	0	0	0	0	0	0	0	0	0	0	0	0	5419827	
58	1	A	4	N	2500	0	40	399	1120	56	19	16	0	0	0	0	0	0	0	0	0	0	0	0	5419842	
59	1	A	4	N	2500	0	40	451	1622	86	35	27	0	0	0	0	0	0	0	0	0	0	0	0	5420061	
60	1	A	4	N	2500	0	40	412	1418	89	29	22	0	0	0	0	0	0	0	0	0	0	0	0	5420263	
61	1	A	4	N	2500	0	40	437	1508	82	31	26	0	0	0	0	0	0	0	0	0	0	0	0	5420497	
62	1	A	4	N	2500	0	40	53	221	21	20	22	0	0	0	0	0	0	0	0	0	0	0	0	5420560	
63	1	A	4	N	2500	0	40	344	841	26	13	12	0	0	0	0	0	0	0	0	0	0	0	0	5420638	
64	1	A	4	N	2500	0	40	504	1528	86	30	29	0	0	0	0	0	0	0	0	0	0	0	0	5420731	
65	1	A	4	N	2500	0	40	337	1365	79	32	23	0	0	0	0	0	0	0	0	0	0	0	0	5420887	
66	1	A	4	N	2500	0	40	432	1438	91	28	21	0	0	0	0	0	0	0	0	0	0	0	0	5421059	
67	1	A	4	N	2500	0	40	61	306	34	32	36	0	0	0	0	0	0	0	0	0	0	0	0	5421777	
68	1	A	4	N	2500	0	40	36	64	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5421777	
69	1	A	5	N	2500	0	40	120	394	57	11	7	0	0	0	0	0	0	0	0	0	0	0	0	5429935	
70	1	A	5	N	2500	0	40	52	65	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5429935	
71	1	A	5	N	2500	0	40	121	489	58	16	11	0	0	0	0	0	0	0	0	0	0	0	0	5429935	
72	1	A	5	N	2500	0	40	93	309	31	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5430091	
73	1	A	5	N	2500	0	40	27	49	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5430388	
74	1	A	5	N	2500	0	40	510	1475	86	36	26	0	0	0	0	0	0	0	0	0	0	0	0	5431012	
75	1	A	5	N	2500	0	40	31	34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5431355	
76	1	A	5	N	2500	0	40	92	148	13	5	4	0	0	0	0	0	0	0	0	0	0	0	0	5431558	
77	1	A	5	N	2500	0	40	397	1215	63	25	19	0	0	0	0	0	0	0	0	0	0	0	0	5432821	
78	1	A	5	N	2500	0	40	342	1715	117	43	31	0	0	0	0	0	0	0	0	0	0	0	0	5432837	
79	1	A	5	N	2500	0	40	437	1422	82	31	27	0	0	0	0	0	0	0	0	0	0	0	0	5432899	
80	1	A	5	N	2500	0	40	433	1433	78	27	19	0	0	0	0	0	0	0	0	0	0	0	0	5432993	
81	1	A	5	N	2500	0	40	661	2138	112	44	37	0	0	0	0	0	0	0	0	0	0	0	0	5433430	
82	1	A	5	N	2500	0	40	126	258	22	11	6	0	0	0	0	0	0	0	0	0	0	0	0	5433586	
83	1	A	5	N	2500	0	40	115	187	21	9	4	0	0	0	0	0	0	0	0	0	0	0	0	5434179	
84	1	A	5	N	2500	0	40	48	147	14	12	14	0	0	0	0	0	0	0	0	0	0	0	0	5434319	
85	1	A	5	N	2500	0	40	50	118	10	9	9	0	0	0	0	0	0	0	0	0	0	0	0	5434693	
86	1	A	5	N	2500	0	40	22	41	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5435021	
87	1	A	5	N	2500	0	40	36	68	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	5436394	
88	1	A	5	N	2500	0	40	33	36	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	5437049	
89	1	A	5	N	2500	0	40	283	1370	78	30	26	0	0	0	0	0	0	0	0	0	0	0	0	5437065	
90	1	A	5	N	2500	0	40	26	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5437377	
91	1	A	6	N	2500	0	40	24	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5445551	
92	1	A	6	N	2500	0	40	342	1638	96	39	27	0	0	0	0	0	0	0	0	0	0	0	0	5445801	
93	1	A	6	N	2500	0	40	53	93	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5445925	
94	1	A	6	N	2500	0	40	24	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5446191	
95	1	A	6	N	2500	0	40	36	67	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5446347	
96	1	A	6	N	2500	0	40	174	289	23	11	7	0	0	0	0	0	0	0	0	0	0	0	0	5446409	
97	1	A	6	N	2500	0	40	25	41	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5446596	
98	1	A	6	N	2500	0	40	29	33	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5446674	
99	1	A	6	N	2500	0	40	20	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5446815	
100	1	A	6	N	2500	0	40	493	1816	107	38	30	0	0	0	0	0	0	0	0	0	0	0	0	5447891	
101	1	A	6	N	2500	0	40	431	1583	107	38	26	0	0	0	0	0	0	0	0	0	0	0	0	5448234	
102	1	A	6	N	2500	0	40	862	2281	120	55	42	0	0	0	0	0	0	0	0	0	0	0	0	5448515	
103	1	A	6	N	2500	0	40	410	1392	79	31	24	0	0	0	0	0	0	0	0	0	0	0	0	5448531	
104	1	A	6	N	2500	0	40	445	1526	91	32	31	0	0	0	0	0	0	0	0	0	0	0	0	5448655	
105	1	A	6	N	2500	0	40	398	1355	71	30	23	0	0	0	0	0	0	0	0	0	0	0	0	5448905	
106	1	A	6	N	2500	0	40	51	96	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	5449030	
107	1	A	6	N	2500	0	40	45	122	9	8	10	0	0	0	0	0	0	0	0	0	0	0	0	5449061	
108	1	A	6	N	2500	0	40	495	1723	116	45	36	0	0	0	0	0	0	0	0	0	0	0	0	5449373	
109	1	A	6	N	2500	0	40	356	1681	113	43	32	0	0	0	0	0	0	0	0	0	0	0	0	5449545	
110	1	A	6	N	2500	0	40	418	1485	89	31	24	0	0	0	0	0	0	0	0	0	0	0	0	5449701	
111	1	A	6	N	2500	0	40	432	1378	70	26	20	0	0	0	0	0	0	0	0	0	0	0	0	5450449	
112	1	A	6	N	2500	0	40	47	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5450543	
113	1	A	6	N	2500	0	40	598	2203	121	49	38	0	0	0	0	0	0	0	0	0	0	0	0	5450543	
114	1	A	6	N	2500	0	40	409	1233	66	24	21	0	0	0	0	0	0	0	0	0	0	0	0	5451885	
115	1	A	6	N	2500	0	40	25	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5452056	
116	1	A	7	N	2500	0	40	34	47	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5459903	
117	1	A	7	N	2500	0	40	29	45	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5460527	
118	1	A	7	N	2500	0	40	425	1521	94	33	28	0	0	0	0	0	0	0	0	0	0	0	0	5460917	
119	1	A	7	N	2500	0	40	53	126	14	4	3	0	0	0	0	0	0	0	0	0	0	0	0	5461525	
120	1	A	7	N	2500	0	40	27	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5461650	
121	1	A	7	N	2500	0	40	33	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5461900	
122	1	A	7	N	2500	0	40	29	32	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5462539	
123	1	A	7	N	2500	0	40	406	1177	68	22	20	0	0	0	0	0	0	0	0	0	0	0	0	5463694	
124	1	A	7	N	2500	0	40	21	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5464177	
125	1	A	7	N	2500	0	40	421	1253	60	25	20	0	0	0	0	0	0	0	0	0	0	0	0	5464193	
126	1	A	7	N	2500	0	40	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5464349	
127	1	A	7	N	2500	0	40	246	1133	88	33	20	0	0	0	0	0	0	0	0	0	0	0	0	5464677	
128	1	A	7	N	2500	0	40	648	2453	116	49	35	0	0	0	0	0	0	0	0	0	0	0	0	5464833	
129	1	A	7	N	2500	0	40	459	1300	98	40	31	0	0	0	0	0	0	0	0	0	0	0	0	5464895	
130	1	A	7	N	2500	0	40	51	50	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	5465269	
131	1	A	7	N	2500	0	40	517	1927	104	39	31	0	0	0	0	0	0	0	0	0	0	0	0	5465301	
132	1	A	7	N	2500	0	40	411	1280	69	26	19	0	0	0	0	0	0	0	0	0	0	0	0	5465347	
133	1	A	7	N	2500	0	40	46	110	14	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5465597	
134	1	A	7	N	2500	0	40	205	373	27	18	31	0	0	0	0	0	0	0	0	0	0	0	0	5466096	
135	1	A	8	N	2500	0	40	426	1211	73	22	17	0	0	0	0	0	0	0	0	0	0	0	0	5474084	
136	1	A	8	N	2500	0	40	74	168	19	3	2	0	0	0	0	0	0	0	0	0	0	0	0	5474505	
137	1	A	8	N	2500	0	40	65	133	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5474645	
138	1	A	8	N	2500	0	40	28	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5476080	
139	1	A	8	N	2500	0	40	68	142	12	5	3	0	0	0	0	0	0	0	0	0	0	0	0	5476080	
140	1	A	8	N	2500	0	40	61	93	10	4	3	0	0	0	0	0	0	0	0	0	0	0	0	5476080	
141	1	A	8	N	2500	0	40	33	50	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5476221	
142	1	A	8	N	2500	0	40	294	1399	107	36	24	0	0	0	0	0	0	0	0	0	0	0	0	5476970	
143	1	A	8	N	2500	0	40	425	1422	79	29	23	0	0	0	0	0	0	0	0	0	0	0	0	5477438	
144	1	A	8	N	2500	0	40	326	1519	98	40	27	0	0	0	0	0	0	0	0	0	0	0	0	5477687	
145	1	A	8	N	2500	0	40	629	2057	107	46	34	0	0	0	0	0	0	0	0	0	0	0	0	5477828	
146	1	A	8	N	2500	0	40	571	1774	132	52	41	0	0	0	0	0	0	0	0	0	0	0	0	5478093	
147	1	A	8	N	2500	0	40	398	1408	84	30	23	0	0	0	0	0	0	0	0	0	0	0	0	5478904	
148	1	A	8	N	2500	0	40	446	1566	66	29	27	0	0	0	0	0	0	0	0	0	0	0	0	5478982	
149	1	A	8	N	2500	0	40	434	1404	93	28	25	0	0	0	0	0	0	0	0	0	0	0	0	5479060	
150	1	A	8	N	2500	0	40	690	2335	128	46	39	0	0	0	0	0	0	0	0	0	0	0	0	5479122	
151	1	A	8	N	2500	0	40	337	1195	74	25	22	0	0	0	0	0	0	0	0	0	0	0	0	5479341	
152	1	A	8	N	2500	0	40	122	781	89	98	105	0	0	0	0	0	0	0	0	0	0	0	0	5479372	
153	1	A	8	N	2500	0	40	316	1351	84	33	23	0	0	0	0	0	0	0	0	0	0	0	0	5479731	
154	1	A	8	N	2500	0	40	90	444	38	38	39	0	0	0	0	0	0	0	0	0	0	0	0	5480480	
155	1	A	8	N	2500	0	40	23	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5480901	
156	1	A	8	N	2500	0	40	520	2102	112	50	36	0	0	0	0	0	0	0	0	0	0	0	0	5481306	
157	1	A	9	N	2500	0	40	28	34	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5488888	
158	1	A	9	N	2500	0	40	229	1230	94	33	25	0	0	0	0	0	0	0	0	0	0	0	0	5488935	
159	1	A	9	N	2500	0	40	34	47	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5489387	
160	1	A	9	N	2500	0	40	31	55	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5489684	
161	1	A	9	N	2500	0	40	24	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5489777	
162	1	A	9	N	2500	0	40	24	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5490136	
163	1	A	9	N	2500	0	40	67	171	34	4	3	0	0	0	0	0	0	0	0	0	0	0	0	5490214	
164	1	A	9	N	2500	0	40	417	1445	86	34	25	0	0	0	0	0	0	0	0	0	0	0	0	5490276	
165	1	A	9	N	2500	0	40	23	27	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5490604	
166	1	A	9	N	2500	0	40	463	1517	79	26	21	0	0	0	0	0	0	0	0	0	0	0	0	5490900	
167	1	A	9	N	2500	0	40	384	1414	75	30	23	0	0	0	0	0	0	0	0	0	0	0	0	5491821	
168	1	A	9	N	2500	0	40	22	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5491992	
169	1	A	9	N	2500	0	40	353	957	40	17	14	0	0	0	0	0	0	0	0	0	0	0	0	5492804	
170	1	A	9	N	2500	0	40	367	1031	50	21	15	0	0	0	0	0	0	0	0	0	0	0	0	5492944	
171	1	A	9	N	2500	0	40	20	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5493084	
172	1	A	9	N	2500	0	40	353	1656	108	42	31	0	0	0	0	0	0	0	0	0	0	0	0	5493272	
173	1	A	9	N	2500	0	40	48	119	14	15	19	0	0	0	0	0	0	0	0	0	0	0	0	5493318	
174	1	A	9	N	2500	0	40	42	49	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5493506	
175	1	A	9	N	2500	0	40	95	290	37	4	3	0	0	0	0	0	0	0	0	0	0	0	0	5493646	
176	1	A	9	N	2500	0	40	309	1202	66	25	19	0	0	0	0	0	0	0	0	0	0	0	0	5494613	
177	1	A	9	N	2500	0	40	26	29	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5495440	
178	1	A	10	N	2500	0	40	257	1442	99	35	28	0	0	0	0	0	0	0	0	0	0	0	0	5503443	
179	1	A	10	N	2500	0	40	38	47	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5503521	
180	1	A	10	N	2500	0	40	28	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5503521	
181	1	A	10	N	2500	0	40	53	143	14	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5503568	
182	1	A	10	N	2500	0	40	44	85	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5503630	
183	1	A	10	N	2500	0	40	40	42	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5503724	
184	1	A	10	N	2500	0	40	70	97	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5503724	
185	1	A	10	N	2500	0	40	46	56	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5503724	
186	1	A	10	N	2500	0	40	20	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5504114	
187	1	A	10	N	2500	0	40	23	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5504270	
188	1	A	10	N	2500	0	40	43	78	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	5504831	
189	1	A	10	N	2500	0	40	246	1354	98	35	29	0	0	0	0	0	0	0	0	0	0	0	0	5505081	
190	1	A	10	N	2500	0	40	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5505081	
191	1	A	10	N	2500	0	40	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5505081	
192	1	A	10	N	2500	0	40	87	73	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5505081	
193	1	A	10	N	2500	0	40	87	74	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	5505081	
194	1	A	10	N	2500	0	40	23	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5505081	
195	1	A	10	N	2500	0	40	84	159	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5505096	
196	1	A	10	N	2500	0	40	105	238	25	10	6	0	0	0	0	0	0	0	0	0	0	0	0	5505190	
197	1	A	10	N	2500	0	40	50	85	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5505299	
