Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	27	37	6	7	11	0	0	0	0	0	0	0	0	0	0	0	0	3993768	
1	1	A	1	N	2500	0	40	421	1632	99	35	29	0	0	0	0	0	0	0	0	0	0	0	0	3993831	
2	1	A	1	N	2500	0	40	356	1156	52	22	16	0	0	0	0	0	0	0	0	0	0	0	0	3993940	
3	1	A	1	N	2500	0	40	21	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3994533	
4	1	A	1	N	2500	0	40	591	1981	100	40	25	0	0	0	0	0	0	0	0	0	0	0	0	3995266	
5	1	A	1	N	2500	0	40	191	1033	55	25	20	0	0	0	0	0	0	0	0	0	0	0	0	3995406	
6	1	A	1	N	2500	0	40	393	1517	77	30	24	0	0	0	0	0	0	0	0	0	0	0	0	3995983	
7	1	A	1	N	2500	0	40	397	1183	50	22	18	0	0	0	0	0	0	0	0	0	0	0	0	3996280	
8	1	A	1	N	2500	0	40	1080	2702	96	45	46	0	0	0	0	0	0	0	0	0	0	0	0	3996389	
9	1	A	1	N	2500	0	40	815	783	15	11	14	0	0	0	0	0	0	0	0	0	0	0	0	3996389	
10	1	A	1	N	2500	0	40	711	2278	102	41	33	0	0	0	0	0	0	0	0	0	0	0	0	3996389	
11	1	A	1	N	2500	0	40	90	322	356	360	333	0	0	0	0	0	0	0	0	0	0	0	0	3996717	
12	1	A	1	N	2500	0	40	281	647	20	11	12	0	0	0	0	0	0	0	0	0	0	0	0	3996810	
13	1	A	1	N	2500	0	40	402	1346	91	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3996857	
14	1	A	1	N	2500	0	40	649	2221	104	43	36	0	0	0	0	0	0	0	0	0	0	0	0	3997153	
15	1	A	1	N	2500	0	40	20	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3997231	
16	1	A	1	N	2500	0	40	636	567	13	9	10	0	0	0	0	0	0	0	0	0	0	0	0	3997309	
17	1	A	1	N	2500	0	40	489	1578	127	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3997309	
18	1	A	1	N	2500	0	40	467	1593	90	33	23	0	0	0	0	0	0	0	0	0	0	0	0	3997434	
19	1	A	1	N	2500	0	40	385	1451	76	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3997621	
20	1	A	1	N	2500	0	40	759	753	16	14	13	0	0	0	0	0	0	0	0	0	0	0	0	3997621	
21	1	A	1	N	2500	0	40	451	1543	79	35	31	0	0	0	0	0	0	0	0	0	0	0	0	3997715	
22	1	A	1	N	2500	0	40	531	1794	116	36	33	0	0	0	0	0	0	0	0	0	0	0	0	3997746	
23	1	A	1	N	2500	0	40	84	345	36	34	39	0	0	0	0	0	0	0	0	0	0	0	0	3997871	
24	1	A	1	N	2500	0	40	580	1760	142	43	33	0	0	0	0	0	0	0	0	0	0	0	0	3997980	
25	1	A	1	N	2500	0	40	428	1436	78	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3998011	
26	1	A	1	N	2500	0	40	480	1539	87	30	24	0	0	0	0	0	0	0	0	0	0	0	0	3998105	
27	1	A	1	N	2500	0	40	462	1494	93	26	23	0	0	0	0	0	0	0	0	0	0	0	0	3998323	
28	1	A	1	N	2500	0	40	343	1058	53	19	16	0	0	0	0	0	0	0	0	0	0	0	0	3998448	
29	1	A	1	N	2500	0	40	25	21	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3998464	
30	1	A	1	N	2500	0	40	405	1314	65	24	19	0	0	0	0	0	0	0	0	0	0	0	0	3998620	
31	1	A	1	N	2500	0	40	401	1038	54	18	18	0	0	0	0	0	0	0	0	0	0	0	0	3999244	
32	1	A	1	N	2500	0	40	531	2066	99	40	32	0	0	0	0	0	0	0	0	0	0	0	0	3999275	
33	1	A	1	N	2500	0	40	207	526	25	13	9	0	0	0	0	0	0	0	0	0	0	0	0	3999322	
34	1	A	1	N	2500	0	40	230	405	16	9	8	0	0	0	0	0	0	0	0	0	0	0	0	3999322	
35	1	A	1	N	2500	0	40	561	2045	119	42	32	0	0	0	0	0	0	0	0	0	0	0	0	3999509	
36	1	A	1	N	2500	0	40	495	1747	75	32	29	0	0	0	0	0	0	0	0	0	0	0	0	3999540	
37	1	A	1	N	2500	0	40	336	995	45	21	18	0	0	0	0	0	0	0	0	0	0	0	0	4000133	
38	1	A	1	N	2500	0	40	538	1666	106	33	24	0	0	0	0	0	0	0	0	0	0	0	0	4000211	
39	1	A	1	N	2500	0	40	235	975	46	20	15	0	0	0	0	0	0	0	0	0	0	0	0	4000242	
40	1	A	1	N	2500	0	40	26	36	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4000336	
41	1	A	1	N	2500	0	40	366	1192	59	23	18	0	0	0	0	0	0	0	0	0	0	0	0	4000351	
42	1	A	1	N	2500	0	40	51	82	10	4	5	0	0	0	0	0	0	0	0	0	0	0	0	4000445	
43	1	B	1	N	2500	0	40	76	505	42	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4008495	
44	1	B	1	N	2500	0	40	23	47	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4008619	
45	1	B	1	N	2500	0	40	22	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4008697	
46	1	B	1	N	2500	0	40	39	141	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4008697	
47	1	B	1	N	2500	0	40	21	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4008760	
48	1	B	1	N	2500	0	40	26	56	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4008760	
49	1	B	1	N	2500	0	40	421	1225	57	21	17	0	0	0	0	0	0	0	0	0	0	0	0	4008947	
50	1	B	1	N	2500	0	40	90	619	68	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4008978	
51	1	B	1	N	2500	0	40	554	1363	89	35	27	0	0	0	0	0	0	0	0	0	0	0	0	4009134	
52	1	B	1	N	2500	0	40	443	1519	89	34	29	0	0	0	0	0	0	0	0	0	0	0	0	4009197	
53	1	B	1	N	2500	0	40	434	1445	85	29	20	0	0	0	0	0	0	0	0	0	0	0	0	4009743	
54	1	B	1	N	2500	0	40	392	949	39	16	12	0	0	0	0	0	0	0	0	0	0	0	0	4009883	
55	1	B	1	N	2500	0	40	512	1444	85	25	24	0	0	0	0	0	0	0	0	0	0	0	0	4011037	
56	1	B	1	N	2500	0	40	608	2209	131	47	37	0	0	0	0	0	0	0	0	0	0	0	0	4011115	
57	1	B	1	N	2500	0	40	570	1640	99	30	26	0	0	0	0	0	0	0	0	0	0	0	0	4011303	
58	1	B	1	N	2500	0	40	275	1309	88	30	25	0	0	0	0	0	0	0	0	0	0	0	0	4011537	
59	1	B	1	N	2500	0	40	418	1256	65	26	21	0	0	0	0	0	0	0	0	0	0	0	0	4011583	
60	1	B	1	N	2500	0	40	286	1277	80	28	23	0	0	0	0	0	0	0	0	0	0	0	0	4011630	
61	1	B	1	N	2500	0	40	451	1436	85	30	21	0	0	0	0	0	0	0	0	0	0	0	0	4011802	
62	1	B	1	N	2500	0	40	422	1258	73	25	21	0	0	0	0	0	0	0	0	0	0	0	0	4011849	
63	1	B	1	N	2500	0	40	30	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4012426	
64	1	B	1	N	2500	0	40	411	1387	89	30	21	0	0	0	0	0	0	0	0	0	0	0	0	4013065	
65	1	B	1	N	2500	0	40	251	1165	77	25	22	0	0	0	0	0	0	0	0	0	0	0	0	4013409	
66	1	B	1	N	2500	0	40	41	121	9	8	9	0	0	0	0	0	0	0	0	0	0	0	0	4013424	
67	1	B	1	N	2500	0	40	454	1488	85	28	26	0	0	0	0	0	0	0	0	0	0	0	0	4013455	
68	1	B	1	N	2500	0	40	473	1641	110	34	27	0	0	0	0	0	0	0	0	0	0	0	0	4013549	
69	1	B	1	N	2500	0	40	368	973	45	17	16	0	0	0	0	0	0	0	0	0	0	0	0	4013565	
70	1	B	1	N	2500	0	40	513	1403	92	34	28	0	0	0	0	0	0	0	0	0	0	0	0	4013658	
71	1	B	1	N	2500	0	40	334	1439	91	33	27	0	0	0	0	0	0	0	0	0	0	0	0	4013986	
72	1	B	1	N	2500	0	40	29	50	9	11	12	0	0	0	0	0	0	0	0	0	0	0	0	4014064	
73	1	B	1	N	2500	0	40	417	1414	88	27	22	0	0	0	0	0	0	0	0	0	0	0	0	4014126	
74	1	B	1	N	2500	0	40	672	2037	105	31	27	0	0	0	0	0	0	0	0	0	0	0	0	4014126	
75	1	B	1	N	2500	0	40	430	1337	67	27	24	0	0	0	0	0	0	0	0	0	0	0	0	4014282	
76	1	B	1	N	2500	0	40	450	1315	76	26	19	0	0	0	0	0	0	0	0	0	0	0	0	4014282	
77	1	B	1	N	2500	0	40	88	74	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4014298	
78	1	B	1	N	2500	0	40	31	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4014298	
79	1	B	1	N	2500	0	40	39	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4014298	
80	1	B	1	N	2500	0	40	25	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4014298	
81	1	B	1	N	2500	0	40	29	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4014298	
82	1	B	1	N	2500	0	40	55	45	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4014298	
83	1	B	1	N	2500	0	40	417	1333	69	29	21	0	0	0	0	0	0	0	0	0	0	0	0	4014298	
84	1	B	1	N	2500	0	40	60	193	20	16	15	0	0	0	0	0	0	0	0	0	0	0	0	4014407	
85	1	B	1	N	2500	0	40	243	940	58	26	19	0	0	0	0	0	0	0	0	0	0	0	0	4014657	
86	1	B	1	N	2500	0	40	374	1306	104	37	25	0	0	0	0	0	0	0	0	0	0	0	0	4015499	
87	1	C	1	N	2500	0	40	71	391	37	44	48	0	0	0	0	0	0	0	0	0	0	0	0	4023143	
88	1	C	1	N	2500	0	40	370	899	33	16	13	0	0	0	0	0	0	0	0	0	0	0	0	4024219	
