Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	38	41	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26758972	
1	1	A	1	N	2500	0	40	1830	4255	208	66	69	0	0	0	0	0	0	0	0	0	0	0	0	26759035	
2	1	A	1	N	2500	0	40	21	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26759035	
3	1	A	1	N	2500	0	40	120	118	27	3	1	0	0	0	0	0	0	0	0	0	0	0	0	26759066	
4	1	A	1	N	2500	0	40	1386	4377	212	77	64	0	0	0	0	0	0	0	0	0	0	0	0	26759082	
5	1	A	1	N	2500	0	40	135	261	26	2	3	0	0	0	0	0	0	0	0	0	0	0	0	26759082	
6	1	A	1	N	2500	0	40	1893	4988	206	75	76	0	0	0	0	0	0	0	0	0	0	0	0	26759113	
7	1	A	1	N	2500	0	40	30	29	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26759128	
8	1	A	1	N	2500	0	40	62	69	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26759144	
9	1	A	1	N	2500	0	40	67	87	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	26759160	
10	1	A	1	N	2500	0	40	26	24	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26759222	
11	1	A	1	N	2500	0	40	51	53	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26759269	
12	1	A	1	N	2500	0	40	65	89	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26759284	
13	1	A	1	N	2500	0	40	35	32	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26759300	
14	1	A	1	N	2500	0	40	56	70	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26759300	
15	1	A	1	N	2500	0	40	147	347	46	5	4	0	0	0	0	0	0	0	0	0	0	0	0	26759347	
16	1	A	1	N	2500	0	40	1648	3808	246	63	60	0	0	0	0	0	0	0	0	0	0	0	0	26759362	
17	1	A	1	N	2500	0	40	146	465	76	12	7	0	0	0	0	0	0	0	0	0	0	0	0	26759362	
18	1	A	1	N	2500	0	40	96	98	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26759440	
19	1	A	1	N	2500	0	40	118	219	24	4	4	0	0	0	0	0	0	0	0	0	0	0	0	26759440	
20	1	A	1	N	2500	0	40	83	147	17	4	1	0	0	0	0	0	0	0	0	0	0	0	0	26759487	
21	1	A	1	N	2500	0	40	292	608	90	6	9	0	0	0	0	0	0	0	0	0	0	0	0	26759503	
22	1	A	1	N	2500	0	40	24	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26759581	
23	1	A	1	N	2500	0	40	26	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26759596	
24	1	A	1	N	2500	0	40	165	298	42	5	4	0	0	0	0	0	0	0	0	0	0	0	0	26759596	
25	1	A	1	N	2500	0	40	108	156	17	2	2	0	0	0	0	0	0	0	0	0	0	0	0	26759612	
26	1	A	1	N	2500	0	40	87	92	28	1	2	0	0	0	0	0	0	0	0	0	0	0	0	26759628	
27	1	A	1	N	2500	0	40	178	278	37	5	4	0	0	0	0	0	0	0	0	0	0	0	0	26759690	
28	1	A	1	N	2500	0	40	251	387	68	9	6	0	0	0	0	0	0	0	0	0	0	0	0	26759721	
29	1	A	1	N	2500	0	40	56	55	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	26759799	
30	1	A	1	N	2500	0	40	74	74	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	26759799	
31	1	A	1	N	2500	0	40	22	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26759815	
32	1	A	1	N	2500	0	40	82	121	13	3	1	0	0	0	0	0	0	0	0	0	0	0	0	26759815	
33	1	A	1	N	2500	0	40	270	463	55	10	8	0	0	0	0	0	0	0	0	0	0	0	0	26759831	
34	1	A	1	N	2500	0	40	35	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26759877	
35	1	A	1	N	2500	0	40	39	32	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26759893	
36	1	A	1	N	2500	0	40	494	1276	273	18	19	0	0	0	0	0	0	0	0	0	0	0	0	26759893	
37	1	A	1	N	2500	0	40	75	100	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	26759893	
38	1	A	1	N	2500	0	40	126	465	52	5	3	0	0	0	0	0	0	0	0	0	0	0	0	26759893	
39	1	A	1	N	2500	0	40	290	905	137	30	20	0	0	0	0	0	0	0	0	0	0	0	0	26759940	
40	1	A	1	N	2500	0	40	350	1731	252	85	54	0	0	0	0	0	0	0	0	0	0	0	0	26759940	
41	1	A	1	N	2500	0	40	175	239	19	6	4	0	0	0	0	0	0	0	0	0	0	0	0	26759940	
42	1	A	1	N	2500	0	40	83	113	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	26759940	
43	1	A	1	N	2500	0	40	38	33	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26759940	
44	1	A	1	N	2500	0	40	32	47	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26759955	
45	1	A	1	N	2500	0	40	154	163	19	4	4	0	0	0	0	0	0	0	0	0	0	0	0	26759955	
46	1	A	1	N	2500	0	40	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26759971	
47	1	A	1	N	2500	0	40	139	159	19	2	3	0	0	0	0	0	0	0	0	0	0	0	0	26759971	
48	1	A	1	N	2500	0	40	20	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26759971	
49	1	A	1	N	2500	0	40	44	51	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26760018	
50	1	A	1	N	2500	0	40	109	128	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26760033	
51	1	A	1	N	2500	0	40	213	363	32	5	5	0	0	0	0	0	0	0	0	0	0	0	0	26760033	
52	1	A	1	N	2500	0	40	104	117	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26760065	
53	1	A	1	N	2500	0	40	1850	4494	186	74	74	0	0	0	0	0	0	0	0	0	0	0	0	26760143	
54	1	A	1	N	2500	0	40	1462	5012	322	103	90	0	0	0	0	0	0	0	0	0	0	0	0	26760189	
55	1	A	1	N	2500	0	40	34	31	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26760205	
56	1	A	1	N	2500	0	40	294	729	118	18	13	0	0	0	0	0	0	0	0	0	0	0	0	26760252	
57	1	A	1	N	2500	0	40	64	102	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	26760330	
58	1	A	1	N	2500	0	40	1867	5658	279	96	92	0	0	0	0	0	0	0	0	0	0	0	0	26760361	
59	1	A	1	N	2500	0	40	21	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26760377	
60	1	A	1	N	2500	0	40	1317	4004	222	75	70	0	0	0	0	0	0	0	0	0	0	0	0	26760408	
61	1	A	1	N	2500	0	40	214	545	55	7	8	0	0	0	0	0	0	0	0	0	0	0	0	26760423	
62	1	A	1	N	2500	0	40	62	67	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	26760439	
63	1	A	1	N	2500	0	40	124	256	24	9	7	0	0	0	0	0	0	0	0	0	0	0	0	26760439	
64	1	A	1	N	2500	0	40	21	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26760486	
65	1	A	1	N	2500	0	40	87	229	27	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26760548	
66	1	A	1	N	2500	0	40	74	75	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	26760611	
67	1	A	1	N	2500	0	40	36	41	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26760611	
68	1	A	1	N	2500	0	40	673	976	59	19	21	0	0	0	0	0	0	0	0	0	0	0	0	26760642	
69	1	A	1	N	2500	0	40	47	38	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26760642	
70	1	A	1	N	2500	0	40	27	21	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26760642	
71	1	A	1	N	2500	0	40	1672	3953	166	60	60	0	0	0	0	0	0	0	0	0	0	0	0	26760642	
72	1	A	1	N	2500	0	40	1692	4655	265	82	71	0	0	0	0	0	0	0	0	0	0	0	0	26760704	
73	1	A	1	N	2500	0	40	26	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26760704	
74	1	A	1	N	2500	0	40	120	148	14	2	2	0	0	0	0	0	0	0	0	0	0	0	0	26760782	
75	1	A	1	N	2500	0	40	100	130	13	3	4	0	0	0	0	0	0	0	0	0	0	0	0	26760782	
