Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	43	93	8	6	7	0	0	0	0	0	0	0	0	0	0	0	0	32010285	
1	1	A	1	N	2500	0	40	35	58	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32010613	
2	1	A	1	N	2500	0	40	439	833	35	12	11	0	0	0	0	0	0	0	0	0	0	0	0	32011034	
3	1	A	1	N	2500	0	40	210	498	16	8	7	0	0	0	0	0	0	0	0	0	0	0	0	32011112	
4	1	A	1	N	2500	0	40	33	50	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32011377	
5	1	A	1	N	2500	0	40	22	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32011892	
6	1	A	1	N	2500	0	40	25	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32011907	
7	1	A	1	N	2500	0	40	280	472	12	4	6	0	0	0	0	0	0	0	0	0	0	0	0	32012079	
8	1	A	1	N	2500	0	40	280	537	18	7	8	0	0	0	0	0	0	0	0	0	0	0	0	32012079	
9	1	A	1	N	2500	0	40	309	581	23	7	7	0	0	0	0	0	0	0	0	0	0	0	0	32012890	
10	1	A	1	N	2500	0	40	27	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32012921	
11	1	A	1	N	2500	0	40	257	445	13	6	6	0	0	0	0	0	0	0	0	0	0	0	0	32013029	
12	1	A	1	N	2500	0	40	38	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32013079	
13	1	A	1	N	2500	0	40	35	55	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	32013282	
14	1	A	1	N	2500	0	40	21	36	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	32013407	
15	1	A	1	N	2500	0	40	212	491	15	8	6	0	0	0	0	0	0	0	0	0	0	0	0	32013485	
16	1	A	1	N	2500	0	40	307	582	18	8	9	0	0	0	0	0	0	0	0	0	0	0	0	32013766	
17	1	A	1	N	2500	0	40	284	543	17	6	8	0	0	0	0	0	0	0	0	0	0	0	0	32013797	
18	1	A	1	N	2500	0	40	27	32	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32013937	
19	1	A	1	N	2500	0	40	28	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32014031	
20	1	A	1	N	2500	0	40	35	59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32014109	
21	1	A	1	N	2500	0	40	279	497	16	6	6	0	0	0	0	0	0	0	0	0	0	0	0	32014109	
22	1	A	1	N	2500	0	40	44	63	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	32014156	
23	1	A	1	N	2500	0	40	30	37	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32014374	
24	1	A	1	N	2500	0	40	36	45	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32014561	
25	1	A	1	N	2500	0	40	287	531	17	7	9	0	0	0	0	0	0	0	0	0	0	0	0	32014593	
26	1	A	1	N	2500	0	40	273	587	21	10	10	0	0	0	0	0	0	0	0	0	0	0	0	32014717	
27	1	A	1	N	2500	0	40	20	24	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32014858	
28	1	A	1	N	2500	0	40	24	39	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	32014889	
29	1	A	1	N	2500	0	40	21	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32014920	
30	1	A	1	N	2500	0	40	275	498	18	6	7	0	0	0	0	0	0	0	0	0	0	0	0	32014936	
31	1	A	1	N	2500	0	40	265	490	16	8	8	0	0	0	0	0	0	0	0	0	0	0	0	32015014	
32	1	A	1	N	2500	0	40	26	39	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32015388	
33	1	A	1	N	2500	0	40	279	451	16	5	6	0	0	0	0	0	0	0	0	0	0	0	0	32015529	
34	1	A	1	N	2500	0	40	282	510	18	7	7	0	0	0	0	0	0	0	0	0	0	0	0	32015685	
35	1	A	1	N	2500	0	40	20	29	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32015856	
36	1	A	1	N	2500	0	40	20	28	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32015856	
37	1	A	1	N	2500	0	40	23	37	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	32015887	
