Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	60	222	15	15	16	0	0	0	0	0	0	0	0	0	0	0	0	37325169	
1	1	A	1	N	2500	0	40	22	30	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	37325169	
2	1	A	1	N	2500	0	40	33	96	9	8	9	0	0	0	0	0	0	0	0	0	0	0	0	37325513	
3	1	A	1	N	2500	0	40	56	138	8	8	9	0	0	0	0	0	0	0	0	0	0	0	0	37325559	
4	1	A	1	N	2500	0	40	20	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37325559	
5	1	A	1	N	2500	0	40	29	73	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	37326199	
6	1	A	1	N	2500	0	40	32	58	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	37326417	
7	1	A	1	N	2500	0	40	21	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37327010	
8	1	A	1	N	2500	0	40	22	27	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37327026	
9	1	A	1	N	2500	0	40	29	55	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	37327369	
10	1	A	1	N	2500	0	40	444	958	49	18	15	0	0	0	0	0	0	0	0	0	0	0	0	37327525	
11	1	A	1	N	2500	0	40	495	1059	49	23	19	0	0	0	0	0	0	0	0	0	0	0	0	37327712	
12	1	A	1	N	2500	0	40	26	64	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	37327946	
13	1	A	1	N	2500	0	40	357	769	31	13	14	0	0	0	0	0	0	0	0	0	0	0	0	37328009	
14	1	A	1	N	2500	0	40	52	131	9	8	11	0	0	0	0	0	0	0	0	0	0	0	0	37328274	
15	1	A	1	N	2500	0	40	397	997	41	19	18	0	0	0	0	0	0	0	0	0	0	0	0	37328305	
16	1	A	1	N	2500	0	40	360	787	31	14	15	0	0	0	0	0	0	0	0	0	0	0	0	37328445	
17	1	A	1	N	2500	0	40	332	692	23	10	11	0	0	0	0	0	0	0	0	0	0	0	0	37328835	
18	1	A	1	N	2500	0	40	42	68	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	37329007	
19	1	A	1	N	2500	0	40	385	949	42	18	18	0	0	0	0	0	0	0	0	0	0	0	0	37329132	
20	1	A	1	N	2500	0	40	584	1545	55	26	25	0	0	0	0	0	0	0	0	0	0	0	0	37329272	
21	1	A	1	N	2500	0	40	27	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	37329319	
22	1	A	1	N	2500	0	40	22	36	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	37329631	
23	1	A	1	N	2500	0	40	26	51	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37330146	
24	1	A	1	N	2500	0	40	408	1063	49	19	19	0	0	0	0	0	0	0	0	0	0	0	0	37330224	
25	1	A	1	N	2500	0	40	26	43	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	37330239	
26	1	A	1	N	2500	0	40	259	339	13	10	10	0	0	0	0	0	0	0	0	0	0	0	0	37330489	
