Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	30	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3292468	
1	1	A	1	N	2500	0	40	31	62	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3292593	
2	1	A	1	N	2500	0	40	480	1787	139	39	31	0	0	0	0	0	0	0	0	0	0	0	0	3292702	
3	1	A	1	N	2500	0	40	85	258	45	6	2	0	0	0	0	0	0	0	0	0	0	0	0	3292734	
4	1	A	1	N	2500	0	40	297	970	40	17	11	0	0	0	0	0	0	0	0	0	0	0	0	3292734	
5	1	A	1	N	2500	0	40	399	1372	84	29	23	0	0	0	0	0	0	0	0	0	0	0	0	3292796	
6	1	A	1	N	2500	0	40	22	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3292905	
7	1	A	1	N	2500	0	40	115	185	24	12	9	0	0	0	0	0	0	0	0	0	0	0	0	3293108	
8	1	A	1	N	2500	0	40	86	115	17	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3293404	
9	1	A	1	N	2500	0	40	44	79	9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3293482	
10	1	A	1	N	2500	0	40	38	60	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3293498	
11	1	A	1	N	2500	0	40	68	226	42	10	5	0	0	0	0	0	0	0	0	0	0	0	0	3293592	
12	1	A	1	N	2500	0	40	482	1406	82	29	22	0	0	0	0	0	0	0	0	0	0	0	0	3293701	
13	1	A	1	N	2500	0	40	31	49	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3293748	
14	1	A	1	N	2500	0	40	25	24	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3293810	
15	1	A	1	N	2500	0	40	457	1329	66	26	20	0	0	0	0	0	0	0	0	0	0	0	0	3293872	
16	1	A	1	N	2500	0	40	80	79	9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3293997	
17	1	A	1	N	2500	0	40	40	46	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3294075	
18	1	A	1	N	2500	0	40	404	1068	49	18	17	0	0	0	0	0	0	0	0	0	0	0	0	3294075	
19	1	A	1	N	2500	0	40	93	243	34	11	4	0	0	0	0	0	0	0	0	0	0	0	0	3294091	
20	1	A	1	N	2500	0	40	466	1367	69	28	22	0	0	0	0	0	0	0	0	0	0	0	0	3294184	
21	1	A	1	N	2500	0	40	31	51	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3294278	
22	1	A	1	N	2500	0	40	56	115	18	8	5	0	0	0	0	0	0	0	0	0	0	0	0	3294294	
23	1	A	1	N	2500	0	40	47	87	17	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3294294	
24	1	A	1	N	2500	0	40	25	27	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3294465	
25	1	A	1	N	2500	0	40	41	57	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3294652	
26	1	A	1	N	2500	0	40	56	111	17	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3294652	
27	1	A	1	N	2500	0	40	27	49	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3294855	
28	1	A	1	N	2500	0	40	24	22	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3294871	
29	1	A	1	N	2500	0	40	26	48	9	11	10	0	0	0	0	0	0	0	0	0	0	0	0	3294918	
30	1	A	1	N	2500	0	40	42	53	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3295261	
31	1	A	1	N	2500	0	40	427	1518	92	36	26	0	0	0	0	0	0	0	0	0	0	0	0	3295448	
32	1	A	1	N	2500	0	40	476	1525	98	32	22	0	0	0	0	0	0	0	0	0	0	0	0	3295495	
33	1	A	1	N	2500	0	40	565	1468	42	21	19	0	0	0	0	0	0	0	0	0	0	0	0	3295651	
34	1	A	1	N	2500	0	40	21	26	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3295666	
35	1	A	1	N	2500	0	40	418	1036	44	16	15	0	0	0	0	0	0	0	0	0	0	0	0	3295776	
36	1	A	1	N	2500	0	40	36	67	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3295869	
37	1	A	1	N	2500	0	40	321	1311	73	34	27	0	0	0	0	0	0	0	0	0	0	0	0	3296134	
38	1	A	1	N	2500	0	40	57	143	13	12	16	0	0	0	0	0	0	0	0	0	0	0	0	3296368	
39	1	A	1	N	2500	0	40	21	35	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3296368	
40	1	A	1	N	2500	0	40	407	1077	48	19	14	0	0	0	0	0	0	0	0	0	0	0	0	3296400	
41	1	A	1	N	2500	0	40	23	40	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3296462	
42	1	A	1	N	2500	0	40	413	1145	59	21	15	0	0	0	0	0	0	0	0	0	0	0	0	3296509	
43	1	A	1	N	2500	0	40	507	1473	102	33	27	0	0	0	0	0	0	0	0	0	0	0	0	3296540	
44	1	A	1	N	2500	0	40	506	1656	92	32	24	0	0	0	0	0	0	0	0	0	0	0	0	3296571	
45	1	A	1	N	2500	0	40	430	1227	60	24	21	0	0	0	0	0	0	0	0	0	0	0	0	3296649	
46	1	A	1	N	2500	0	40	375	812	30	13	10	0	0	0	0	0	0	0	0	0	0	0	0	3296696	
47	1	A	1	N	2500	0	40	36	81	6	5	7	0	0	0	0	0	0	0	0	0	0	0	0	3296805	
48	1	A	1	N	2500	0	40	710	1758	134	31	29	0	0	0	0	0	0	0	0	0	0	0	0	3296868	
49	1	A	1	N	2500	0	40	744	2395	107	44	36	0	0	0	0	0	0	0	0	0	0	0	0	3296930	
50	1	A	1	N	2500	0	40	46	79	15	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3296930	
51	1	A	1	N	2500	0	40	52	129	13	12	13	0	0	0	0	0	0	0	0	0	0	0	0	3297086	
52	1	A	1	N	2500	0	40	48	47	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3297273	
53	1	A	1	N	2500	0	40	408	1019	42	19	17	0	0	0	0	0	0	0	0	0	0	0	0	3297273	
54	1	A	1	N	2500	0	40	434	1334	82	30	24	0	0	0	0	0	0	0	0	0	0	0	0	3297289	
55	1	A	1	N	2500	0	40	457	1425	90	33	27	0	0	0	0	0	0	0	0	0	0	0	0	3297304	
56	1	A	1	N	2500	0	40	431	1142	61	21	20	0	0	0	0	0	0	0	0	0	0	0	0	3297320	
57	1	A	1	N	2500	0	40	352	747	24	11	13	0	0	0	0	0	0	0	0	0	0	0	0	3297382	
58	1	A	1	N	2500	0	40	30	52	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3297382	
59	1	A	1	N	2500	0	40	254	674	20	11	10	0	0	0	0	0	0	0	0	0	0	0	0	3297507	
60	1	A	1	N	2500	0	40	24	48	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3297616	
61	1	A	1	N	2500	0	40	214	308	21	16	14	0	0	0	0	0	0	0	0	0	0	0	0	3297648	
62	1	A	1	N	2500	0	40	432	1259	69	26	22	0	0	0	0	0	0	0	0	0	0	0	0	3297648	
63	1	A	1	N	2500	0	40	30	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3297726	
64	1	A	1	N	2500	0	40	23	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3297726	
65	1	A	1	N	2500	0	40	64	54	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3297726	
66	1	A	1	N	2500	0	40	441	419	15	10	10	0	0	0	0	0	0	0	0	0	0	0	0	3297741	
67	1	A	1	N	2500	0	40	156	131	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3297741	
68	1	A	1	N	2500	0	40	46	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3297741	
69	1	A	1	N	2500	0	40	934	1923	73	32	31	0	0	0	0	0	0	0	0	0	0	0	0	3297741	
70	1	A	1	N	2500	0	40	555	1853	116	36	30	0	0	0	0	0	0	0	0	0	0	0	0	3298116	
71	1	A	1	N	2500	0	40	393	894	29	14	15	0	0	0	0	0	0	0	0	0	0	0	0	3298162	
72	1	A	1	N	2500	0	40	380	854	30	14	12	0	0	0	0	0	0	0	0	0	0	0	0	3298272	
73	1	A	1	N	2500	0	40	24	48	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3298287	
74	1	A	1	N	2500	0	40	351	1579	103	41	30	0	0	0	0	0	0	0	0	0	0	0	0	3298303	
75	1	A	1	N	2500	0	40	44	134	10	9	9	0	0	0	0	0	0	0	0	0	0	0	0	3298350	
76	1	A	1	N	2500	0	40	440	1250	58	21	17	0	0	0	0	0	0	0	0	0	0	0	0	3298568	
77	1	A	1	N	2500	0	40	44	94	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	3298802	
78	1	A	1	N	2500	0	40	759	2453	129	45	33	0	0	0	0	0	0	0	0	0	0	0	0	3299239	
79	1	A	1	N	2500	0	40	22	39	8	8	7	0	0	0	0	0	0	0	0	0	0	0	0	3299254	
80	1	A	1	N	2500	0	40	31	54	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3299254	
81	1	A	1	N	2500	0	40	20	28	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3299410	
82	1	A	1	N	2500	0	40	29	61	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3299551	
83	1	A	1	N	2500	0	40	42	68	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3299644	
84	1	A	1	N	2500	0	40	501	1273	49	21	18	0	0	0	0	0	0	0	0	0	0	0	0	3299707	
85	1	A	1	N	2500	0	40	20	31	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3299738	
86	1	A	1	N	2500	0	40	356	1366	81	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3299754	
87	1	A	1	N	2500	0	40	39	81	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	3299754	
88	1	B	1	N	2500	0	40	43	93	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3307023	
89	1	B	1	N	2500	0	40	28	53	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3307164	
90	1	B	1	N	2500	0	40	28	41	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3307211	
91	1	B	1	N	2500	0	40	72	88	11	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3307538	
92	1	B	1	N	2500	0	40	35	57	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3307663	
93	1	B	1	N	2500	0	40	429	1120	58	22	16	0	0	0	0	0	0	0	0	0	0	0	0	3307710	
94	1	B	1	N	2500	0	40	26	29	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3307819	
95	1	B	1	N	2500	0	40	39	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3308209	
96	1	B	1	N	2500	0	40	34	80	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3308303	
97	1	B	1	N	2500	0	40	465	1536	71	29	23	0	0	0	0	0	0	0	0	0	0	0	0	3308615	
98	1	B	1	N	2500	0	40	67	179	44	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3308708	
99	1	B	1	N	2500	0	40	21	23	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3308895	
100	1	B	1	N	2500	0	40	115	192	38	9	5	0	0	0	0	0	0	0	0	0	0	0	0	3309083	
101	1	B	1	N	2500	0	40	48	74	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3309582	
102	1	B	1	N	2500	0	40	539	1762	108	49	39	0	0	0	0	0	0	0	0	0	0	0	0	3310097	
103	1	B	1	N	2500	0	40	433	1356	75	31	24	0	0	0	0	0	0	0	0	0	0	0	0	3310237	
104	1	B	1	N	2500	0	40	42	71	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3310424	
105	1	B	1	N	2500	0	40	429	937	39	16	15	0	0	0	0	0	0	0	0	0	0	0	0	3310658	
106	1	B	1	N	2500	0	40	342	1068	90	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3310721	
107	1	B	1	N	2500	0	40	20	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3310721	
108	1	B	1	N	2500	0	40	26	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3310721	
109	1	B	1	N	2500	0	40	33	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3311173	
110	1	B	1	N	2500	0	40	28	51	11	13	16	0	0	0	0	0	0	0	0	0	0	0	0	3311360	
111	1	B	1	N	2500	0	40	426	984	42	15	15	0	0	0	0	0	0	0	0	0	0	0	0	3311438	
112	1	B	1	N	2500	0	40	66	55	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3311532	
113	1	B	1	N	2500	0	40	96	82	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3311532	
