Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	38	46	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6751993	
1	1	A	1	N	2500	0	40	33	36	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6752165	
2	1	A	1	N	2500	0	40	262	466	13	7	9	0	0	0	0	0	0	0	0	0	0	0	0	6752461	
3	1	A	1	N	2500	0	40	363	670	22	12	12	0	0	0	0	0	0	0	0	0	0	0	0	6752461	
4	1	A	1	N	2500	0	40	312	436	19	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6752773	
5	1	A	1	N	2500	0	40	170	497	17	8	6	0	0	0	0	0	0	0	0	0	0	0	0	6752773	
6	1	A	1	N	2500	0	40	298	507	16	6	7	0	0	0	0	0	0	0	0	0	0	0	0	6753179	
7	1	A	1	N	2500	0	40	393	663	23	10	10	0	0	0	0	0	0	0	0	0	0	0	0	6753225	
8	1	A	1	N	2500	0	40	49	104	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6753241	
9	1	A	1	N	2500	0	40	23	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6753350	
10	1	A	1	N	2500	0	40	316	420	16	6	7	0	0	0	0	0	0	0	0	0	0	0	0	6753537	
11	1	A	1	N	2500	0	40	261	399	12	4	6	0	0	0	0	0	0	0	0	0	0	0	0	6753584	
12	1	A	1	N	2500	0	40	249	309	7	2	4	0	0	0	0	0	0	0	0	0	0	0	0	6753787	
13	1	A	1	N	2500	0	40	283	550	26	8	8	0	0	0	0	0	0	0	0	0	0	0	0	6753881	
14	1	A	1	N	2500	0	40	26	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6754005	
15	1	A	1	N	2500	0	40	368	636	20	9	10	0	0	0	0	0	0	0	0	0	0	0	0	6754068	
16	1	A	1	N	2500	0	40	208	347	11	6	7	0	0	0	0	0	0	0	0	0	0	0	0	6754286	
17	1	A	1	N	2500	0	40	22	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6754645	
18	1	A	1	N	2500	0	40	259	435	18	8	7	0	0	0	0	0	0	0	0	0	0	0	0	6754707	
19	1	A	1	N	2500	0	40	23	32	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6754801	
20	1	A	1	N	2500	0	40	27	29	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6754801	
21	1	A	1	N	2500	0	40	202	478	14	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6754848	
22	1	A	1	N	2500	0	40	34	98	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6754973	
23	1	A	1	N	2500	0	40	23	32	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6755051	
24	1	A	1	N	2500	0	40	63	327	36	39	47	0	0	0	0	0	0	0	0	0	0	0	0	6755253	
25	1	A	1	N	2500	0	40	35	60	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6755643	
26	1	A	1	N	2500	0	40	252	361	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	6755643	
27	1	A	1	N	2500	0	40	404	761	22	12	12	0	0	0	0	0	0	0	0	0	0	0	0	6755721	
28	1	A	1	N	2500	0	40	249	405	12	6	4	0	0	0	0	0	0	0	0	0	0	0	0	6755831	
29	1	A	1	N	2500	0	40	135	364	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	6755846	
30	1	A	1	N	2500	0	40	36	104	10	11	13	0	0	0	0	0	0	0	0	0	0	0	0	6755862	
31	1	A	1	N	2500	0	40	35	87	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6756002	
32	1	A	1	N	2500	0	40	256	419	13	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6756111	
33	1	A	1	N	2500	0	40	285	561	20	9	6	0	0	0	0	0	0	0	0	0	0	0	0	6756189	
34	1	A	1	N	2500	0	40	386	584	25	7	11	0	0	0	0	0	0	0	0	0	0	0	0	6756423	
35	1	A	1	N	2500	0	40	55	116	13	7	4	0	0	0	0	0	0	0	0	0	0	0	0	6756579	
36	1	A	1	N	2500	0	40	241	388	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	6756673	
37	1	A	1	N	2500	0	40	28	44	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6756735	
38	1	A	1	N	2500	0	40	293	574	21	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6756860	
39	1	A	1	N	2500	0	40	304	465	14	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6757453	
40	1	A	1	N	2500	0	40	274	480	14	6	7	0	0	0	0	0	0	0	0	0	0	0	0	6757609	
41	1	B	1	N	2500	0	40	303	569	17	10	12	0	0	0	0	0	0	0	0	0	0	0	0	6765518	
42	1	B	1	N	2500	0	40	50	109	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6765674	
43	1	B	1	N	2500	0	40	20	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6766064	
44	1	B	1	N	2500	0	40	357	611	22	10	9	0	0	0	0	0	0	0	0	0	0	0	0	6766236	
45	1	B	1	N	2500	0	40	230	380	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	6766517	
46	1	B	1	N	2500	0	40	300	561	32	12	10	0	0	0	0	0	0	0	0	0	0	0	0	6766891	
47	1	B	1	N	2500	0	40	253	410	12	5	8	0	0	0	0	0	0	0	0	0	0	0	0	6766969	
48	1	B	1	N	2500	0	40	21	31	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6766969	
49	1	B	1	N	2500	0	40	297	566	21	8	9	0	0	0	0	0	0	0	0	0	0	0	0	6767047	
50	1	B	1	N	2500	0	40	255	389	10	6	8	0	0	0	0	0	0	0	0	0	0	0	0	6767063	
51	1	B	1	N	2500	0	40	318	583	17	8	8	0	0	0	0	0	0	0	0	0	0	0	0	6767141	
52	1	B	1	N	2500	0	40	22	38	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6767187	
53	1	B	1	N	2500	0	40	278	494	16	6	7	0	0	0	0	0	0	0	0	0	0	0	0	6767312	
54	1	B	1	N	2500	0	40	395	559	30	8	7	0	0	0	0	0	0	0	0	0	0	0	0	6767359	
55	1	B	1	N	2500	0	40	280	491	16	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6767702	
