Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	66	126	20	7	2	0	0	0	0	0	0	0	0	0	0	0	0	8272481	
1	1	A	1	N	2500	0	40	28	41	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	8272840	
2	1	A	1	N	2500	0	40	302	1171	63	24	22	0	0	0	0	0	0	0	0	0	0	0	0	8272840	
3	1	A	1	N	2500	0	40	43	47	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8273120	
4	1	A	1	N	2500	0	40	69	196	11	11	12	0	0	0	0	0	0	0	0	0	0	0	0	8273198	
5	1	A	1	N	2500	0	40	386	1044	51	17	12	0	0	0	0	0	0	0	0	0	0	0	0	8273261	
6	1	A	1	N	2500	0	40	324	1283	74	28	23	0	0	0	0	0	0	0	0	0	0	0	0	8273854	
7	1	A	1	N	2500	0	40	22	38	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8273900	
8	1	A	1	N	2500	0	40	309	1335	83	31	26	0	0	0	0	0	0	0	0	0	0	0	0	8274025	
9	1	A	1	N	2500	0	40	716	2209	131	48	41	0	0	0	0	0	0	0	0	0	0	0	0	8274072	
10	1	A	1	N	2500	0	40	25	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8274244	
11	1	A	1	N	2500	0	40	41	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8274244	
12	1	A	1	N	2500	0	40	317	1179	93	33	28	0	0	0	0	0	0	0	0	0	0	0	0	8274244	
13	1	A	1	N	2500	0	40	378	1219	71	27	22	0	0	0	0	0	0	0	0	0	0	0	0	8274977	
14	1	A	1	N	2500	0	40	383	998	42	18	16	0	0	0	0	0	0	0	0	0	0	0	0	8275055	
15	1	A	1	N	2500	0	40	44	146	14	11	13	0	0	0	0	0	0	0	0	0	0	0	0	8275180	
16	1	A	1	N	2500	0	40	470	1505	84	32	27	0	0	0	0	0	0	0	0	0	0	0	0	8275382	
17	1	A	1	N	2500	0	40	627	1520	108	41	31	0	0	0	0	0	0	0	0	0	0	0	0	8275507	
18	1	A	1	N	2500	0	40	35	92	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8276240	
19	1	A	1	N	2500	0	40	35	48	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	8276287	
20	1	A	1	N	2500	0	40	380	920	45	16	14	0	0	0	0	0	0	0	0	0	0	0	0	8276365	
21	1	A	1	N	2500	0	40	29	113	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	8276381	
22	1	A	1	N	2500	0	40	307	1324	73	29	24	0	0	0	0	0	0	0	0	0	0	0	0	8276396	
23	1	A	1	N	2500	0	40	27	41	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	8276646	
24	1	A	1	N	2500	0	40	423	1161	64	26	19	0	0	0	0	0	0	0	0	0	0	0	0	8277036	
25	1	A	1	N	2500	0	40	397	1402	66	25	21	0	0	0	0	0	0	0	0	0	0	0	0	8277098	
26	1	A	1	N	2500	0	40	369	692	21	11	12	0	0	0	0	0	0	0	0	0	0	0	0	8277098	
