Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	59	135	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	12131626	
1	1	A	1	N	2500	0	40	540	1736	101	39	26	0	0	0	0	0	0	0	0	0	0	0	0	12132889	
2	1	A	1	N	2500	0	40	674	1522	115	31	23	0	0	0	0	0	0	0	0	0	0	0	0	12133326	
3	1	A	1	N	2500	0	40	337	1494	97	36	28	0	0	0	0	0	0	0	0	0	0	0	0	12134855	
4	1	A	1	N	2500	0	40	613	1566	105	30	28	0	0	0	0	0	0	0	0	0	0	0	0	12135666	
5	1	A	1	N	2500	0	40	22	27	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12135838	
6	1	A	1	N	2500	0	40	252	465	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	12136243	
7	1	A	1	N	2500	0	40	58	93	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	12136243	
8	1	A	1	N	2500	0	40	22	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12136243	
9	1	A	1	N	2500	0	40	445	1367	68	26	22	0	0	0	0	0	0	0	0	0	0	0	0	12136945	
10	1	A	1	N	2500	0	40	675	1702	87	30	26	0	0	0	0	0	0	0	0	0	0	0	0	12137023	
11	1	A	1	N	2500	0	40	509	1472	81	27	21	0	0	0	0	0	0	0	0	0	0	0	0	12137101	
12	1	A	1	N	2500	0	40	28	39	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12137320	
13	1	A	1	N	2500	0	40	66	117	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	12137569	
14	1	A	1	N	2500	0	40	23	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12137647	
15	1	A	1	N	2500	0	40	434	1259	57	21	17	0	0	0	0	0	0	0	0	0	0	0	0	12138458	
16	1	A	1	N	2500	0	40	681	2194	102	40	35	0	0	0	0	0	0	0	0	0	0	0	0	12138505	
17	1	B	1	N	2500	0	40	26	55	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12146212	
18	1	B	1	N	2500	0	40	33	47	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12146336	
19	1	B	1	N	2500	0	40	44	79	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	12146508	
20	1	B	1	N	2500	0	40	497	1543	85	31	28	0	0	0	0	0	0	0	0	0	0	0	0	12146586	
21	1	B	1	N	2500	0	40	35	53	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12146633	
22	1	B	1	N	2500	0	40	471	1185	54	19	15	0	0	0	0	0	0	0	0	0	0	0	0	12146726	
23	1	B	1	N	2500	0	40	27	35	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12146976	
24	1	B	1	N	2500	0	40	46	95	14	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12147070	
25	1	B	1	N	2500	0	40	22	32	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12147647	
26	1	B	1	N	2500	0	40	28	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12147647	
27	1	B	1	N	2500	0	40	21	24	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	12147787	
28	1	B	1	N	2500	0	40	38	62	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	12147834	
29	1	B	1	N	2500	0	40	38	58	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12147834	
30	1	B	1	N	2500	0	40	39	67	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12148224	
31	1	B	1	N	2500	0	40	666	1494	58	23	24	0	0	0	0	0	0	0	0	0	0	0	0	12148474	
32	1	B	1	N	2500	0	40	549	2000	95	39	29	0	0	0	0	0	0	0	0	0	0	0	0	12148614	
33	1	B	1	N	2500	0	40	538	1627	76	32	27	0	0	0	0	0	0	0	0	0	0	0	0	12148630	
34	1	B	1	N	2500	0	40	68	72	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12149176	
