Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	248	646	25	8	8	0	0	0	0	0	0	0	0	0	0	0	0	13780611	
1	1	A	1	N	2500	0	40	68	119	8	5	7	0	0	0	0	0	0	0	0	0	0	0	0	13781126	
2	1	A	1	N	2500	0	40	30	53	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13782483	
3	1	A	1	N	2500	0	40	35	93	8	7	5	0	0	0	0	0	0	0	0	0	0	0	0	13782686	
4	1	A	1	N	2500	0	40	32	73	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13782873	
5	1	A	1	N	2500	0	40	259	441	14	6	5	0	0	0	0	0	0	0	0	0	0	0	0	13782889	
6	1	A	1	N	2500	0	40	24	26	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13783013	
7	1	A	1	N	2500	0	40	25	24	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13783045	
8	1	A	1	N	2500	0	40	312	507	15	8	8	0	0	0	0	0	0	0	0	0	0	0	0	13783045	
9	1	A	1	N	2500	0	40	191	278	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	13783060	
10	1	A	1	N	2500	0	40	317	668	23	12	10	0	0	0	0	0	0	0	0	0	0	0	0	13783965	
11	1	A	1	N	2500	0	40	294	551	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	13784027	
12	1	A	1	N	2500	0	40	30	45	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	13784105	
13	1	A	1	N	2500	0	40	281	601	18	6	6	0	0	0	0	0	0	0	0	0	0	0	0	13784152	
14	1	A	1	N	2500	0	40	23	24	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13784698	
15	1	A	1	N	2500	0	40	22	28	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13784729	
16	1	A	1	N	2500	0	40	351	790	27	11	10	0	0	0	0	0	0	0	0	0	0	0	0	13784792	
17	1	A	1	N	2500	0	40	26	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13784807	
18	1	A	1	N	2500	0	40	27	39	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13785135	
19	1	A	1	N	2500	0	40	56	169	13	15	16	0	0	0	0	0	0	0	0	0	0	0	0	13785478	
20	1	A	1	N	2500	0	40	172	246	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13785587	
21	1	A	1	N	2500	0	40	33	58	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13785806	
22	1	A	1	N	2500	0	40	288	543	22	6	5	0	0	0	0	0	0	0	0	0	0	0	0	13786617	
23	1	A	1	N	2500	0	40	290	551	16	9	6	0	0	0	0	0	0	0	0	0	0	0	0	13786633	
24	1	A	1	N	2500	0	40	265	511	15	6	4	0	0	0	0	0	0	0	0	0	0	0	0	13786648	
25	1	A	1	N	2500	0	40	35	82	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	13786804	
26	1	A	1	N	2500	0	40	27	41	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13786991	
27	1	B	1	N	2500	0	40	69	196	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13795228	
28	1	B	1	N	2500	0	40	26	57	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13795259	
29	1	B	1	N	2500	0	40	31	50	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13795478	
30	1	B	1	N	2500	0	40	323	597	17	7	7	0	0	0	0	0	0	0	0	0	0	0	0	13795790	
31	1	B	1	N	2500	0	40	177	619	20	10	9	0	0	0	0	0	0	0	0	0	0	0	0	13796227	
32	1	B	1	N	2500	0	40	254	437	10	4	4	0	0	0	0	0	0	0	0	0	0	0	0	13797412	
33	1	B	1	N	2500	0	40	24	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13797833	
34	1	B	1	N	2500	0	40	37	52	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13797833	
35	1	B	1	N	2500	0	40	32	33	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13798223	
36	1	B	1	N	2500	0	40	32	63	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13798286	
37	1	B	1	N	2500	0	40	166	453	24	21	22	0	0	0	0	0	0	0	0	0	0	0	0	13798691	
38	1	B	1	N	2500	0	40	190	223	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	13798847	
39	1	B	1	N	2500	0	40	21	31	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13798847	
40	1	B	1	N	2500	0	40	34	62	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	13799471	
41	1	B	1	N	2500	0	40	33	80	6	6	7	0	0	0	0	0	0	0	0	0	0	0	0	13799534	
42	1	B	1	N	2500	0	40	37	85	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	13799596	
43	1	B	1	N	2500	0	40	309	544	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	13799659	
