Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	377	898	44	15	13	0	0	0	0	0	0	0	0	0	0	0	0	3027429	
1	1	A	1	N	2500	0	40	29	49	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3028334	
2	1	A	1	N	2500	0	40	40	36	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3029082	
3	1	A	1	N	2500	0	40	23	34	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3029160	
4	1	A	1	N	2500	0	40	401	1048	57	22	17	0	0	0	0	0	0	0	0	0	0	0	0	3029784	
5	1	A	1	N	2500	0	40	386	1151	63	25	20	0	0	0	0	0	0	0	0	0	0	0	0	3029816	
6	1	A	1	N	2500	0	40	423	1553	98	39	27	0	0	0	0	0	0	0	0	0	0	0	0	3030783	
7	1	A	1	N	2500	0	40	261	1382	83	37	24	0	0	0	0	0	0	0	0	0	0	0	0	3031142	
8	1	A	1	N	2500	0	40	421	1550	77	40	31	0	0	0	0	0	0	0	0	0	0	0	0	3031438	
9	1	A	1	N	2500	0	40	299	1279	84	35	26	0	0	0	0	0	0	0	0	0	0	0	0	3031469	
10	1	A	1	N	2500	0	40	410	1252	80	26	21	0	0	0	0	0	0	0	0	0	0	0	0	3031485	
11	1	A	1	N	2500	0	40	424	1165	69	23	23	0	0	0	0	0	0	0	0	0	0	0	0	3031532	
12	1	A	1	N	2500	0	40	498	1557	86	29	25	0	0	0	0	0	0	0	0	0	0	0	0	3031656	
13	1	A	1	N	2500	0	40	424	1393	89	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3031719	
14	1	A	1	N	2500	0	40	210	514	23	9	6	0	0	0	0	0	0	0	0	0	0	0	0	3031719	
15	1	A	1	N	2500	0	40	427	1816	121	47	32	0	0	0	0	0	0	0	0	0	0	0	0	3031750	
16	1	A	1	N	2500	0	40	400	1236	108	31	24	0	0	0	0	0	0	0	0	0	0	0	0	3032296	
17	1	A	1	N	2500	0	40	343	1447	103	45	30	0	0	0	0	0	0	0	0	0	0	0	0	3032358	
18	1	A	1	N	2500	0	40	355	1492	93	36	26	0	0	0	0	0	0	0	0	0	0	0	0	3032374	
19	1	A	1	N	2500	0	40	22	28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3032530	
20	1	A	1	N	2500	0	40	426	1207	65	24	21	0	0	0	0	0	0	0	0	0	0	0	0	3032717	
