Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	209	293	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6851994	
1	1	A	1	N	2500	0	40	21	24	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6852119	
2	1	A	1	N	2500	0	40	220	652	20	11	8	0	0	0	0	0	0	0	0	0	0	0	0	6852181	
3	1	A	1	N	2500	0	40	291	540	21	8	6	0	0	0	0	0	0	0	0	0	0	0	0	6852680	
4	1	A	1	N	2500	0	40	624	1522	42	21	17	0	0	0	0	0	0	0	0	0	0	0	0	6852696	
5	1	A	1	N	2500	0	40	187	263	8	2	4	0	0	0	0	0	0	0	0	0	0	0	0	6853289	
6	1	A	1	N	2500	0	40	466	1097	60	21	15	0	0	0	0	0	0	0	0	0	0	0	0	6853616	
7	1	A	1	N	2500	0	40	26	42	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6853679	
8	1	A	1	N	2500	0	40	290	552	23	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6853928	
9	1	A	1	N	2500	0	40	26	26	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6854116	
10	1	A	1	N	2500	0	40	318	633	22	11	9	0	0	0	0	0	0	0	0	0	0	0	0	6854365	
11	1	A	1	N	2500	0	40	396	922	35	14	12	0	0	0	0	0	0	0	0	0	0	0	0	6854506	
12	1	A	1	N	2500	0	40	334	666	22	9	8	0	0	0	0	0	0	0	0	0	0	0	0	6854724	
13	1	A	1	N	2500	0	40	271	467	16	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6854724	
14	1	A	1	N	2500	0	40	216	392	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	6855020	
15	1	A	1	N	2500	0	40	441	721	26	14	11	0	0	0	0	0	0	0	0	0	0	0	0	6855067	
16	1	A	1	N	2500	0	40	275	495	16	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6855395	
17	1	A	1	N	2500	0	40	29	54	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6855707	
18	1	A	1	N	2500	0	40	279	523	15	8	8	0	0	0	0	0	0	0	0	0	0	0	0	6856128	
19	1	A	1	N	2500	0	40	243	388	10	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6856471	
20	1	A	1	N	2500	0	40	33	69	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	6856783	
21	1	A	1	N	2500	0	40	193	569	21	8	6	0	0	0	0	0	0	0	0	0	0	0	0	6856783	
22	1	A	1	N	2500	0	40	280	479	16	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6856861	
23	1	A	1	N	2500	0	40	324	455	23	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6856861	
24	1	A	1	N	2500	0	40	289	474	25	8	6	0	0	0	0	0	0	0	0	0	0	0	0	6856924	
25	1	A	1	N	2500	0	40	240	394	11	3	6	0	0	0	0	0	0	0	0	0	0	0	0	6857080	
26	1	A	1	N	2500	0	40	297	597	22	9	8	0	0	0	0	0	0	0	0	0	0	0	0	6857142	
27	1	A	1	N	2500	0	40	22	32	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	6857392	
28	1	A	1	N	2500	0	40	26	47	12	13	12	0	0	0	0	0	0	0	0	0	0	0	0	6857392	
29	1	A	1	N	2500	0	40	27	47	7	8	6	0	0	0	0	0	0	0	0	0	0	0	0	6857470	
30	1	A	1	N	2500	0	40	24	39	8	9	7	0	0	0	0	0	0	0	0	0	0	0	0	6857719	
31	1	A	1	N	2500	0	40	31	68	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6858016	
32	1	A	1	N	2500	0	40	176	437	14	6	4	0	0	0	0	0	0	0	0	0	0	0	0	6858078	
33	1	A	1	N	2500	0	40	30	74	18	17	14	0	0	0	0	0	0	0	0	0	0	0	0	6858608	
34	1	A	1	N	2500	0	40	310	466	17	6	8	0	0	0	0	0	0	0	0	0	0	0	0	6858655	
35	1	A	1	N	2500	0	40	22	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6858827	
36	1	A	1	N	2500	0	40	101	181	9	6	4	0	0	0	0	0	0	0	0	0	0	0	0	6858920	
37	1	A	2	N	2500	0	40	122	219	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	6866533	
38	1	A	2	N	2500	0	40	243	359	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	6866549	
39	1	A	2	N	2500	0	40	25	25	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6867017	
40	1	A	2	N	2500	0	40	53	135	18	12	15	0	0	0	0	0	0	0	0	0	0	0	0	6867469	
41	1	A	2	N	2500	0	40	305	603	26	10	9	0	0	0	0	0	0	0	0	0	0	0	0	6867734	
42	1	A	2	N	2500	0	40	26	65	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	6867797	
43	1	A	2	N	2500	0	40	283	497	16	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6867937	
44	1	A	2	N	2500	0	40	113	318	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6868015	
45	1	A	2	N	2500	0	40	43	92	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6868374	
46	1	A	2	N	2500	0	40	389	862	39	15	11	0	0	0	0	0	0	0	0	0	0	0	0	6868499	
47	1	A	2	N	2500	0	40	384	673	29	13	11	0	0	0	0	0	0	0	0	0	0	0	0	6868748	
48	1	A	2	N	2500	0	40	204	351	13	6	5	0	0	0	0	0	0	0	0	0	0	0	0	6869029	
49	1	A	2	N	2500	0	40	22	26	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6869123	
50	1	A	2	N	2500	0	40	287	554	19	9	7	0	0	0	0	0	0	0	0	0	0	0	0	6869201	
51	1	A	2	N	2500	0	40	225	763	36	15	11	0	0	0	0	0	0	0	0	0	0	0	0	6869326	
52	1	A	2	N	2500	0	40	22	45	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6869825	
53	1	A	2	N	2500	0	40	194	396	11	5	5	0	0	0	0	0	0	0	0	0	0	0	0	6869934	
54	1	A	2	N	2500	0	40	206	680	31	12	10	0	0	0	0	0	0	0	0	0	0	0	0	6870152	
55	1	A	2	N	2500	0	40	198	279	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	6870277	
56	1	A	2	N	2500	0	40	245	373	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	6870277	
57	1	A	2	N	2500	0	40	232	338	9	4	6	0	0	0	0	0	0	0	0	0	0	0	0	6870480	
58	1	A	2	N	2500	0	40	22	44	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6870667	
59	1	A	2	N	2500	0	40	333	783	48	14	11	0	0	0	0	0	0	0	0	0	0	0	0	6871135	
60	1	A	2	N	2500	0	40	47	49	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6871291	
61	1	A	2	N	2500	0	40	33	62	7	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6871494	
62	1	A	2	N	2500	0	40	269	509	15	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6871510	
63	1	A	2	N	2500	0	40	46	94	9	8	9	0	0	0	0	0	0	0	0	0	0	0	0	6871822	
64	1	A	2	N	2500	0	40	376	712	27	10	9	0	0	0	0	0	0	0	0	0	0	0	0	6872118	
65	1	A	2	N	2500	0	40	50	53	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6872180	
66	1	A	2	N	2500	0	40	185	410	14	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6872180	
67	1	A	2	N	2500	0	40	21	27	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	6872227	
68	1	A	2	N	2500	0	40	24	40	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6872383	
69	1	A	2	N	2500	0	40	281	541	19	8	9	0	0	0	0	0	0	0	0	0	0	0	0	6872711	
70	1	A	3	N	2500	0	40	58	61	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	6881010	
71	1	A	3	N	2500	0	40	139	385	13	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6881057	
72	1	A	3	N	2500	0	40	25	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6881634	
73	1	A	3	N	2500	0	40	259	435	14	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6882180	
74	1	A	3	N	2500	0	40	20	35	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	6882305	
75	1	A	3	N	2500	0	40	22	47	15	17	16	0	0	0	0	0	0	0	0	0	0	0	0	6882336	
76	1	A	3	N	2500	0	40	314	570	18	8	5	0	0	0	0	0	0	0	0	0	0	0	0	6883506	
77	1	A	3	N	2500	0	40	56	90	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6884192	
78	1	A	3	N	2500	0	40	205	343	12	3	4	0	0	0	0	0	0	0	0	0	0	0	0	6884380	
79	1	A	3	N	2500	0	40	22	37	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6884411	
80	1	A	3	N	2500	0	40	281	563	19	8	10	0	0	0	0	0	0	0	0	0	0	0	0	6884536	
81	1	A	3	N	2500	0	40	154	245	12	6	5	0	0	0	0	0	0	0	0	0	0	0	0	6884582	
82	1	A	3	N	2500	0	40	335	622	27	12	9	0	0	0	0	0	0	0	0	0	0	0	0	6885019	
83	1	A	3	N	2500	0	40	28	61	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6885253	
84	1	A	3	N	2500	0	40	30	47	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6885784	
85	1	A	3	N	2500	0	40	286	533	19	9	8	0	0	0	0	0	0	0	0	0	0	0	0	6885862	
86	1	A	3	N	2500	0	40	259	477	16	6	5	0	0	0	0	0	0	0	0	0	0	0	0	6885924	
87	1	A	3	N	2500	0	40	260	466	14	5	5	0	0	0	0	0	0	0	0	0	0	0	0	6886096	
88	1	A	3	N	2500	0	40	279	513	18	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6886283	
89	1	A	3	N	2500	0	40	313	654	22	9	8	0	0	0	0	0	0	0	0	0	0	0	0	6886673	
90	1	A	3	N	2500	0	40	92	353	60	44	44	0	0	0	0	0	0	0	0	0	0	0	0	6887063	
91	1	A	3	N	2500	0	40	446	1086	60	23	15	0	0	0	0	0	0	0	0	0	0	0	0	6887172	
92	1	A	3	N	2500	0	40	311	583	21	9	7	0	0	0	0	0	0	0	0	0	0	0	0	6887453	
93	1	A	3	N	2500	0	40	223	341	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	6887500	
