Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	556	1670	104	43	33	0	0	0	0	0	0	0	0	0	0	0	0	4301873	
1	1	A	1	N	2500	0	40	415	1335	71	27	24	0	0	0	0	0	0	0	0	0	0	0	0	4302216	
2	1	A	1	N	2500	0	40	413	1210	69	23	21	0	0	0	0	0	0	0	0	0	0	0	0	4302294	
3	1	A	1	N	2500	0	40	20	23	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4302481	
4	1	A	1	N	2500	0	40	55	96	7	6	7	0	0	0	0	0	0	0	0	0	0	0	0	4302653	
5	1	A	1	N	2500	0	40	22	41	8	9	9	0	0	0	0	0	0	0	0	0	0	0	0	4303137	
6	1	A	1	N	2500	0	40	425	1299	81	29	23	0	0	0	0	0	0	0	0	0	0	0	0	4303277	
7	1	A	1	N	2500	0	40	515	1500	104	33	25	0	0	0	0	0	0	0	0	0	0	0	0	4303293	
8	1	A	1	N	2500	0	40	46	46	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4303386	
9	1	A	1	N	2500	0	40	21	18	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4303386	
10	1	A	1	N	2500	0	40	482	1531	71	32	30	0	0	0	0	0	0	0	0	0	0	0	0	4303386	
11	1	A	1	N	2500	0	40	432	1415	93	31	23	0	0	0	0	0	0	0	0	0	0	0	0	4303495	
12	1	A	1	N	2500	0	40	417	1268	71	26	22	0	0	0	0	0	0	0	0	0	0	0	0	4303511	
13	1	A	1	N	2500	0	40	275	1432	75	35	26	0	0	0	0	0	0	0	0	0	0	0	0	4303542	
14	1	A	1	N	2500	0	40	450	1644	108	38	26	0	0	0	0	0	0	0	0	0	0	0	0	4303667	
15	1	A	1	N	2500	0	40	675	1882	102	38	34	0	0	0	0	0	0	0	0	0	0	0	0	4303745	
16	1	A	1	N	2500	0	40	425	1341	72	30	22	0	0	0	0	0	0	0	0	0	0	0	0	4303932	
17	1	A	1	N	2500	0	40	563	1588	129	40	30	0	0	0	0	0	0	0	0	0	0	0	0	4304010	
18	1	A	1	N	2500	0	40	432	1444	93	32	25	0	0	0	0	0	0	0	0	0	0	0	0	4304260	
19	1	A	1	N	2500	0	40	396	1268	70	26	22	0	0	0	0	0	0	0	0	0	0	0	0	4304275	
20	1	A	1	N	2500	0	40	335	1424	83	39	30	0	0	0	0	0	0	0	0	0	0	0	0	4304353	
21	1	A	1	N	2500	0	40	344	1411	86	30	22	0	0	0	0	0	0	0	0	0	0	0	0	4304650	
22	1	A	1	N	2500	0	40	440	1440	89	30	23	0	0	0	0	0	0	0	0	0	0	0	0	4304712	
23	1	A	1	N	2500	0	40	429	1422	91	31	24	0	0	0	0	0	0	0	0	0	0	0	0	4305165	
24	1	A	1	N	2500	0	40	440	1457	70	36	25	0	0	0	0	0	0	0	0	0	0	0	0	4305336	
25	1	A	1	N	2500	0	40	406	1468	89	47	35	0	0	0	0	0	0	0	0	0	0	0	0	4305352	
26	1	A	1	N	2500	0	40	286	1524	82	37	30	0	0	0	0	0	0	0	0	0	0	0	0	4305367	
27	1	A	1	N	2500	0	40	421	1301	75	26	20	0	0	0	0	0	0	0	0	0	0	0	0	4305601	
28	1	A	1	N	2500	0	40	24	37	6	8	9	0	0	0	0	0	0	0	0	0	0	0	0	4305726	
29	1	A	1	N	2500	0	40	24	21	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4305757	
30	1	A	1	N	2500	0	40	33	55	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4305945	
31	1	A	1	N	2500	0	40	551	1739	114	42	30	0	0	0	0	0	0	0	0	0	0	0	0	4305960	
32	1	A	1	N	2500	0	40	392	914	42	15	13	0	0	0	0	0	0	0	0	0	0	0	0	4306225	
33	1	A	1	N	2500	0	40	617	1609	125	40	31	0	0	0	0	0	0	0	0	0	0	0	0	4306397	
