Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	262	486	16	6	5	0	0	0	0	0	0	0	0	0	0	0	0	8139761	
1	1	A	1	N	2500	0	40	275	492	15	7	5	0	0	0	0	0	0	0	0	0	0	0	0	8140541	
2	1	A	1	N	2500	0	40	226	373	12	4	7	0	0	0	0	0	0	0	0	0	0	0	0	8140775	
3	1	A	1	N	2500	0	40	246	425	14	6	6	0	0	0	0	0	0	0	0	0	0	0	0	8140915	
4	1	A	1	N	2500	0	40	22	35	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	8141040	
5	1	A	1	N	2500	0	40	197	300	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8141243	
6	1	A	1	N	2500	0	40	307	688	22	11	9	0	0	0	0	0	0	0	0	0	0	0	0	8141243	
7	1	A	1	N	2500	0	40	24	40	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	8141430	
8	1	A	1	N	2500	0	40	278	571	19	8	9	0	0	0	0	0	0	0	0	0	0	0	0	8141711	
9	1	A	1	N	2500	0	40	27	26	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8141835	
10	1	A	1	N	2500	0	40	343	729	24	11	8	0	0	0	0	0	0	0	0	0	0	0	0	8141882	
11	1	A	1	N	2500	0	40	355	762	27	12	10	0	0	0	0	0	0	0	0	0	0	0	0	8141945	
12	1	A	1	N	2500	0	40	20	33	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8141945	
13	1	A	1	N	2500	0	40	350	748	31	13	11	0	0	0	0	0	0	0	0	0	0	0	0	8141976	
14	1	A	1	N	2500	0	40	56	57	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8141991	
15	1	A	1	N	2500	0	40	44	90	6	5	7	0	0	0	0	0	0	0	0	0	0	0	0	8142194	
16	1	A	1	N	2500	0	40	104	250	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8142288	
17	1	A	1	N	2500	0	40	289	597	24	10	7	0	0	0	0	0	0	0	0	0	0	0	0	8142381	
18	1	A	1	N	2500	0	40	331	721	26	9	10	0	0	0	0	0	0	0	0	0	0	0	0	8142397	
19	1	A	1	N	2500	0	40	314	765	27	13	10	0	0	0	0	0	0	0	0	0	0	0	0	8142662	
