Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	28	56	13	11	8	0	0	0	0	0	0	0	0	0	0	0	0	3115148	
1	1	A	1	N	2500	0	40	28	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3116443	
2	1	A	1	N	2500	0	40	76	143	20	8	5	0	0	0	0	0	0	0	0	0	0	0	0	3117035	
3	1	A	1	N	2500	0	40	354	1319	87	33	26	0	0	0	0	0	0	0	0	0	0	0	0	3117535	
4	1	A	1	N	2500	0	40	86	107	13	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3117659	
5	1	A	1	N	2500	0	40	474	1448	98	39	31	0	0	0	0	0	0	0	0	0	0	0	0	3117956	
6	1	A	1	N	2500	0	40	258	1200	72	41	32	0	0	0	0	0	0	0	0	0	0	0	0	3118190	
7	1	A	1	N	2500	0	40	29	40	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3119157	
8	1	A	1	N	2500	0	40	454	1466	92	35	26	0	0	0	0	0	0	0	0	0	0	0	0	3119563	
9	1	A	1	N	2500	0	40	551	1736	95	30	24	0	0	0	0	0	0	0	0	0	0	0	0	3119594	
10	1	A	1	N	2500	0	40	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119594	
11	1	A	1	N	2500	0	40	532	521	6	6	10	0	0	0	0	0	0	0	0	0	0	0	0	3119594	
12	1	A	1	N	2500	0	40	44	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119594	
13	1	A	1	N	2500	0	40	23	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119594	
14	1	A	1	N	2500	0	40	433	1331	77	28	24	0	0	0	0	0	0	0	0	0	0	0	0	3119968	
15	1	A	1	N	2500	0	40	24	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3120031	
16	1	A	1	N	2500	0	40	412	1240	72	26	20	0	0	0	0	0	0	0	0	0	0	0	0	3120436	
17	1	A	1	N	2500	0	40	25	31	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3120608	
18	1	A	1	N	2500	0	40	29	29	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3121138	
19	1	A	1	N	2500	0	40	54	133	8	10	9	0	0	0	0	0	0	0	0	0	0	0	0	3121325	
20	1	B	1	N	2500	0	40	449	1443	87	37	29	0	0	0	0	0	0	0	0	0	0	0	0	3128845	
21	1	B	1	N	2500	0	40	496	1699	129	43	29	0	0	0	0	0	0	0	0	0	0	0	0	3129032	
22	1	B	1	N	2500	0	40	43	84	4	5	7	0	0	0	0	0	0	0	0	0	0	0	0	3130561	
23	1	B	1	N	2500	0	40	30	52	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3130607	
24	1	B	1	N	2500	0	40	30	27	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3131091	
25	1	B	1	N	2500	0	40	56	200	16	13	15	0	0	0	0	0	0	0	0	0	0	0	0	3131715	
26	1	B	1	N	2500	0	40	139	253	31	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3132089	
27	1	B	1	N	2500	0	40	478	1570	89	36	30	0	0	0	0	0	0	0	0	0	0	0	0	3132448	
28	1	B	1	N	2500	0	40	597	538	7	7	9	0	0	0	0	0	0	0	0	0	0	0	0	3132448	
29	1	B	1	N	2500	0	40	79	64	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3132448	
30	1	B	1	N	2500	0	40	510	1835	105	41	31	0	0	0	0	0	0	0	0	0	0	0	0	3133103	
31	1	B	1	N	2500	0	40	346	1594	113	46	35	0	0	0	0	0	0	0	0	0	0	0	0	3133556	
32	1	B	1	N	2500	0	40	75	63	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3133556	
33	1	B	1	N	2500	0	40	28	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3133603	
34	1	B	1	N	2500	0	40	36	36	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3134835	
35	1	B	1	N	2500	0	40	58	150	12	9	12	0	0	0	0	0	0	0	0	0	0	0	0	3134866	
36	1	B	1	N	2500	0	40	33	28	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3134991	
37	1	B	1	N	2500	0	40	38	32	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3135038	
38	1	B	1	N	2500	0	40	56	88	11	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3135303	
39	1	B	1	N	2500	0	40	112	690	87	85	100	0	0	0	0	0	0	0	0	0	0	0	0	3136114	
40	1	C	1	N	2500	0	40	40	79	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3143431	
41	1	C	1	N	2500	0	40	36	92	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3144351	
42	1	C	1	N	2500	0	40	22	21	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3144445	
43	1	C	1	N	2500	0	40	36	51	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3144460	
44	1	C	1	N	2500	0	40	58	126	10	11	11	0	0	0	0	0	0	0	0	0	0	0	0	3144476	
45	1	C	1	N	2500	0	40	26	30	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3146207	
46	1	C	1	N	2500	0	40	40	83	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	3146395	
47	1	C	1	N	2500	0	40	22	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3146800	
48	1	C	1	N	2500	0	40	21	34	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3146847	
49	1	C	1	N	2500	0	40	507	1754	96	39	28	0	0	0	0	0	0	0	0	0	0	0	0	3147050	
50	1	C	1	N	2500	0	40	69	134	14	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3147081	
51	1	C	1	N	2500	0	40	20	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3147268	
52	1	C	1	N	2500	0	40	73	159	34	5	3	0	0	0	0	0	0	0	0	0	0	0	0	3147487	
