Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	402	1486	89	34	27	0	0	0	0	0	0	0	0	0	0	0	0	4574271	
1	1	A	1	N	2500	0	40	556	1542	85	35	26	0	0	0	0	0	0	0	0	0	0	0	0	4574271	
2	1	A	1	N	2500	0	40	22	39	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4574334	
3	1	A	1	N	2500	0	40	376	1084	59	23	21	0	0	0	0	0	0	0	0	0	0	0	0	4574646	
4	1	A	1	N	2500	0	40	38	41	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4574724	
5	1	A	1	N	2500	0	40	26	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4574895	
6	1	A	1	N	2500	0	40	34	38	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4575597	
7	1	A	1	N	2500	0	40	398	1228	86	30	27	0	0	0	0	0	0	0	0	0	0	0	0	4575597	
8	1	A	1	N	2500	0	40	26	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4575628	
9	1	A	1	N	2500	0	40	41	79	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	4575722	
10	1	A	1	N	2500	0	40	49	189	12	11	11	0	0	0	0	0	0	0	0	0	0	0	0	4575972	
11	1	A	1	N	2500	0	40	412	1301	66	31	23	0	0	0	0	0	0	0	0	0	0	0	0	4576284	
12	1	A	1	N	2500	0	40	30	42	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4576346	
13	1	A	1	N	2500	0	40	436	1212	62	26	19	0	0	0	0	0	0	0	0	0	0	0	0	4576424	
14	1	A	1	N	2500	0	40	35	54	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4577485	
15	1	A	1	N	2500	0	40	58	141	13	4	3	0	0	0	0	0	0	0	0	0	0	0	0	4577641	
16	1	A	1	N	2500	0	40	385	1359	89	34	25	0	0	0	0	0	0	0	0	0	0	0	0	4577844	
17	1	A	1	N	2500	0	40	386	1139	58	23	19	0	0	0	0	0	0	0	0	0	0	0	0	4578000	
18	1	A	1	N	2500	0	40	386	1286	81	32	26	0	0	0	0	0	0	0	0	0	0	0	0	4578343	
