Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	24	22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9004453	
1	1	A	1	N	2500	0	40	39	47	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9004563	
2	1	A	1	N	2500	0	40	282	758	31	13	9	0	0	0	0	0	0	0	0	0	0	0	0	9004843	
3	1	A	1	N	2500	0	40	80	276	20	15	16	0	0	0	0	0	0	0	0	0	0	0	0	9005187	
4	1	A	1	N	2500	0	40	281	533	18	7	9	0	0	0	0	0	0	0	0	0	0	0	0	9006934	
5	1	A	1	N	2500	0	40	27	22	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9007573	
6	1	A	1	N	2500	0	40	27	26	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9007698	
7	1	A	1	N	2500	0	40	230	298	10	4	3	0	0	0	0	0	0	0	0	0	0	0	0	9007995	
8	1	A	1	N	2500	0	40	282	472	23	7	9	0	0	0	0	0	0	0	0	0	0	0	0	9008541	
9	1	A	1	N	2500	0	40	144	366	12	5	5	0	0	0	0	0	0	0	0	0	0	0	0	9009149	
10	1	A	1	N	2500	0	40	201	368	12	5	6	0	0	0	0	0	0	0	0	0	0	0	0	9009711	
11	1	A	1	N	2500	0	40	203	287	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	9010163	
12	1	A	1	N	2500	0	40	388	974	48	19	11	0	0	0	0	0	0	0	0	0	0	0	0	9010849	
13	1	A	1	N	2500	0	40	130	309	11	4	3	0	0	0	0	0	0	0	0	0	0	0	0	9010943	
14	1	A	1	N	2500	0	40	135	200	9	7	6	0	0	0	0	0	0	0	0	0	0	0	0	9011146	
15	1	A	1	N	2500	0	40	127	289	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	9011224	
16	1	A	1	N	2500	0	40	186	273	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	9011676	
17	1	B	1	N	2500	0	40	97	684	78	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9019336	
18	1	B	1	N	2500	0	40	168	482	18	10	9	0	0	0	0	0	0	0	0	0	0	0	0	9021036	
19	1	B	1	N	2500	0	40	575	1369	93	34	22	0	0	0	0	0	0	0	0	0	0	0	0	9022237	
20	1	B	1	N	2500	0	40	60	139	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	9022737	
21	1	B	1	N	2500	0	40	214	478	24	13	12	0	0	0	0	0	0	0	0	0	0	0	0	9022783	
22	1	B	1	N	2500	0	40	199	273	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	9022955	
23	1	B	1	N	2500	0	40	245	398	12	6	6	0	0	0	0	0	0	0	0	0	0	0	0	9023236	
24	1	B	1	N	2500	0	40	21	31	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9023283	
25	1	B	1	N	2500	0	40	26	52	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9023283	
26	1	B	1	N	2500	0	40	185	333	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	9023517	
27	1	B	1	N	2500	0	40	28	42	17	19	17	0	0	0	0	0	0	0	0	0	0	0	0	9023953	
28	1	B	1	N	2500	0	40	271	481	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	9024187	
29	1	B	1	N	2500	0	40	61	68	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9024203	
30	1	B	1	N	2500	0	40	276	468	14	7	8	0	0	0	0	0	0	0	0	0	0	0	0	9024453	
31	1	B	1	N	2500	0	40	25	38	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	9025170	
32	1	B	1	N	2500	0	40	20	23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9025326	
33	1	B	1	N	2500	0	40	55	142	13	11	12	0	0	0	0	0	0	0	0	0	0	0	0	9025498	
34	1	B	1	N	2500	0	40	227	354	8	4	5	0	0	0	0	0	0	0	0	0	0	0	0	9025654	
35	1	B	1	N	2500	0	40	162	297	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	9025685	
36	1	B	1	N	2500	0	40	193	537	21	9	6	0	0	0	0	0	0	0	0	0	0	0	0	9025763	
37	1	B	1	N	2500	0	40	168	565	19	10	8	0	0	0	0	0	0	0	0	0	0	0	0	9025935	
38	1	B	1	N	2500	0	40	24	35	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9025950	
39	1	B	1	N	2500	0	40	42	60	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	9026122	
40	1	B	1	N	2500	0	40	98	288	21	14	14	0	0	0	0	0	0	0	0	0	0	0	0	9026574	
41	1	C	1	N	2500	0	40	74	132	9	7	7	0	0	0	0	0	0	0	0	0	0	0	0	9034639	
42	1	C	1	N	2500	0	40	211	538	24	12	9	0	0	0	0	0	0	0	0	0	0	0	0	9035107	
43	1	C	1	N	2500	0	40	257	482	18	8	8	0	0	0	0	0	0	0	0	0	0	0	0	9035232	
44	1	C	1	N	2500	0	40	56	86	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	9035575	
45	1	C	1	N	2500	0	40	282	551	22	9	7	0	0	0	0	0	0	0	0	0	0	0	0	9036636	
46	1	C	1	N	2500	0	40	157	182	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	9036714	
47	1	C	1	N	2500	0	40	240	328	13	5	5	0	0	0	0	0	0	0	0	0	0	0	0	9036777	
48	1	C	1	N	2500	0	40	315	671	22	11	7	0	0	0	0	0	0	0	0	0	0	0	0	9037120	
49	1	C	1	N	2500	0	40	400	712	39	14	14	0	0	0	0	0	0	0	0	0	0	0	0	9037385	
50	1	C	1	N	2500	0	40	220	304	8	5	5	0	0	0	0	0	0	0	0	0	0	0	0	9037962	
51	1	C	1	N	2500	0	40	34	67	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	9038305	
52	1	C	1	N	2500	0	40	252	406	16	5	4	0	0	0	0	0	0	0	0	0	0	0	0	9038805	
53	1	C	1	N	2500	0	40	206	289	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	9039257	
54	1	C	1	N	2500	0	40	26	37	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9039351	
55	1	C	1	N	2500	0	40	260	422	15	5	4	0	0	0	0	0	0	0	0	0	0	0	0	9039522	
56	1	C	1	N	2500	0	40	101	305	43	38	37	0	0	0	0	0	0	0	0	0	0	0	0	9039553	
57	1	C	1	N	2500	0	40	34	36	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9040255	
58	1	C	1	N	2500	0	40	90	209	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	9041051	
