Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	386	1162	66	25	19	0	0	0	0	0	0	0	0	0	0	0	0	3043987	
1	1	A	1	N	2500	0	40	407	1514	101	35	26	0	0	0	0	0	0	0	0	0	0	0	0	3044112	
2	1	A	1	N	2500	0	40	334	1275	82	33	23	0	0	0	0	0	0	0	0	0	0	0	0	3044471	
3	1	A	1	N	2500	0	40	38	39	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3044642	
4	1	A	1	N	2500	0	40	322	1095	76	34	25	0	0	0	0	0	0	0	0	0	0	0	0	3044642	
5	1	A	1	N	2500	0	40	28	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3045703	
6	1	A	1	N	2500	0	40	545	1669	112	36	33	0	0	0	0	0	0	0	0	0	0	0	0	3045703	
7	1	A	1	N	2500	0	40	128	110	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3045703	
8	1	A	1	N	2500	0	40	235	202	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3045703	
9	1	A	1	N	2500	0	40	114	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3045703	
10	1	A	1	N	2500	0	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3045703	
11	1	A	1	N	2500	0	40	428	1455	79	31	23	0	0	0	0	0	0	0	0	0	0	0	0	3045750	
12	1	A	1	N	2500	0	40	23	44	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3046733	
13	1	A	1	N	2500	0	40	282	1569	82	42	37	0	0	0	0	0	0	0	0	0	0	0	0	3047216	
14	1	A	1	N	2500	0	40	404	1258	81	26	20	0	0	0	0	0	0	0	0	0	0	0	0	3047484	
15	1	A	1	N	2500	0	40	473	1548	85	34	27	0	0	0	0	0	0	0	0	0	0	0	0	3047577	
16	1	A	1	N	2500	0	40	322	1155	90	32	28	0	0	0	0	0	0	0	0	0	0	0	0	3047655	
17	1	A	1	N	2500	0	40	392	1048	54	18	14	0	0	0	0	0	0	0	0	0	0	0	0	3047733	
18	1	A	1	N	2500	0	40	389	1215	71	26	21	0	0	0	0	0	0	0	0	0	0	0	0	3047920	
19	1	A	1	N	2500	0	40	280	1252	63	30	25	0	0	0	0	0	0	0	0	0	0	0	0	3048170	
20	1	A	1	N	2500	0	40	428	1398	76	29	22	0	0	0	0	0	0	0	0	0	0	0	0	3048248	
21	1	A	1	N	2500	0	40	668	1496	125	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3048342	
22	1	A	1	N	2500	0	40	451	1377	92	30	20	0	0	0	0	0	0	0	0	0	0	0	0	3048373	
23	1	A	1	N	2500	0	40	419	1383	84	29	24	0	0	0	0	0	0	0	0	0	0	0	0	3048388	
24	1	A	1	N	2500	0	40	442	1374	83	28	23	0	0	0	0	0	0	0	0	0	0	0	0	3048435	
25	1	A	1	N	2500	0	40	397	1165	62	25	18	0	0	0	0	0	0	0	0	0	0	0	0	3048529	
26	1	A	1	N	2500	0	40	21	30	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	3048622	
27	1	A	1	N	2500	0	40	422	1205	62	25	18	0	0	0	0	0	0	0	0	0	0	0	0	3048763	
28	1	A	1	N	2500	0	40	338	1342	83	31	25	0	0	0	0	0	0	0	0	0	0	0	0	3048856	
29	1	A	1	N	2500	0	40	20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3049418	
30	1	A	1	N	2500	0	40	282	1384	67	34	27	0	0	0	0	0	0	0	0	0	0	0	0	3049449	
31	1	A	1	N	2500	0	40	398	1336	65	31	23	0	0	0	0	0	0	0	0	0	0	0	0	3049480	
32	1	A	1	N	2500	0	40	417	1331	80	28	20	0	0	0	0	0	0	0	0	0	0	0	0	3049574	
33	1	A	1	N	2500	0	40	437	1364	86	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3049590	
34	1	A	1	N	2500	0	40	45	112	7	8	8	0	0	0	0	0	0	0	0	0	0	0	0	3049652	
35	1	A	1	N	2500	0	40	419	1489	89	32	23	0	0	0	0	0	0	0	0	0	0	0	0	3049746	
36	1	A	1	N	2500	0	40	473	1547	94	34	23	0	0	0	0	0	0	0	0	0	0	0	0	3049824	
37	1	A	1	N	2500	0	40	497	1240	86	34	28	0	0	0	0	0	0	0	0	0	0	0	0	3050292	
38	1	A	1	N	2500	0	40	521	1790	100	37	28	0	0	0	0	0	0	0	0	0	0	0	0	3050572	
39	1	A	1	N	2500	0	40	487	1583	102	36	28	0	0	0	0	0	0	0	0	0	0	0	0	3050713	
40	1	A	1	N	2500	0	40	409	1147	60	22	17	0	0	0	0	0	0	0	0	0	0	0	0	3050806	
41	1	A	1	N	2500	0	40	573	1738	120	42	35	0	0	0	0	0	0	0	0	0	0	0	0	3050931	
42	1	A	1	N	2500	0	40	416	1315	71	27	21	0	0	0	0	0	0	0	0	0	0	0	0	3051025	
43	1	A	1	N	2500	0	40	365	1441	87	37	29	0	0	0	0	0	0	0	0	0	0	0	0	3051399	
44	1	B	1	N	2500	0	40	417	1262	75	27	22	0	0	0	0	0	0	0	0	0	0	0	0	3058854	
45	1	B	1	N	2500	0	40	36	43	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3058995	
46	1	B	1	N	2500	0	40	438	1169	55	24	16	0	0	0	0	0	0	0	0	0	0	0	0	3059088	
47	1	B	1	N	2500	0	40	370	972	48	19	14	0	0	0	0	0	0	0	0	0	0	0	0	3059244	
48	1	B	1	N	2500	0	40	489	1481	84	32	26	0	0	0	0	0	0	0	0	0	0	0	0	3059260	
49	1	B	1	N	2500	0	40	335	1391	99	38	29	0	0	0	0	0	0	0	0	0	0	0	0	3059416	
50	1	B	1	N	2500	0	40	26	39	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3059463	
51	1	B	1	N	2500	0	40	40	92	4	7	8	0	0	0	0	0	0	0	0	0	0	0	0	3059588	
52	1	B	1	N	2500	0	40	34	44	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3059603	
53	1	B	1	N	2500	0	40	21	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3059978	
54	1	B	1	N	2500	0	40	30	62	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3059978	
55	1	B	1	N	2500	0	40	34	33	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3059978	
56	1	B	1	N	2500	0	40	23	26	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3060071	
57	1	B	1	N	2500	0	40	70	122	15	7	3	0	0	0	0	0	0	0	0	0	0	0	0	3060196	
58	1	B	1	N	2500	0	40	268	1374	86	35	28	0	0	0	0	0	0	0	0	0	0	0	0	3060368	
59	1	B	1	N	2500	0	40	398	1430	78	36	28	0	0	0	0	0	0	0	0	0	0	0	0	3060789	
60	1	B	1	N	2500	0	40	416	1325	67	29	24	0	0	0	0	0	0	0	0	0	0	0	0	3060929	
61	1	B	1	N	2500	0	40	32	43	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3061023	
62	1	B	1	N	2500	0	40	404	1258	68	25	20	0	0	0	0	0	0	0	0	0	0	0	0	3061428	
63	1	B	1	N	2500	0	40	34	83	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3061662	
64	1	B	1	N	2500	0	40	322	1327	89	37	29	0	0	0	0	0	0	0	0	0	0	0	0	3061772	
65	1	B	1	N	2500	0	40	303	1335	76	32	27	0	0	0	0	0	0	0	0	0	0	0	0	3061974	
