Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	30	29	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6731723	
1	1	A	1	N	2500	0	40	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6731957	
2	1	A	1	N	2500	0	40	46	41	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	6731957	
3	1	A	1	N	2500	0	40	474	2360	347	312	366	0	0	0	0	0	0	0	0	0	0	0	0	6732566	
4	1	A	1	N	2500	0	40	52	71	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	6732831	
5	1	A	1	N	2500	0	40	1619	3105	98	36	40	0	0	0	0	0	0	0	0	0	0	0	0	6732940	
6	1	A	1	N	2500	0	40	222	788	67	66	79	0	0	0	0	0	0	0	0	0	0	0	0	6733018	
7	1	A	1	N	2500	0	40	29	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6733112	
8	1	A	1	N	2500	0	40	94	84	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	6733112	
9	1	A	1	N	2500	0	40	23	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6733112	
10	1	A	1	N	2500	0	40	2189	3864	195	53	66	0	0	0	0	0	0	0	0	0	0	0	0	6733268	
11	1	A	1	N	2500	0	40	1534	2316	53	27	45	0	0	0	0	0	0	0	0	0	0	0	0	6733408	
12	1	A	1	N	2500	0	40	1400	2798	105	37	43	0	0	0	0	0	0	0	0	0	0	0	0	6733439	
13	1	A	1	N	2500	0	40	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6733439	
14	1	A	1	N	2500	0	40	1574	3274	105	44	54	0	0	0	0	0	0	0	0	0	0	0	0	6733829	
15	1	A	1	N	2500	0	40	1478	2325	73	32	40	0	0	0	0	0	0	0	0	0	0	0	0	6733829	
16	1	A	1	N	2500	0	40	84	109	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	6734219	
17	1	A	1	N	2500	0	40	22	19	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6734765	
18	1	A	1	N	2500	0	40	106	115	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	6734765	
19	1	A	1	N	2500	0	40	57	73	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6735093	
20	1	A	1	N	2500	0	40	35	34	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6735109	
21	1	A	1	N	2500	0	40	497	779	33	24	24	0	0	0	0	0	0	0	0	0	0	0	0	6736169	
22	1	A	1	N	2500	0	40	25	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6736201	
23	1	A	1	N	2500	0	40	120	122	8	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6736388	
24	1	A	1	N	2500	0	40	2115	5129	194	80	77	0	0	0	0	0	0	0	0	0	0	0	0	6736513	
25	1	A	1	N	2500	0	40	1838	3054	112	41	53	0	0	0	0	0	0	0	0	0	0	0	0	6736778	
26	1	A	1	N	2500	0	40	43	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6736778	
27	1	A	1	N	2500	0	40	64	104	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6737683	
28	1	A	1	N	2500	0	40	51	59	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6738244	
29	1	A	1	N	2500	0	40	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6738275	
30	1	A	1	N	2500	0	40	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6738463	
31	1	A	1	N	2500	0	40	41	38	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6738463	
32	1	A	1	N	2500	0	40	1269	1476	61	20	29	0	0	0	0	0	0	0	0	0	0	0	0	6738463	
33	1	A	1	N	2500	0	40	1570	2929	92	38	45	0	0	0	0	0	0	0	0	0	0	0	0	6738525	
34	1	A	1	N	2500	0	40	1385	2391	72	25	35	0	0	0	0	0	0	0	0	0	0	0	0	6738931	
35	1	A	1	N	2500	0	40	538	1585	39	19	21	0	0	0	0	0	0	0	0	0	0	0	0	6738946	
36	1	B	1	N	2500	0	40	1208	2780	160	46	47	0	0	0	0	0	0	0	0	0	0	0	0	6746512	
37	1	B	1	N	2500	0	40	21	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6746855	
38	1	B	1	N	2500	0	40	78	221	20	18	18	0	0	0	0	0	0	0	0	0	0	0	0	6747495	
39	1	B	1	N	2500	0	40	29	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6747823	
40	1	B	1	N	2500	0	40	126	293	28	25	31	0	0	0	0	0	0	0	0	0	0	0	0	6747823	
41	1	B	1	N	2500	0	40	45	42	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6748010	
42	1	B	1	N	2500	0	40	162	548	35	28	32	0	0	0	0	0	0	0	0	0	0	0	0	6748010	
43	1	B	1	N	2500	0	40	54	80	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	6748010	
44	1	B	1	N	2500	0	40	54	91	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	6748119	
45	1	B	1	N	2500	0	40	35	36	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6748166	
46	1	B	1	N	2500	0	40	835	1552	40	23	28	0	0	0	0	0	0	0	0	0	0	0	0	6748197	
