Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	58	200	16	17	21	0	0	0	0	0	0	0	0	0	0	0	0	7091263	
1	1	A	1	N	2500	0	40	39	157	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7091606	
2	1	A	1	N	2500	0	40	518	1572	99	36	26	0	0	0	0	0	0	0	0	0	0	0	0	7093275	
3	1	A	1	N	2500	0	40	517	2074	108	47	35	0	0	0	0	0	0	0	0	0	0	0	0	7093322	
4	1	A	1	N	2500	0	40	21	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7093572	
5	1	A	1	N	2500	0	40	324	1495	69	37	31	0	0	0	0	0	0	0	0	0	0	0	0	7094757	
6	1	A	1	N	2500	0	40	55	139	15	11	15	0	0	0	0	0	0	0	0	0	0	0	0	7094882	
7	1	A	1	N	2500	0	40	24	38	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	7095381	
8	1	A	1	N	2500	0	40	32	41	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7095678	
9	1	A	1	N	2500	0	40	34	55	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	7095974	
10	1	A	1	N	2500	0	40	510	1358	86	30	27	0	0	0	0	0	0	0	0	0	0	0	0	7095990	
11	1	A	1	N	2500	0	40	500	1739	105	38	32	0	0	0	0	0	0	0	0	0	0	0	0	7096114	
12	1	A	1	N	2500	0	40	372	1044	59	21	18	0	0	0	0	0	0	0	0	0	0	0	0	7096395	
13	1	A	1	N	2500	0	40	45	106	8	7	9	0	0	0	0	0	0	0	0	0	0	0	0	7097503	
14	1	A	2	N	2500	0	40	69	138	13	5	3	0	0	0	0	0	0	0	0	0	0	0	0	7106270	
15	1	A	2	N	2500	0	40	504	1098	57	26	21	0	0	0	0	0	0	0	0	0	0	0	0	7106754	
16	1	A	2	N	2500	0	40	385	1035	52	20	19	0	0	0	0	0	0	0	0	0	0	0	0	7107003	
17	1	A	2	N	2500	0	40	66	262	26	25	30	0	0	0	0	0	0	0	0	0	0	0	0	7107752	
18	1	A	2	N	2500	0	40	386	989	46	20	16	0	0	0	0	0	0	0	0	0	0	0	0	7107861	
19	1	A	2	N	2500	0	40	32	46	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7108158	
20	1	A	2	N	2500	0	40	406	1041	54	23	20	0	0	0	0	0	0	0	0	0	0	0	0	7108438	
21	1	A	2	N	2500	0	40	269	1229	70	31	25	0	0	0	0	0	0	0	0	0	0	0	0	7108766	
22	1	A	2	N	2500	0	40	29	38	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7109062	
23	1	A	2	N	2500	0	40	373	944	46	20	20	0	0	0	0	0	0	0	0	0	0	0	0	7109718	
24	1	A	2	N	2500	0	40	222	854	54	21	18	0	0	0	0	0	0	0	0	0	0	0	0	7111714	
25	1	A	2	N	2500	0	40	409	1101	54	19	18	0	0	0	0	0	0	0	0	0	0	0	0	7111824	
26	1	A	2	N	2500	0	40	24	34	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	7112089	
27	1	A	3	N	2500	0	40	38	52	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7120825	
28	1	A	3	N	2500	0	40	142	441	44	14	11	0	0	0	0	0	0	0	0	0	0	0	0	7120856	
29	1	A	3	N	2500	0	40	20	49	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	7121792	
30	1	A	3	N	2500	0	40	227	1072	62	29	29	0	0	0	0	0	0	0	0	0	0	0	0	7121901	
31	1	A	3	N	2500	0	40	603	1355	51	24	26	0	0	0	0	0	0	0	0	0	0	0	0	7124070	
