Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	C	3	N	2500	0	40	107	420	44	5	4	0	0	0	0	0	0	0	0	0	0	0	0	9246531	
1	1	C	3	N	2500	0	40	162	725	32	18	20	0	0	0	0	0	0	0	0	0	0	0	0	9247077	
2	1	C	3	N	2500	0	40	299	721	25	14	14	0	0	0	0	0	0	0	0	0	0	0	0	9248357	
3	1	C	3	N	2500	0	40	36	36	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9248747	
4	1	C	3	N	2500	0	40	292	968	45	25	23	0	0	0	0	0	0	0	0	0	0	0	0	9250338	
5	1	C	3	N	2500	0	40	294	910	65	30	24	0	0	0	0	0	0	0	0	0	0	0	0	9250353	
6	1	C	3	N	2500	0	40	319	1022	59	28	27	0	0	0	0	0	0	0	0	0	0	0	0	9251227	
7	1	C	3	N	2500	0	40	251	1035	52	28	25	0	0	0	0	0	0	0	0	0	0	0	0	9251804	
8	1	C	3	N	2500	0	40	386	879	34	18	19	0	0	0	0	0	0	0	0	0	0	0	0	9252272	
9	1	C	3	N	2500	0	40	654	1848	83	45	40	0	0	0	0	0	0	0	0	0	0	0	0	9253208	
10	1	C	4	N	2500	0	40	29	52	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9261866	
11	1	C	4	N	2500	0	40	98	233	34	4	3	0	0	0	0	0	0	0	0	0	0	0	0	9261960	
12	1	C	4	N	2500	0	40	99	390	73	7	4	0	0	0	0	0	0	0	0	0	0	0	0	9262412	
13	1	C	4	N	2500	0	40	23	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9263208	
14	1	C	4	N	2500	0	40	21	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9263223	
15	1	C	4	N	2500	0	40	21	32	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9263738	
16	1	C	4	N	2500	0	40	329	681	27	13	15	0	0	0	0	0	0	0	0	0	0	0	0	9264830	
17	1	C	4	N	2500	0	40	21	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9265314	
18	1	C	4	N	2500	0	40	349	772	33	18	19	0	0	0	0	0	0	0	0	0	0	0	0	9265548	
19	1	C	4	N	2500	0	40	256	1035	57	29	29	0	0	0	0	0	0	0	0	0	0	0	0	9265938	
20	1	C	4	N	2500	0	40	68	244	24	22	26	0	0	0	0	0	0	0	0	0	0	0	0	9266780	
21	1	C	4	N	2500	0	40	326	611	21	12	13	0	0	0	0	0	0	0	0	0	0	0	0	9267389	
22	1	C	4	N	2500	0	40	282	609	21	15	14	0	0	0	0	0	0	0	0	0	0	0	0	9267576	
23	1	C	4	N	2500	0	40	24	35	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	9267779	
24	1	C	5	N	2500	0	40	32	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9276031	
25	1	C	5	N	2500	0	40	30	33	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9276359	
26	1	C	5	N	2500	0	40	25	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9277123	
