Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	107	121	10	5	3	0	0	0	0	0	0	0	0	0	0	0	0	19151076	
1	1	A	1	N	2500	0	40	21	35	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	19151264	
2	1	A	1	N	2500	0	40	460	1568	90	35	23	0	0	0	0	0	0	0	0	0	0	0	0	19151264	
3	1	A	1	N	2500	0	40	21	29	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19151498	
4	1	A	1	N	2500	0	40	21	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19151529	
5	1	A	1	N	2500	0	40	60	138	14	4	4	0	0	0	0	0	0	0	0	0	0	0	0	19151685	
6	1	A	1	N	2500	0	40	481	1032	36	17	15	0	0	0	0	0	0	0	0	0	0	0	0	19151778	
7	1	A	1	N	2500	0	40	80	171	16	9	4	0	0	0	0	0	0	0	0	0	0	0	0	19151997	
8	1	A	1	N	2500	0	40	20	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19152262	
9	1	A	1	N	2500	0	40	276	1296	86	30	22	0	0	0	0	0	0	0	0	0	0	0	0	19152527	
10	1	A	1	N	2500	0	40	46	103	11	10	13	0	0	0	0	0	0	0	0	0	0	0	0	19152652	
11	1	A	1	N	2500	0	40	373	1215	74	24	23	0	0	0	0	0	0	0	0	0	0	0	0	19152683	
12	1	A	1	N	2500	0	40	24	43	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	19152683	
13	1	A	1	N	2500	0	40	426	1257	63	25	24	0	0	0	0	0	0	0	0	0	0	0	0	19152964	
14	1	A	1	N	2500	0	40	364	838	33	15	13	0	0	0	0	0	0	0	0	0	0	0	0	19153073	
15	1	A	1	N	2500	0	40	30	26	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19153167	
16	1	A	1	N	2500	0	40	416	1010	38	16	12	0	0	0	0	0	0	0	0	0	0	0	0	19153307	
17	1	A	1	N	2500	0	40	435	1266	66	24	23	0	0	0	0	0	0	0	0	0	0	0	0	19153526	
18	1	A	1	N	2500	0	40	419	1085	50	17	14	0	0	0	0	0	0	0	0	0	0	0	0	19153526	
19	1	A	1	N	2500	0	40	41	41	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19153572	
20	1	A	1	N	2500	0	40	24	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19153588	
21	1	A	1	N	2500	0	40	342	1466	72	32	28	0	0	0	0	0	0	0	0	0	0	0	0	19153588	
22	1	A	1	N	2500	0	40	29	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19153666	
23	1	A	1	N	2500	0	40	426	1284	72	23	21	0	0	0	0	0	0	0	0	0	0	0	0	19153682	
24	1	A	1	N	2500	0	40	421	774	26	12	13	0	0	0	0	0	0	0	0	0	0	0	0	19153822	
25	1	A	1	N	2500	0	40	396	1012	46	18	14	0	0	0	0	0	0	0	0	0	0	0	0	19154040	
26	1	A	1	N	2500	0	40	712	2315	151	57	42	0	0	0	0	0	0	0	0	0	0	0	0	19154103	
27	1	A	1	N	2500	0	40	523	1251	72	24	18	0	0	0	0	0	0	0	0	0	0	0	0	19154103	
28	1	A	1	N	2500	0	40	418	954	42	18	15	0	0	0	0	0	0	0	0	0	0	0	0	19154181	
29	1	A	1	N	2500	0	40	387	862	32	14	11	0	0	0	0	0	0	0	0	0	0	0	0	19154212	
30	1	A	1	N	2500	0	40	456	1248	67	25	20	0	0	0	0	0	0	0	0	0	0	0	0	19154259	
31	1	A	1	N	2500	0	40	358	1078	61	22	19	0	0	0	0	0	0	0	0	0	0	0	0	19154259	
32	1	A	1	N	2500	0	40	381	1524	95	36	30	0	0	0	0	0	0	0	0	0	0	0	0	19154274	
33	1	A	1	N	2500	0	40	414	1531	93	33	25	0	0	0	0	0	0	0	0	0	0	0	0	19154321	
34	1	A	1	N	2500	0	40	66	77	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19154430	
35	1	A	1	N	2500	0	40	423	1157	60	21	17	0	0	0	0	0	0	0	0	0	0	0	0	19154711	
36	1	A	1	N	2500	0	40	28	49	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19154758	
37	1	A	1	N	2500	0	40	439	1182	64	20	16	0	0	0	0	0	0	0	0	0	0	0	0	19154805	
38	1	A	1	N	2500	0	40	437	1191	73	26	19	0	0	0	0	0	0	0	0	0	0	0	0	19154852	
39	1	A	1	N	2500	0	40	36	47	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19154867	
40	1	A	1	N	2500	0	40	246	1064	51	24	17	0	0	0	0	0	0	0	0	0	0	0	0	19154914	
41	1	A	1	N	2500	0	40	32	34	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19155008	
42	1	A	1	N	2500	0	40	662	1491	100	29	27	0	0	0	0	0	0	0	0	0	0	0	0	19155070	
43	1	A	1	N	2500	0	40	810	2290	105	46	34	0	0	0	0	0	0	0	0	0	0	0	0	19155132	
44	1	A	1	N	2500	0	40	304	1237	66	31	25	0	0	0	0	0	0	0	0	0	0	0	0	19155148	
45	1	A	1	N	2500	0	40	427	1160	53	20	18	0	0	0	0	0	0	0	0	0	0	0	0	19155242	
46	1	A	1	N	2500	0	40	437	1234	75	23	20	0	0	0	0	0	0	0	0	0	0	0	0	19155335	
47	1	A	1	N	2500	0	40	443	1295	66	26	16	0	0	0	0	0	0	0	0	0	0	0	0	19155413	
48	1	A	1	N	2500	0	40	346	1302	81	29	24	0	0	0	0	0	0	0	0	0	0	0	0	19155522	
49	1	A	1	N	2500	0	40	392	985	44	16	14	0	0	0	0	0	0	0	0	0	0	0	0	19155632	
50	1	A	1	N	2500	0	40	592	1695	96	39	24	0	0	0	0	0	0	0	0	0	0	0	0	19155725	
51	1	A	1	N	2500	0	40	243	1138	68	25	21	0	0	0	0	0	0	0	0	0	0	0	0	19155756	
52	1	A	1	N	2500	0	40	278	1420	81	33	24	0	0	0	0	0	0	0	0	0	0	0	0	19155803	
53	1	A	1	N	2500	0	40	26	54	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19156006	
54	1	A	1	N	2500	0	40	20	26	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19156006	
55	1	A	1	N	2500	0	40	53	160	14	14	18	0	0	0	0	0	0	0	0	0	0	0	0	19156692	
56	1	A	1	N	2500	0	40	375	1638	110	38	31	0	0	0	0	0	0	0	0	0	0	0	0	19156692	
57	1	A	1	N	2500	0	40	24	41	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	19156692	
58	1	A	1	N	2500	0	40	422	1223	64	22	17	0	0	0	0	0	0	0	0	0	0	0	0	19156880	
59	1	A	1	N	2500	0	40	280	1116	77	28	22	0	0	0	0	0	0	0	0	0	0	0	0	19156880	
60	1	A	1	N	2500	0	40	349	783	31	13	13	0	0	0	0	0	0	0	0	0	0	0	0	19156926	
61	1	A	1	N	2500	0	40	373	949	43	17	17	0	0	0	0	0	0	0	0	0	0	0	0	19157020	
62	1	A	1	N	2500	0	40	39	81	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	19157051	
63	1	A	1	N	2500	0	40	279	557	20	10	7	0	0	0	0	0	0	0	0	0	0	0	0	19157519	
64	1	A	1	N	2500	0	40	20	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19157613	
65	1	A	1	N	2500	0	40	396	1047	46	19	14	0	0	0	0	0	0	0	0	0	0	0	0	19157628	
66	1	A	1	N	2500	0	40	24	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19157675	
67	1	A	1	N	2500	0	40	30	43	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19157738	
68	1	A	2	N	2500	0	40	465	1272	66	25	23	0	0	0	0	0	0	0	0	0	0	0	0	19164960	
69	1	A	2	N	2500	0	40	670	1656	76	31	25	0	0	0	0	0	0	0	0	0	0	0	0	19165194	
70	1	A	2	N	2500	0	40	33	49	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19165319	
71	1	A	2	N	2500	0	40	22	41	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19165350	
72	1	A	2	N	2500	0	40	24	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19165538	
73	1	A	2	N	2500	0	40	467	1007	38	15	17	0	0	0	0	0	0	0	0	0	0	0	0	19165725	
74	1	A	2	N	2500	0	40	503	956	67	17	15	0	0	0	0	0	0	0	0	0	0	0	0	19165834	
75	1	A	2	N	2500	0	40	255	825	37	15	13	0	0	0	0	0	0	0	0	0	0	0	0	19165850	
76	1	A	2	N	2500	0	40	425	1154	60	19	18	0	0	0	0	0	0	0	0	0	0	0	0	19165959	
77	1	A	2	N	2500	0	40	217	847	36	15	12	0	0	0	0	0	0	0	0	0	0	0	0	19166037	
78	1	A	2	N	2500	0	40	341	634	17	10	7	0	0	0	0	0	0	0	0	0	0	0	0	19166037	
79	1	A	2	N	2500	0	40	284	585	19	9	10	0	0	0	0	0	0	0	0	0	0	0	0	19166598	
80	1	A	2	N	2500	0	40	27	23	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19166848	
81	1	A	2	N	2500	0	40	426	1036	39	16	15	0	0	0	0	0	0	0	0	0	0	0	0	19166942	
82	1	A	2	N	2500	0	40	516	1717	79	33	29	0	0	0	0	0	0	0	0	0	0	0	0	19166973	
83	1	A	2	N	2500	0	40	24	43	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19167066	
84	1	A	2	N	2500	0	40	42	72	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19167113	
85	1	A	2	N	2500	0	40	375	945	40	18	17	0	0	0	0	0	0	0	0	0	0	0	0	19167113	
86	1	A	2	N	2500	0	40	355	1117	65	25	19	0	0	0	0	0	0	0	0	0	0	0	0	19167113	
87	1	A	2	N	2500	0	40	154	210	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19167113	
88	1	A	2	N	2500	0	40	259	543	20	10	11	0	0	0	0	0	0	0	0	0	0	0	0	19167113	
89	1	A	2	N	2500	0	40	268	876	48	20	17	0	0	0	0	0	0	0	0	0	0	0	0	19167207	
90	1	A	2	N	2500	0	40	38	55	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19167347	
91	1	A	2	N	2500	0	40	377	775	28	12	11	0	0	0	0	0	0	0	0	0	0	0	0	19167644	
92	1	A	2	N	2500	0	40	36	46	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19167784	
93	1	A	2	N	2500	0	40	395	851	33	13	16	0	0	0	0	0	0	0	0	0	0	0	0	19167800	
94	1	A	2	N	2500	0	40	297	975	39	17	14	0	0	0	0	0	0	0	0	0	0	0	0	19167831	
95	1	A	2	N	2500	0	40	429	995	48	18	13	0	0	0	0	0	0	0	0	0	0	0	0	19167909	
96	1	A	2	N	2500	0	40	102	249	28	26	29	0	0	0	0	0	0	0	0	0	0	0	0	19168065	
97	1	A	2	N	2500	0	40	228	913	39	17	11	0	0	0	0	0	0	0	0	0	0	0	0	19168158	
98	1	A	2	N	2500	0	40	232	400	9	5	4	0	0	0	0	0	0	0	0	0	0	0	0	19168377	
99	1	A	2	N	2500	0	40	431	986	46	17	16	0	0	0	0	0	0	0	0	0	0	0	0	19168392	
100	1	A	2	N	2500	0	40	365	809	26	11	12	0	0	0	0	0	0	0	0	0	0	0	0	19168455	
101	1	A	2	N	2500	0	40	393	889	36	14	13	0	0	0	0	0	0	0	0	0	0	0	0	19168564	
102	1	A	2	N	2500	0	40	24	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19168689	
103	1	A	2	N	2500	0	40	252	1210	72	27	20	0	0	0	0	0	0	0	0	0	0	0	0	19168736	
104	1	A	2	N	2500	0	40	214	872	45	17	14	0	0	0	0	0	0	0	0	0	0	0	0	19168782	
105	1	A	2	N	2500	0	40	246	1187	73	24	19	0	0	0	0	0	0	0	0	0	0	0	0	19168923	
106	1	A	2	N	2500	0	40	26	45	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19168938	
107	1	A	2	N	2500	0	40	232	902	41	17	12	0	0	0	0	0	0	0	0	0	0	0	0	19168985	
108	1	A	2	N	2500	0	40	23	41	12	12	14	0	0	0	0	0	0	0	0	0	0	0	0	19169126	
109	1	A	2	N	2500	0	40	410	1029	33	20	17	0	0	0	0	0	0	0	0	0	0	0	0	19169328	
110	1	A	2	N	2500	0	40	25	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19169328	
111	1	A	2	N	2500	0	40	334	1019	38	18	14	0	0	0	0	0	0	0	0	0	0	0	0	19169438	
112	1	A	2	N	2500	0	40	301	636	28	10	9	0	0	0	0	0	0	0	0	0	0	0	0	19169625	
113	1	A	2	N	2500	0	40	521	1317	68	21	21	0	0	0	0	0	0	0	0	0	0	0	0	19169718	
114	1	A	2	N	2500	0	40	248	845	33	12	13	0	0	0	0	0	0	0	0	0	0	0	0	19169828	
115	1	A	2	N	2500	0	40	172	154	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	19169828	
116	1	A	2	N	2500	0	40	297	574	18	9	7	0	0	0	0	0	0	0	0	0	0	0	0	19169859	
117	1	A	2	N	2500	0	40	38	70	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19169874	
118	1	A	2	N	2500	0	40	33	56	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	19170030	
119	1	A	2	N	2500	0	40	270	855	34	14	13	0	0	0	0	0	0	0	0	0	0	0	0	19170077	
120	1	A	2	N	2500	0	40	394	891	36	12	11	0	0	0	0	0	0	0	0	0	0	0	0	19170186	
121	1	A	2	N	2500	0	40	36	67	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19170233	
122	1	A	2	N	2500	0	40	26	41	7	8	8	0	0	0	0	0	0	0	0	0	0	0	0	19170327	
123	1	A	2	N	2500	0	40	375	886	38	14	16	0	0	0	0	0	0	0	0	0	0	0	0	19170701	
124	1	A	2	N	2500	0	40	25	43	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19170951	
125	1	A	2	N	2500	0	40	204	619	21	13	12	0	0	0	0	0	0	0	0	0	0	0	0	19170966	
126	1	A	2	N	2500	0	40	30	48	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	19170982	
127	1	A	2	N	2500	0	40	77	98	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	19171076	
128	1	A	2	N	2500	0	40	267	572	20	8	7	0	0	0	0	0	0	0	0	0	0	0	0	19171200	
129	1	A	2	N	2500	0	40	422	1165	54	20	22	0	0	0	0	0	0	0	0	0	0	0	0	19171247	
130	1	A	2	N	2500	0	40	27	30	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19171325	
