Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	6	N	2500	0	40	588	1013	34	13	14	0	0	0	0	0	0	0	0	0	0	0	0	6611428	
1	1	A	6	N	2500	0	40	20	28	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	6611772	
2	1	B	3	N	2500	0	40	22	31	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6621834	
3	1	B	3	N	2500	0	40	512	838	27	11	13	0	0	0	0	0	0	0	0	0	0	0	0	6621865	
4	1	B	3	N	2500	0	40	26	31	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6621865	
5	1	B	3	N	2500	0	40	29	32	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6622177	
6	1	B	3	N	2500	0	40	67	93	12	5	3	0	0	0	0	0	0	0	0	0	0	0	0	6622239	
7	1	B	3	N	2500	0	40	53	56	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	6622239	
8	1	B	3	N	2500	0	40	319	599	30	10	10	0	0	0	0	0	0	0	0	0	0	0	0	6622504	
9	1	B	3	N	2500	0	40	22	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6622520	
10	1	B	3	N	2500	0	40	34	44	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6622520	
11	1	B	3	N	2500	0	40	42	48	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6622520	
12	1	B	3	N	2500	0	40	50	72	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6622520	
13	1	B	3	N	2500	0	40	57	178	19	8	6	0	0	0	0	0	0	0	0	0	0	0	0	6622754	
14	1	B	3	N	2500	0	40	47	85	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6622754	
15	1	B	3	N	2500	0	40	42	54	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6622785	
16	1	B	3	N	2500	0	40	307	639	29	16	13	0	0	0	0	0	0	0	0	0	0	0	0	6622832	
17	1	B	3	N	2500	0	40	112	305	41	13	8	0	0	0	0	0	0	0	0	0	0	0	0	6622988	
18	1	B	3	N	2500	0	40	144	534	22	13	14	0	0	0	0	0	0	0	0	0	0	0	0	6623066	
19	1	B	3	N	2500	0	40	98	180	30	7	4	0	0	0	0	0	0	0	0	0	0	0	0	6623269	
20	1	B	3	N	2500	0	40	44	45	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6624049	
21	1	B	3	N	2500	0	40	315	724	40	11	13	0	0	0	0	0	0	0	0	0	0	0	0	6624220	
22	1	B	3	N	2500	0	40	70	140	16	6	3	0	0	0	0	0	0	0	0	0	0	0	0	6624283	
23	1	B	3	N	2500	0	40	104	263	33	11	6	0	0	0	0	0	0	0	0	0	0	0	0	6624283	
24	1	B	3	N	2500	0	40	47	50	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6624283	
25	1	B	3	N	2500	0	40	63	221	21	24	24	0	0	0	0	0	0	0	0	0	0	0	0	6624298	
26	1	B	3	N	2500	0	40	60	67	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6624330	
27	1	B	3	N	2500	0	40	377	701	26	12	14	0	0	0	0	0	0	0	0	0	0	0	0	6624361	
28	1	B	3	N	2500	0	40	349	794	35	14	14	0	0	0	0	0	0	0	0	0	0	0	0	6624751	
29	1	B	3	N	2500	0	40	26	30	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6625000	
30	1	B	3	N	2500	0	40	40	57	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	6625016	
31	1	B	3	N	2500	0	40	21	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6625016	
32	1	B	3	N	2500	0	40	25	29	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6625266	
33	1	B	3	N	2500	0	40	65	117	15	5	3	0	0	0	0	0	0	0	0	0	0	0	0	6625266	
34	1	B	3	N	2500	0	40	109	267	27	10	6	0	0	0	0	0	0	0	0	0	0	0	0	6625266	
35	1	B	3	N	2500	0	40	250	658	29	12	12	0	0	0	0	0	0	0	0	0	0	0	0	6625328	
36	1	B	3	N	2500	0	40	318	617	28	10	10	0	0	0	0	0	0	0	0	0	0	0	0	6625437	
37	1	B	3	N	2500	0	40	285	735	27	13	14	0	0	0	0	0	0	0	0	0	0	0	0	6625531	
38	1	B	3	N	2500	0	40	292	870	45	15	15	0	0	0	0	0	0	0	0	0	0	0	0	6625593	
39	1	B	3	N	2500	0	40	240	639	26	12	10	0	0	0	0	0	0	0	0	0	0	0	0	6625812	
40	1	B	3	N	2500	0	40	418	710	30	13	13	0	0	0	0	0	0	0	0	0	0	0	0	6626046	
41	1	B	3	N	2500	0	40	346	778	34	16	15	0	0	0	0	0	0	0	0	0	0	0	0	6626124	
42	1	B	3	N	2500	0	40	44	60	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6626155	
43	1	B	3	N	2500	0	40	26	30	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6626155	
44	1	B	3	N	2500	0	40	40	64	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	6626217	
45	1	B	3	N	2500	0	40	419	963	37	17	18	0	0	0	0	0	0	0	0	0	0	0	0	6626295	
46	1	B	3	N	2500	0	40	360	683	37	11	13	0	0	0	0	0	0	0	0	0	0	0	0	6626888	
47	1	B	3	N	2500	0	40	34	93	13	6	4	0	0	0	0	0	0	0	0	0	0	0	0	6627075	
48	1	B	3	N	2500	0	40	405	843	28	15	18	0	0	0	0	0	0	0	0	0	0	0	0	6627153	
49	1	B	3	N	2500	0	40	490	1226	71	22	24	0	0	0	0	0	0	0	0	0	0	0	0	6627278	
50	1	B	3	N	2500	0	40	304	681	29	13	15	0	0	0	0	0	0	0	0	0	0	0	0	6627699	
51	1	B	3	N	2500	0	40	343	782	36	14	16	0	0	0	0	0	0	0	0	0	0	0	0	6628167	
52	1	B	3	N	2500	0	40	296	613	24	14	15	0	0	0	0	0	0	0	0	0	0	0	0	6628308	
53	1	B	3	N	2500	0	40	481	803	44	12	13	0	0	0	0	0	0	0	0	0	0	0	0	6628994	
54	1	B	5	N	2500	0	40	52	125	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6636482	
55	1	B	5	N	2500	0	40	23	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6636560	
