Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	82	178	21	9	5	0	0	0	0	0	0	0	0	0	0	0	0	13238411	
1	1	A	1	N	2500	0	40	193	487	73	33	17	0	0	0	0	0	0	0	0	0	0	0	0	13238442	
2	1	A	1	N	2500	0	40	71	183	30	9	4	0	0	0	0	0	0	0	0	0	0	0	0	13238442	
3	1	A	1	N	2500	0	40	24	24	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13238474	
4	1	A	1	N	2500	0	40	36	40	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13238598	
5	1	A	1	N	2500	0	40	35	62	10	3	1	0	0	0	0	0	0	0	0	0	0	0	0	13238630	
6	1	A	1	N	2500	0	40	42	43	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13238786	
7	1	A	1	N	2500	0	40	91	122	17	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13238942	
8	1	A	1	N	2500	0	40	44	79	11	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13238942	
9	1	A	1	N	2500	0	40	20	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13238942	
10	1	A	1	N	2500	0	40	31	37	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	13239144	
11	1	A	1	N	2500	0	40	23	27	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13239332	
12	1	A	1	N	2500	0	40	21	17	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13239363	
13	1	A	1	N	2500	0	40	26	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13239363	
14	1	A	1	N	2500	0	40	70	216	28	8	4	0	0	0	0	0	0	0	0	0	0	0	0	13239363	
15	1	A	1	N	2500	0	40	62	148	17	3	1	0	0	0	0	0	0	0	0	0	0	0	0	13239378	
16	1	A	1	N	2500	0	40	66	167	23	13	6	0	0	0	0	0	0	0	0	0	0	0	0	13239659	
17	1	A	1	N	2500	0	40	75	302	36	7	4	0	0	0	0	0	0	0	0	0	0	0	0	13239784	
18	1	A	1	N	2500	0	40	47	112	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13239784	
19	1	A	1	N	2500	0	40	72	83	12	6	3	0	0	0	0	0	0	0	0	0	0	0	0	13239846	
20	1	A	1	N	2500	0	40	28	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13239940	
21	1	A	1	N	2500	0	40	31	36	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13239940	
22	1	A	1	N	2500	0	40	38	98	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13239940	
23	1	A	1	N	2500	0	40	24	35	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13239987	
24	1	A	1	N	2500	0	40	343	857	32	14	11	0	0	0	0	0	0	0	0	0	0	0	0	13240080	
25	1	A	1	N	2500	0	40	91	206	41	20	8	0	0	0	0	0	0	0	0	0	0	0	0	13240455	
26	1	A	1	N	2500	0	40	22	18	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13240455	
27	1	A	1	N	2500	0	40	31	34	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13240455	
28	1	A	1	N	2500	0	40	26	28	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13240486	
29	1	A	1	N	2500	0	40	22	38	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	13240533	
30	1	A	1	N	2500	0	40	383	1026	42	17	14	0	0	0	0	0	0	0	0	0	0	0	0	13240548	
31	1	A	1	N	2500	0	40	32	43	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13240736	
32	1	A	1	N	2500	0	40	76	166	27	13	6	0	0	0	0	0	0	0	0	0	0	0	0	13240736	
33	1	A	1	N	2500	0	40	69	96	16	8	4	0	0	0	0	0	0	0	0	0	0	0	0	13240751	
34	1	A	1	N	2500	0	40	35	38	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13240782	
35	1	A	1	N	2500	0	40	376	929	39	14	12	0	0	0	0	0	0	0	0	0	0	0	0	13240798	
36	1	A	1	N	2500	0	40	407	861	40	13	11	0	0	0	0	0	0	0	0	0	0	0	0	13240892	
37	1	A	1	N	2500	0	40	389	980	42	15	12	0	0	0	0	0	0	0	0	0	0	0	0	13241016	
