Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	262	433	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	16814421	
1	1	A	1	N	2500	0	40	58	194	17	2	2	0	0	0	0	0	0	0	0	0	0	0	0	16814437	
2	1	A	1	N	2500	0	40	24	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16814546	
3	1	A	1	N	2500	0	40	30	41	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16814608	
4	1	A	1	N	2500	0	40	50	91	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	16814608	
5	1	A	1	N	2500	0	40	44	83	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16814608	
6	1	A	1	N	2500	0	40	48	78	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16814655	
7	1	A	1	N	2500	0	40	90	224	33	2	2	0	0	0	0	0	0	0	0	0	0	0	0	16814842	
8	1	A	1	N	2500	0	40	42	50	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	16814842	
9	1	A	1	N	2500	0	40	275	910	127	71	41	0	0	0	0	0	0	0	0	0	0	0	0	16814842	
10	1	A	1	N	2500	0	40	43	46	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16814858	
11	1	A	1	N	2500	0	40	22	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16814858	
12	1	A	1	N	2500	0	40	40	50	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16814905	
13	1	A	1	N	2500	0	40	21	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16815045	
14	1	A	1	N	2500	0	40	36	43	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16815092	
15	1	A	1	N	2500	0	40	68	95	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16815388	
16	1	A	1	N	2500	0	40	28	72	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16815419	
17	1	A	1	N	2500	0	40	120	301	37	4	4	0	0	0	0	0	0	0	0	0	0	0	0	16815435	
18	1	A	1	N	2500	0	40	28	63	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16815513	
19	1	A	1	N	2500	0	40	249	449	16	8	7	0	0	0	0	0	0	0	0	0	0	0	0	16815560	
20	1	A	1	N	2500	0	40	101	211	23	4	3	0	0	0	0	0	0	0	0	0	0	0	0	16815607	
21	1	A	1	N	2500	0	40	28	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16815622	
22	1	A	1	N	2500	0	40	71	126	15	2	2	0	0	0	0	0	0	0	0	0	0	0	0	16815685	
23	1	A	1	N	2500	0	40	53	52	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16815700	
24	1	A	1	N	2500	0	40	65	96	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	16815794	
25	1	A	1	N	2500	0	40	25	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16815887	
26	1	A	1	N	2500	0	40	302	583	19	8	8	0	0	0	0	0	0	0	0	0	0	0	0	16815903	
27	1	A	1	N	2500	0	40	32	37	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16815950	
28	1	A	1	N	2500	0	40	28	31	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16816059	
29	1	A	1	N	2500	0	40	33	47	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16816090	
30	1	A	1	N	2500	0	40	52	124	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	16816153	
31	1	A	1	N	2500	0	40	36	46	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16816153	
32	1	A	1	N	2500	0	40	38	79	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16816246	
33	1	A	1	N	2500	0	40	62	63	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16816433	
34	1	A	1	N	2500	0	40	23	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16816465	
35	1	A	1	N	2500	0	40	365	700	26	9	10	0	0	0	0	0	0	0	0	0	0	0	0	16816511	
36	1	A	1	N	2500	0	40	120	297	45	4	4	0	0	0	0	0	0	0	0	0	0	0	0	16816558	
37	1	A	1	N	2500	0	40	280	540	17	5	6	0	0	0	0	0	0	0	0	0	0	0	0	16816589	
38	1	A	1	N	2500	0	40	97	180	24	2	2	0	0	0	0	0	0	0	0	0	0	0	0	16816605	
39	1	A	1	N	2500	0	40	212	626	104	9	7	0	0	0	0	0	0	0	0	0	0	0	0	16816605	
40	1	A	1	N	2500	0	40	36	47	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16816652	
