Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	117	167	17	10	6	0	0	0	0	0	0	0	0	0	0	0	0	8622162	
1	1	A	1	N	2500	0	40	444	1112	53	23	16	0	0	0	0	0	0	0	0	0	0	0	0	8622723	
2	1	A	1	N	2500	0	40	21	21	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8623862	
3	1	A	1	N	2500	0	40	470	1193	54	17	16	0	0	0	0	0	0	0	0	0	0	0	0	8624268	
4	1	A	1	N	2500	0	40	90	116	14	7	3	0	0	0	0	0	0	0	0	0	0	0	0	8624533	
5	1	A	1	N	2500	0	40	332	783	29	13	11	0	0	0	0	0	0	0	0	0	0	0	0	8624907	
6	1	A	1	N	2500	0	40	433	1241	74	22	21	0	0	0	0	0	0	0	0	0	0	0	0	8625157	
7	1	A	1	N	2500	0	40	297	1047	46	20	15	0	0	0	0	0	0	0	0	0	0	0	0	8625391	
8	1	A	1	N	2500	0	40	440	1248	59	27	20	0	0	0	0	0	0	0	0	0	0	0	0	8625547	
9	1	A	1	N	2500	0	40	437	1353	63	24	20	0	0	0	0	0	0	0	0	0	0	0	0	8625594	
10	1	A	1	N	2500	0	40	63	64	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8625594	
11	1	A	1	N	2500	0	40	410	931	77	24	18	0	0	0	0	0	0	0	0	0	0	0	0	8625594	
12	1	A	1	N	2500	0	40	423	1096	43	21	17	0	0	0	0	0	0	0	0	0	0	0	0	8626187	
13	1	A	1	N	2500	0	40	261	1070	51	20	20	0	0	0	0	0	0	0	0	0	0	0	0	8626467	
14	1	A	1	N	2500	0	40	481	1512	90	29	25	0	0	0	0	0	0	0	0	0	0	0	0	8626545	
15	1	A	1	N	2500	0	40	546	2037	92	36	25	0	0	0	0	0	0	0	0	0	0	0	0	8626639	
16	1	A	1	N	2500	0	40	418	1193	59	27	20	0	0	0	0	0	0	0	0	0	0	0	0	8626701	
17	1	A	1	N	2500	0	40	517	1462	52	24	21	0	0	0	0	0	0	0	0	0	0	0	0	8626951	
18	1	A	1	N	2500	0	40	528	1500	76	29	21	0	0	0	0	0	0	0	0	0	0	0	0	8627216	
19	1	A	1	N	2500	0	40	268	945	42	13	13	0	0	0	0	0	0	0	0	0	0	0	0	8627263	
20	1	A	1	N	2500	0	40	37	45	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8627325	
21	1	A	1	N	2500	0	40	532	1555	94	26	21	0	0	0	0	0	0	0	0	0	0	0	0	8627466	
22	1	A	1	N	2500	0	40	871	1723	68	28	25	0	0	0	0	0	0	0	0	0	0	0	0	8627809	
23	1	A	1	N	2500	0	40	23	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8627809	
24	1	A	1	N	2500	0	40	40	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8627809	
25	1	A	1	N	2500	0	40	46	45	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8627825	
26	1	A	1	N	2500	0	40	30	48	8	10	10	0	0	0	0	0	0	0	0	0	0	0	0	8628324	
27	1	A	1	N	2500	0	40	28	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8628386	
28	1	A	1	N	2500	0	40	393	1098	59	22	19	0	0	0	0	0	0	0	0	0	0	0	0	8628386	
29	1	A	1	N	2500	0	40	37	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8628386	
30	1	A	1	N	2500	0	40	729	1707	88	37	32	0	0	0	0	0	0	0	0	0	0	0	0	8628495	
