Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	39	68	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10204473	
1	1	A	1	N	2500	0	40	60	187	19	7	4	0	0	0	0	0	0	0	0	0	0	0	0	10204504	
2	1	A	1	N	2500	0	40	38	87	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10204519	
3	1	A	1	N	2500	0	40	75	129	22	3	2	0	0	0	0	0	0	0	0	0	0	0	0	10204738	
4	1	A	1	N	2500	0	40	41	41	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10204909	
5	1	A	1	N	2500	0	40	29	75	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10205143	
6	1	A	1	N	2500	0	40	42	88	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10205143	
7	1	A	1	N	2500	0	40	28	36	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10205159	
8	1	A	1	N	2500	0	40	23	26	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10205159	
9	1	A	1	N	2500	0	40	142	824	198	58	34	0	0	0	0	0	0	0	0	0	0	0	0	10205159	
10	1	A	1	N	2500	0	40	107	322	51	19	8	0	0	0	0	0	0	0	0	0	0	0	0	10205159	
11	1	A	1	N	2500	0	40	20	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10205159	
12	1	A	1	N	2500	0	40	59	133	15	4	1	0	0	0	0	0	0	0	0	0	0	0	0	10205533	
13	1	A	1	N	2500	0	40	23	39	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10205736	
14	1	A	1	N	2500	0	40	72	182	29	8	3	0	0	0	0	0	0	0	0	0	0	0	0	10205767	
15	1	A	1	N	2500	0	40	60	103	11	5	3	0	0	0	0	0	0	0	0	0	0	0	0	10205767	
16	1	A	1	N	2500	0	40	35	64	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	10205783	
17	1	A	1	N	2500	0	40	34	103	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10205783	
18	1	A	1	N	2500	0	40	41	154	22	11	6	0	0	0	0	0	0	0	0	0	0	0	0	10205923	
19	1	A	1	N	2500	0	40	286	622	23	12	11	0	0	0	0	0	0	0	0	0	0	0	0	10205939	
20	1	A	1	N	2500	0	40	31	43	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10205955	
21	1	A	1	N	2500	0	40	32	47	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10206033	
22	1	A	1	N	2500	0	40	25	29	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10206048	
23	1	A	1	N	2500	0	40	25	27	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10206298	
24	1	A	1	N	2500	0	40	25	37	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10206657	
25	1	A	1	N	2500	0	40	38	61	10	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10206750	
