Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	300	648	20	11	7	0	0	0	0	0	0	0	0	0	0	0	0	13638516	
1	1	A	1	N	2500	0	40	22	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13638610	
2	1	A	1	N	2500	0	40	21	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13638890	
3	1	A	1	N	2500	0	40	20	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13639000	
4	1	A	1	N	2500	0	40	23	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13639187	
5	1	A	1	N	2500	0	40	43	66	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13639249	
6	1	A	1	N	2500	0	40	22	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13639405	
7	1	A	1	N	2500	0	40	67	97	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13639452	
8	1	A	1	N	2500	0	40	248	518	14	12	8	0	0	0	0	0	0	0	0	0	0	0	0	13639499	
9	1	A	1	N	2500	0	40	302	569	19	9	7	0	0	0	0	0	0	0	0	0	0	0	0	13639748	
10	1	A	1	N	2500	0	40	21	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13639780	
11	1	A	1	N	2500	0	40	48	168	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13640170	
12	1	A	1	N	2500	0	40	256	620	22	11	10	0	0	0	0	0	0	0	0	0	0	0	0	13640405	
13	1	A	1	N	2500	0	40	43	58	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13640451	
14	1	A	1	N	2500	0	40	71	108	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13640514	
15	1	A	1	N	2500	0	40	22	38	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13640639	
16	1	A	1	N	2500	0	40	21	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13640748	
17	1	A	1	N	2500	0	40	126	180	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	13640841	
18	1	A	1	N	2500	0	40	141	369	13	8	5	0	0	0	0	0	0	0	0	0	0	0	0	13640841	
19	1	A	1	N	2500	0	40	20	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13640982	
20	1	A	1	N	2500	0	40	266	462	15	9	7	0	0	0	0	0	0	0	0	0	0	0	0	13641200	
21	1	A	1	N	2500	0	40	36	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13641294	
22	1	A	1	N	2500	0	40	233	540	23	13	9	0	0	0	0	0	0	0	0	0	0	0	0	13641294	
