Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	C	11	N	2500	0	40	338	807	33	16	14	0	0	0	0	0	0	0	0	0	0	0	0	19239846	
1	1	C	11	N	2500	0	40	404	1001	47	26	25	0	0	0	0	0	0	0	0	0	0	0	0	19239924	
2	1	C	11	N	2500	0	40	383	994	52	22	19	0	0	0	0	0	0	0	0	0	0	0	0	19240813	
3	1	C	11	N	2500	0	40	42	41	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19240906	
4	1	C	11	N	2500	0	40	470	1172	60	26	26	0	0	0	0	0	0	0	0	0	0	0	0	19241234	
5	1	C	11	N	2500	0	40	160	148	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	19241234	
6	1	C	11	N	2500	0	40	267	1140	73	28	20	0	0	0	0	0	0	0	0	0	0	0	0	19241828	
7	1	C	11	N	2500	0	40	187	631	26	13	12	0	0	0	0	0	0	0	0	0	0	0	0	19241953	
8	1	C	11	N	2500	0	40	30	41	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19242187	
9	1	C	11	N	2500	0	40	32	34	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19242233	
10	1	C	11	N	2500	0	40	495	1133	44	21	20	0	0	0	0	0	0	0	0	0	0	0	0	19242249	
11	1	C	11	N	2500	0	40	395	838	45	19	20	0	0	0	0	0	0	0	0	0	0	0	0	19242296	
12	1	C	11	N	2500	0	40	424	1043	59	22	19	0	0	0	0	0	0	0	0	0	0	0	0	19242421	
13	1	C	11	N	2500	0	40	376	986	58	23	15	0	0	0	0	0	0	0	0	0	0	0	0	19242421	
14	1	C	11	N	2500	0	40	21	34	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	19242561	
15	1	C	11	N	2500	0	40	461	1346	72	32	25	0	0	0	0	0	0	0	0	0	0	0	0	19242608	
16	1	C	11	N	2500	0	40	354	800	38	15	11	0	0	0	0	0	0	0	0	0	0	0	0	19242826	
17	1	C	11	N	2500	0	40	586	1362	79	35	29	0	0	0	0	0	0	0	0	0	0	0	0	19242951	
18	1	C	11	N	2500	0	40	216	775	35	17	12	0	0	0	0	0	0	0	0	0	0	0	0	19243045	
19	1	C	11	N	2500	0	40	55	107	12	4	1	0	0	0	0	0	0	0	0	0	0	0	0	19243232	
20	1	C	11	N	2500	0	40	89	221	23	6	3	0	0	0	0	0	0	0	0	0	0	0	0	19243232	
21	1	C	11	N	2500	0	40	602	1275	104	29	23	0	0	0	0	0	0	0	0	0	0	0	0	19243263	
22	1	C	11	N	2500	0	40	307	586	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	19243263	
23	1	C	11	N	2500	0	40	296	528	18	10	10	0	0	0	0	0	0	0	0	0	0	0	0	19243466	
24	1	C	11	N	2500	0	40	360	895	38	16	15	0	0	0	0	0	0	0	0	0	0	0	0	19243622	
25	1	C	11	N	2500	0	40	348	786	38	14	12	0	0	0	0	0	0	0	0	0	0	0	0	19243825	
26	1	C	11	N	2500	0	40	331	749	37	14	13	0	0	0	0	0	0	0	0	0	0	0	0	19243887	
27	1	C	11	N	2500	0	40	41	53	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	19244012	
28	1	C	11	N	2500	0	40	374	840	41	16	13	0	0	0	0	0	0	0	0	0	0	0	0	19244246	
29	1	C	11	N	2500	0	40	52	112	8	7	11	0	0	0	0	0	0	0	0	0	0	0	0	19244308	
30	1	C	11	N	2500	0	40	29	60	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19244308	
31	1	C	11	N	2500	0	40	343	840	48	16	14	0	0	0	0	0	0	0	0	0	0	0	0	19244355	
32	1	C	11	N	2500	0	40	401	863	36	14	13	0	0	0	0	0	0	0	0	0	0	0	0	19244402	
