Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	E	6	N	2500	0	40	30	77	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17838945	
1	1	E	6	N	2500	0	40	35	99	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17839241	
2	1	E	6	N	2500	0	40	39	46	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17843599	
3	1	E	7	N	2500	0	40	406	1201	62	23	16	0	0	0	0	0	0	0	0	0	0	0	0	17853587	
4	1	E	7	N	2500	0	40	392	1239	70	25	20	0	0	0	0	0	0	0	0	0	0	0	0	17853680	
5	1	E	7	N	2500	0	40	477	1391	63	32	27	0	0	0	0	0	0	0	0	0	0	0	0	17854539	
6	1	E	7	N	2500	0	40	38	45	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17854649	
7	1	E	7	N	2500	0	40	421	1369	72	30	20	0	0	0	0	0	0	0	0	0	0	0	0	17855023	
8	1	E	7	N	2500	0	40	344	1357	74	33	29	0	0	0	0	0	0	0	0	0	0	0	0	17855429	
9	1	E	7	N	2500	0	40	412	1287	57	25	25	0	0	0	0	0	0	0	0	0	0	0	0	17855976	
10	1	E	7	N	2500	0	40	305	1436	74	30	27	0	0	0	0	0	0	0	0	0	0	0	0	17856038	
11	1	E	7	N	2500	0	40	89	154	8	9	11	0	0	0	0	0	0	0	0	0	0	0	0	17856116	
12	1	E	7	N	2500	0	40	403	1120	59	20	17	0	0	0	0	0	0	0	0	0	0	0	0	17856163	
13	1	E	7	N	2500	0	40	419	1258	68	25	21	0	0	0	0	0	0	0	0	0	0	0	0	17856210	
14	1	E	7	N	2500	0	40	31	32	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17856334	
15	1	E	7	N	2500	0	40	514	1608	93	39	29	0	0	0	0	0	0	0	0	0	0	0	0	17856366	
16	1	E	7	N	2500	0	40	696	2243	111	47	36	0	0	0	0	0	0	0	0	0	0	0	0	17856678	
17	1	E	7	N	2500	0	40	23	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17856756	
18	1	E	7	N	2500	0	40	45	143	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17857083	
19	1	E	7	N	2500	0	40	89	88	9	9	11	0	0	0	0	0	0	0	0	0	0	0	0	17857317	
20	1	E	7	N	2500	0	40	429	1295	70	24	24	0	0	0	0	0	0	0	0	0	0	0	0	17857693	
